DOI,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial,ExtractCount
10.1016/j.rser.2024.115073,Degradation rate,Global,PV cells and system components,2024.0,Per 10°C increase,%,-2.0,,,,,,Page 8,The degradation rate of PV modules approximately doubles for every 10°C increase in operating temperature.,,1.0
10.1016/j.rser.2024.115073,PV Capacity Factor,Desert Regions,Varies,2025.0,No CC,%,50.0,,,,,,Page 10,Cleaning can increase PV capacity factors by 50-100% even if only performed quarterly.,"Extensive studies [114,138,139] have explored strategies for dust management and cleaning to mitigate its effects. Cleaning is a major operating expense in desert regions [133], but can increase PV capacity factors by 50–100% even if only performed quarterly.",1.0
10.1016/j.rser.2024.115073,PV Capacity Factor,Desert Regions,Varies,2025.0,No CC,%,100.0,,,,,,Page 10,Cleaning can increase PV capacity factors by 50-100% even if only performed quarterly.,"Extensive studies [114,138,139] have explored strategies for dust management and cleaning to mitigate its effects. Cleaning is a major operating expense in desert regions [133], but can increase PV capacity factors by 50–100% even if only performed quarterly.",1.0
10.1016/j.rser.2024.115073,Energy,"Michigan, US",,1995.0,No CC,%,-5.0,,,,,,Page 13,Increased annual energy loss due to snow coverage.,"O. Bamisile et al. Renewable and Sustainable Energy Reviews 208 (2025) 115073 Michigan, US increased annual energy loss from 5 % to 34 % due to snow coverage [199]. Energy losses from snow cover in Munich, Germany amount to 0.3–2.7 % [196], whereas in Russia losses exceed 40 % with 4 mm thick snow coverage [192]. In California, where solar power provides nearly 20 % of electricity, the extreme wildfires in September 2020 reduced solar energy production by 30 % [212]. Similarly, in June 2023, smoke from Canadian wildfires spread to the Northeast and Midwest US, reducing solar generation by up to 60 % in New England [213], and by 25 % in Mid-Atlantic and Midwestern states [214].",1.0
10.1016/j.rser.2024.115073,Energy,"Michigan, US",,1995.0,No CC,%,-34.0,,,,,,Page 13,Increased annual energy loss due to snow coverage.,"O. Bamisile et al. Renewable and Sustainable Energy Reviews 208 (2025) 115073 Michigan, US increased annual energy loss from 5 % to 34 % due to snow coverage [199]. Energy losses from snow cover in Munich, Germany amount to 0.3–2.7 % [196], whereas in Russia losses exceed 40 % with 4 mm thick snow coverage [192]. In California, where solar power provides nearly 20 % of electricity, the extreme wildfires in September 2020 reduced solar energy production by 30 % [212]. Similarly, in June 2023, smoke from Canadian wildfires spread to the Northeast and Midwest US, reducing solar generation by up to 60 % in New England [213], and by 25 % in Mid-Atlantic and Midwestern states [214].",1.0
10.1016/j.rser.2024.115073,Energy,"Munich, Germany",,1995.0,No CC,%,-0.3,,,,,,Page 13,Energy loss due to snow cover.,"O. Bamisile et al. Renewable and Sustainable Energy Reviews 208 (2025) 115073 Michigan, US increased annual energy loss from 5 % to 34 % due to snow coverage [199]. Energy losses from snow cover in Munich, Germany amount to 0.3–2.7 % [196], whereas in Russia losses exceed 40 % with 4 mm thick snow coverage [192]. In California, where solar power provides nearly 20 % of electricity, the extreme wildfires in September 2020 reduced solar energy production by 30 % [212]. Similarly, in June 2023, smoke from Canadian wildfires spread to the Northeast and Midwest US, reducing solar generation by up to 60 % in New England [213], and by 25 % in Mid-Atlantic and Midwestern states [214].",1.0
10.1016/j.rser.2024.115073,Energy,"Munich, Germany",,1995.0,No CC,%,-2.7,,,,,,Page 13,Energy loss due to snow cover.,"O. Bamisile et al. Renewable and Sustainable Energy Reviews 208 (2025) 115073 Michigan, US increased annual energy loss from 5 % to 34 % due to snow coverage [199]. Energy losses from snow cover in Munich, Germany amount to 0.3–2.7 % [196], whereas in Russia losses exceed 40 % with 4 mm thick snow coverage [192]. In California, where solar power provides nearly 20 % of electricity, the extreme wildfires in September 2020 reduced solar energy production by 30 % [212]. Similarly, in June 2023, smoke from Canadian wildfires spread to the Northeast and Midwest US, reducing solar generation by up to 60 % in New England [213], and by 25 % in Mid-Atlantic and Midwestern states [214].",1.0
10.1016/j.rser.2024.115073,Energy,Russia,,1995.0,No CC,%,-40.0,,,,,,Page 13,Losses with 4 mm thick snow coverage.,"O. Bamisile et al. Renewable and Sustainable Energy Reviews 208 (2025) 115073 Michigan, US increased annual energy loss from 5 % to 34 % due to snow coverage [199]. Energy losses from snow cover in Munich, Germany amount to 0.3–2.7 % [196], whereas in Russia losses exceed 40 % with 4 mm thick snow coverage [192]. In California, where solar power provides nearly 20 % of electricity, the extreme wildfires in September 2020 reduced solar energy production by 30 % [212]. Similarly, in June 2023, smoke from Canadian wildfires spread to the Northeast and Midwest US, reducing solar generation by up to 60 % in New England [213], and by 25 % in Mid-Atlantic and Midwestern states [214].",1.0
10.1016/j.rser.2024.115073,Solar energy production,California,September 2020,2020.0,No wildfires,%,-30.0,,,,,,Page 13,Reduced solar energy production due to extreme wildfires.,"O. Bamisile et al. Renewable and Sustainable Energy Reviews 208 (2025) 115073 Michigan, US increased annual energy loss from 5 % to 34 % due to snow coverage [199]. Energy losses from snow cover in Munich, Germany amount to 0.3–2.7 % [196], whereas in Russia losses exceed 40 % with 4 mm thick snow coverage [192]. In California, where solar power provides nearly 20 % of electricity, the extreme wildfires in September 2020 reduced solar energy production by 30 % [212]. Similarly, in June 2023, smoke from Canadian wildfires spread to the Northeast and Midwest US, reducing solar generation by up to 60 % in New England [213], and by 25 % in Mid-Atlantic and Midwestern states [214].",1.0
10.1016/j.rser.2024.115073,Solar generation,New England,June 2023,2023.0,No wildfires,%,-60.0,,,,,,Page 13,Reduction in solar generation due to smoke from Canadian wildfires.,"O. Bamisile et al. Renewable and Sustainable Energy Reviews 208 (2025) 115073 Michigan, US increased annual energy loss from 5 % to 34 % due to snow coverage [199]. Energy losses from snow cover in Munich, Germany amount to 0.3–2.7 % [196], whereas in Russia losses exceed 40 % with 4 mm thick snow coverage [192]. In California, where solar power provides nearly 20 % of electricity, the extreme wildfires in September 2020 reduced solar energy production by 30 % [212]. Similarly, in June 2023, smoke from Canadian wildfires spread to the Northeast and Midwest US, reducing solar generation by up to 60 % in New England [213], and by 25 % in Mid-Atlantic and Midwestern states [214].",1.0
10.1016/j.rser.2024.115073,Solar generation,Mid-Atlantic & Midwestern US,June 2023,2023.0,No wildfires,%,-25.0,,,,,,Page 13,Reduction in solar generation due to smoke from Canadian wildfires.,"O. Bamisile et al. Renewable and Sustainable Energy Reviews 208 (2025) 115073 Michigan, US increased annual energy loss from 5 % to 34 % due to snow coverage [199]. Energy losses from snow cover in Munich, Germany amount to 0.3–2.7 % [196], whereas in Russia losses exceed 40 % with 4 mm thick snow coverage [192]. In California, where solar power provides nearly 20 % of electricity, the extreme wildfires in September 2020 reduced solar energy production by 30 % [212]. Similarly, in June 2023, smoke from Canadian wildfires spread to the Northeast and Midwest US, reducing solar generation by up to 60 % in New England [213], and by 25 % in Mid-Atlantic and Midwestern states [214].",1.0
10.1016/j.rser.2024.115073,PV output,Texas,Observed,2017.0,No CC,GW,-5.7,,,,,,Page 14,"The solar eclipse on 21 August 2017 caused a reduction in Texas PV output from 7.2 GW to 1.5 GW over 40 minutes, and then a rise back to 5.9 GW in a further 40 minutes.","In Texas, state-wide solar PV production fell from 7.2 to 1.5 GW in 40 min, and then rose back to 5.9 GW in a further 40 min. A partial solar eclipse occurred in Prague on 20 March 2015 saw 68 % of the solar disc covered at its peak and caused a 69 % reduction in solar PV production [232]. The 2017 eclipse affected almost all of the country’s utility-scale systems. However, this capacity was only 22 GW at the time [234], so this impacted around 2 % of total generating capacity. A subsequent eclipse on 8 April 2024 affected over three times more capacity as shown on the right bar of Fig. 20. Systems in Texas lost more than 90 % of their output during the eclipse.",1.0
10.1016/j.rser.2024.115073,PV output,U.S.,Observed,2017.0,No CC,%,-69.0,,,,,,Page 14,The North American solar eclipse on 21 August 2017 caused a 69% reduction in solar PV production during its peak.,"In Texas, state-wide solar PV production fell from 7.2 to 1.5 GW in 40 min, and then rose back to 5.9 GW in a further 40 min. A partial solar eclipse occurred in Prague on 20 March 2015 saw 68 % of the solar disc covered at its peak and caused a 69 % reduction in solar PV production [232]. The 2017 eclipse affected almost all of the country’s utility-scale systems. However, this capacity was only 22 GW at the time [234], so this impacted around 2 % of total generating capacity. A subsequent eclipse on 8 April 2024 affected over three times more capacity as shown on the right bar of Fig. 20. Systems in Texas lost more than 90 % of their output during the eclipse.",1.0
10.1016/j.rser.2024.115073,PV output,U.S.,Observed,2017.0,No CC,GW,-2.0,,,,,,Page 14,"The 2017 eclipse affected 2% of the total generating capacity, which was 22 GW at the time.","In Texas, state-wide solar PV production fell from 7.2 to 1.5 GW in 40 min, and then rose back to 5.9 GW in a further 40 min. A partial solar eclipse occurred in Prague on 20 March 2015 saw 68 % of the solar disc covered at its peak and caused a 69 % reduction in solar PV production [232]. The 2017 eclipse affected almost all of the country’s utility-scale systems. However, this capacity was only 22 GW at the time [234], so this impacted around 2 % of total generating capacity. A subsequent eclipse on 8 April 2024 affected over three times more capacity as shown on the right bar of Fig. 20. Systems in Texas lost more than 90 % of their output during the eclipse.",1.0
10.1016/j.rser.2024.115073,PV output,U.S.,Observed,2024.0,No CC,GW,-70.0,,,,,,Page 14,The solar eclipse on 8 April 2024 impacted over three times more PV capacity than the 2017 eclipse.,"In Texas, state-wide solar PV production fell from 7.2 to 1.5 GW in 40 min, and then rose back to 5.9 GW in a further 40 min. A partial solar eclipse occurred in Prague on 20 March 2015 saw 68 % of the solar disc covered at its peak and caused a 69 % reduction in solar PV production [232]. The 2017 eclipse affected almost all of the country’s utility-scale systems. However, this capacity was only 22 GW at the time [234], so this impacted around 2 % of total generating capacity. A subsequent eclipse on 8 April 2024 affected over three times more capacity as shown on the right bar of Fig. 20. Systems in Texas lost more than 90 % of their output during the eclipse.",1.0
10.1016/j.rser.2024.115073,Solar irradiance,China,Historical Aerosol Emissions,2000.0,No CC,W/m2,-24.0,,,,,,Page 16,Attributed to a three-fold increase in black carbon and nine-fold increase in SO2 emissions.,,1.0
10.1016/j.rser.2024.115073,PV capacity factor,China,Historical Aerosol Emissions,2000.0,No CC,%,-11.0,,,,,,Page 16,From a nationwide average of 16.2 %– 14.2 % due to increased emissions.,,1.0
10.1016/j.rser.2024.115073,PV capacity factor,China,Historical Aerosol Emissions,2000.0,No CC,%,-15.0,,,,,,Page 16,From a nationwide average of 16.2 %– 14.2 % due to increased emissions.,,1.0
10.1016/j.rser.2024.115073,Solar irradiance,Global,Aerosol Loading Decrease,2001.0,No CC,%/yr,0.1,,,,,,Page 16,"Linked to the global decrease in aerosol loading, particularly SO2 and black carbon emissions falling 0.13 %/yr.",,1.0
10.1016/j.rser.2024.115073,SO2 and black carbon emissions,Global,Aerosol Loading Decrease,2001.0,No CC,%/yr,-0.13,,,,,,Page 16,Has been linked to the rise in solar irradiance of 0.1 %/yr from 1983 to 2001.,,1.0
10.1016/j.euroecorev.2024.104819,Damages (Global),Global,High damage,2100.0,No CC,%,-14.0,,,,,,2,Drop in global output.,"
",1.0
10.1016/j.euroecorev.2024.104819,Damages (Global),Global,High damage + UWI,2100.0,No CC,%,-9.0,,,,,,2,Drop in global output.,"
",1.0
10.1016/j.euroecorev.2024.104819,GDP,India,High damage,2100.0,No CC,%,-38.5,,,,,,2,Percentage decline in end-of-century output.,"
",1.0
10.1016/j.euroecorev.2024.104819,GDP,India,High damage + UWI,2100.0,No CC,%,-26.2,,,,,,2,Percentage decline in end-of-century output.,"
",1.0
10.1016/j.euroecorev.2024.104819,GDP,U.S.,High damage,2100.0,No CC,%,-13.9,,,,,,2,Reduction in 2100 GDP.,"
",1.0
10.1016/j.euroecorev.2024.104819,GDP,U.S.,High damage + UWI,2100.0,No CC,%,-8.0,,,,,,2,Reduction in 2100 GDP.,"
",1.0
10.1016/j.euroecorev.2024.104819,GDP,China,High damage,2100.0,No CC,%,-13.7,,,,,,2,Reduction in 2100 GDP.,"
",1.0
10.1016/j.euroecorev.2024.104819,GDP,China,High damage + UWI,2100.0,No CC,%,-7.8,,,,,,2,Reduction in 2100 GDP.,"
",1.0
10.1016/j.euroecorev.2024.104819,GDP,Canada,High damage,2100.0,No CC,%,2.5,,,,,,2,Increase in 2100 GDP.,"
",1.0
10.1016/j.euroecorev.2024.104819,GDP,Canada,High damage + UWI,2100.0,No climate change,%,-0.6,,,,,,2,Reduction in 2100 GDP.,"
",1.0
10.1016/j.euroecorev.2024.104819,GDP,Canada,High-damage baseline,2100.0,No CC,%,2.5,,,,,,Page 3,Moderately good scenario for Canada,"In our high-damage baseline scenario, the increase in the planet’s mean surface temperature through 2100, absent policy, is approximately 3.1 degrees Celsius. This is moderately good news for Canada and Russia, whose GDP levels in 2100 are 2.5 percent and 3.6 percent higher, respectively, compared with no climate change. However, the remaining 16 regions suffer, with India, the South Asian Pacific, Sub-Saharan Africa, the Middle East, and North Africa being hit the worst. Relative to a world with no carbon-based damage, climate change lowers their 2100 GDP levels by 38.6, 33.4, 33.0, and 30.9 percent, respectively. As for global GDP, its 2100 value is reduced by 14.7 percent. Moreover, the peak global GDP loss declines from 16.7 percent to 9.3 percent. These major impacts limit the rise in the global mean surface temperature to 2.1 degrees Celsius.",1.0
10.1016/j.euroecorev.2024.104819,GDP,Russia,High-damage baseline,2100.0,No CC,%,3.6,,,,,,Page 3,Moderately good scenario for Russia,"In our high-damage baseline scenario, the increase in the planet’s mean surface temperature through 2100, absent policy, is approximately 3.1 degrees Celsius. This is moderately good news for Canada and Russia, whose GDP levels in 2100 are 2.5 percent and 3.6 percent higher, respectively, compared with no climate change. However, the remaining 16 regions suffer, with India, the South Asian Pacific, Sub-Saharan Africa, the Middle East, and North Africa being hit the worst. Relative to a world with no carbon-based damage, climate change lowers their 2100 GDP levels by 38.6, 33.4, 33.0, and 30.9 percent, respectively. As for global GDP, its 2100 value is reduced by 14.7 percent. Moreover, the peak global GDP loss declines from 16.7 percent to 9.3 percent. These major impacts limit the rise in the global mean surface temperature to 2.1 degrees Celsius.",1.0
10.1016/j.euroecorev.2024.104819,GDP,India,High-damage baseline,2100.0,No CC,%,-38.6,,,,,,Page 3,High-damage scenario for India,"In our high-damage baseline scenario, the increase in the planet’s mean surface temperature through 2100, absent policy, is approximately 3.1 degrees Celsius. This is moderately good news for Canada and Russia, whose GDP levels in 2100 are 2.5 percent and 3.6 percent higher, respectively, compared with no climate change. However, the remaining 16 regions suffer, with India, the South Asian Pacific, Sub-Saharan Africa, the Middle East, and North Africa being hit the worst. Relative to a world with no carbon-based damage, climate change lowers their 2100 GDP levels by 38.6, 33.4, 33.0, and 30.9 percent, respectively. As for global GDP, its 2100 value is reduced by 14.7 percent. Moreover, the peak global GDP loss declines from 16.7 percent to 9.3 percent. These major impacts limit the rise in the global mean surface temperature to 2.1 degrees Celsius.",1.0
10.1016/j.euroecorev.2024.104819,GDP,South Asian Pacific,High-damage baseline,2100.0,No CC,%,-33.4,,,,,,Page 3,High-damage scenario for South Asian Pacific,"In our high-damage baseline scenario, the increase in the planet’s mean surface temperature through 2100, absent policy, is approximately 3.1 degrees Celsius. This is moderately good news for Canada and Russia, whose GDP levels in 2100 are 2.5 percent and 3.6 percent higher, respectively, compared with no climate change. However, the remaining 16 regions suffer, with India, the South Asian Pacific, Sub-Saharan Africa, the Middle East, and North Africa being hit the worst. Relative to a world with no carbon-based damage, climate change lowers their 2100 GDP levels by 38.6, 33.4, 33.0, and 30.9 percent, respectively. As for global GDP, its 2100 value is reduced by 14.7 percent. Moreover, the peak global GDP loss declines from 16.7 percent to 9.3 percent. These major impacts limit the rise in the global mean surface temperature to 2.1 degrees Celsius.",1.0
10.1016/j.euroecorev.2024.104819,GDP,Sub-Saharan Africa,High-damage baseline,2100.0,No CC,%,-33.0,,,,,,Page 3,High-damage scenario for Sub-Saharan Africa,"In our high-damage baseline scenario, the increase in the planet’s mean surface temperature through 2100, absent policy, is approximately 3.1 degrees Celsius. This is moderately good news for Canada and Russia, whose GDP levels in 2100 are 2.5 percent and 3.6 percent higher, respectively, compared with no climate change. However, the remaining 16 regions suffer, with India, the South Asian Pacific, Sub-Saharan Africa, the Middle East, and North Africa being hit the worst. Relative to a world with no carbon-based damage, climate change lowers their 2100 GDP levels by 38.6, 33.4, 33.0, and 30.9 percent, respectively. As for global GDP, its 2100 value is reduced by 14.7 percent. Moreover, the peak global GDP loss declines from 16.7 percent to 9.3 percent. These major impacts limit the rise in the global mean surface temperature to 2.1 degrees Celsius.",1.0
10.1016/j.euroecorev.2024.104819,GDP,Middle East and North Africa,High-damage baseline,2100.0,No CC,%,-30.9,,,,,,Page 3,High-damage scenario for Middle East and North Africa,"In our high-damage baseline scenario, the increase in the planet’s mean surface temperature through 2100, absent policy, is approximately 3.1 degrees Celsius. This is moderately good news for Canada and Russia, whose GDP levels in 2100 are 2.5 percent and 3.6 percent higher, respectively, compared with no climate change. However, the remaining 16 regions suffer, with India, the South Asian Pacific, Sub-Saharan Africa, the Middle East, and North Africa being hit the worst. Relative to a world with no carbon-based damage, climate change lowers their 2100 GDP levels by 38.6, 33.4, 33.0, and 30.9 percent, respectively. As for global GDP, its 2100 value is reduced by 14.7 percent. Moreover, the peak global GDP loss declines from 16.7 percent to 9.3 percent. These major impacts limit the rise in the global mean surface temperature to 2.1 degrees Celsius.",1.0
10.1016/j.euroecorev.2024.104819,GDP,Global,High-damage baseline,2100.0,No CC,%,-14.7,,,,,,Page 3,Global GDP impacts in high-damage scenario,"In our high-damage baseline scenario, the increase in the planet’s mean surface temperature through 2100, absent policy, is approximately 3.1 degrees Celsius. This is moderately good news for Canada and Russia, whose GDP levels in 2100 are 2.5 percent and 3.6 percent higher, respectively, compared with no climate change. However, the remaining 16 regions suffer, with India, the South Asian Pacific, Sub-Saharan Africa, the Middle East, and North Africa being hit the worst. Relative to a world with no carbon-based damage, climate change lowers their 2100 GDP levels by 38.6, 33.4, 33.0, and 30.9 percent, respectively. As for global GDP, its 2100 value is reduced by 14.7 percent. Moreover, the peak global GDP loss declines from 16.7 percent to 9.3 percent. These major impacts limit the rise in the global mean surface temperature to 2.1 degrees Celsius.",1.0
10.1016/j.euroecorev.2024.104819,GDP,Global,BAU,2100.0,Peak in BAU,%,-16.7,,,,,,Page 3,Peak global GDP loss under BAU,"In our high-damage baseline scenario, the increase in the planet’s mean surface temperature through 2100, absent policy, is approximately 3.1 degrees Celsius. This is moderately good news for Canada and Russia, whose GDP levels in 2100 are 2.5 percent and 3.6 percent higher, respectively, compared with no climate change. However, the remaining 16 regions suffer, with India, the South Asian Pacific, Sub-Saharan Africa, the Middle East, and North Africa being hit the worst. Relative to a world with no carbon-based damage, climate change lowers their 2100 GDP levels by 38.6, 33.4, 33.0, and 30.9 percent, respectively. As for global GDP, its 2100 value is reduced by 14.7 percent. Moreover, the peak global GDP loss declines from 16.7 percent to 9.3 percent. These major impacts limit the rise in the global mean surface temperature to 2.1 degrees Celsius.",1.0
10.1016/j.euroecorev.2024.104819,GDP,Global,Optimal UWI policy,2100.0,Peak in BAU,%,-9.3,,,,,,Page 3,Peak global GDP loss under optimal UWI policy,"In our high-damage baseline scenario, the increase in the planet’s mean surface temperature through 2100, absent policy, is approximately 3.1 degrees Celsius. This is moderately good news for Canada and Russia, whose GDP levels in 2100 are 2.5 percent and 3.6 percent higher, respectively, compared with no climate change. However, the remaining 16 regions suffer, with India, the South Asian Pacific, Sub-Saharan Africa, the Middle East, and North Africa being hit the worst. Relative to a world with no carbon-based damage, climate change lowers their 2100 GDP levels by 38.6, 33.4, 33.0, and 30.9 percent, respectively. As for global GDP, its 2100 value is reduced by 14.7 percent. Moreover, the peak global GDP loss declines from 16.7 percent to 9.3 percent. These major impacts limit the rise in the global mean surface temperature to 2.1 degrees Celsius.",1.0
10.1016/j.euroecorev.2024.104819,Temperature,Global,BAU,2100.0,No CC,Degree Celsius,3.1,,,,,,Page 3,Global mean surface temperature increase in BAU,"In our high-damage baseline scenario, the increase in the planet’s mean surface temperature through 2100, absent policy, is approximately 3.1 degrees Celsius. This is moderately good news for Canada and Russia, whose GDP levels in 2100 are 2.5 percent and 3.6 percent higher, respectively, compared with no climate change. However, the remaining 16 regions suffer, with India, the South Asian Pacific, Sub-Saharan Africa, the Middle East, and North Africa being hit the worst. Relative to a world with no carbon-based damage, climate change lowers their 2100 GDP levels by 38.6, 33.4, 33.0, and 30.9 percent, respectively. As for global GDP, its 2100 value is reduced by 14.7 percent. Moreover, the peak global GDP loss declines from 16.7 percent to 9.3 percent. These major impacts limit the rise in the global mean surface temperature to 2.1 degrees Celsius.",1.0
10.1016/j.euroecorev.2024.104819,Temperature,Global,Optimal UWI policy,2100.0,No CC,Degree Celsius,2.1,,,,,,Page 3,Global mean surface temperature increase under optimal UWI policy,"In our high-damage baseline scenario, the increase in the planet’s mean surface temperature through 2100, absent policy, is approximately 3.1 degrees Celsius. This is moderately good news for Canada and Russia, whose GDP levels in 2100 are 2.5 percent and 3.6 percent higher, respectively, compared with no climate change. However, the remaining 16 regions suffer, with India, the South Asian Pacific, Sub-Saharan Africa, the Middle East, and North Africa being hit the worst. Relative to a world with no carbon-based damage, climate change lowers their 2100 GDP levels by 38.6, 33.4, 33.0, and 30.9 percent, respectively. As for global GDP, its 2100 value is reduced by 14.7 percent. Moreover, the peak global GDP loss declines from 16.7 percent to 9.3 percent. These major impacts limit the rise in the global mean surface temperature to 2.1 degrees Celsius.",1.0
10.1016/j.euroecorev.2024.104819,Net Tax,India,UWI,2200.0,No Policy,% of lifetime consumption,-39.9,,,,,,Page 4,Indian generations born after the year 2200 face substantial net negative transfers from carbon taxation relative to business-as-usual.,,1.0
10.1016/j.euroecorev.2024.104819,Net Tax,India,UWIF,2200.0,No Policy,% of lifetime consumption,-38.2,,,,,,Page 4,"Even under the UWIF policy, future Indian generations face high net taxes compared to no policy.",,1.0
10.1016/j.euroecorev.2024.104819,Welfare Gain,India,UWIL,2285.0,No Policy,%,35.6,,,,,,Page 4,"In India, the UWIL policy results in a 35.6% welfare gain for the generation born in 2285.",,1.0
10.1016/j.euroecorev.2024.104819,Net Tax,Various,UWI,2200.0,No Policy,% of lifetime consumption,-30.0,,,,,,Page 4,These regions face net taxes equal to roughly 30% of their lifetime consumption under UWI.,,1.0
10.1016/j.euroecorev.2024.104819,Net Tax,Various,UWI,2200.0,No Policy,% of lifetime consumption,-15.0,,,,,,Page 4,Generations in these regions face net taxes equivalent to almost 15% of their lifetime consumption under UWI.,,1.0
10.1016/j.euroecorev.2024.104819,Welfare Gain,Global,UWIL,2200.0,No Policy,%,4.0,,,,,,Page 4,"Under UWIL, all generations in all regions not tax-limited experience a 4.0% welfare gain.",,1.0
