DOI,Abstract
10.1080/17565529.2022.2074349,"Women in developing countries are more exposed to the adverse effects of climate change. We develop a structural model to study the long-term impacts of climate and socioeconomic changes on labour supply and the pay gap between male/female and high-skilled/low-skilled labour. We calibrate our model with empirical evidence on the impacts of increasing temperatures on labour availability in two general economic sectors with high and low exposure to rising temperatures. Using five waves of nationally representative micro-survey data in South Africa from 2008 to 2017, we find that while high-skilled labour availability is insensitive to climate change, higher temperatures have a negative impact on working hours of low-skilled labour specially among women in the high-exposure sector. We incorporate these findings in an overlapping generations (OLG) model to show that climate-induced reduction in labour availability increases the relative wages of low-skilled female labour and reduces the wage gap between male and female labour in the high-exposure sector, and between high-skilled and low-skilled female labour, in general. Considering climate change damages both on sectoral productivity and on labour availability, we project that by the end of the century, the output per adult will drop by about 11 percentage points under a severe climate scenario. This calls for more targeted adaptation policies that build on the potential benefits of climate change in reducing gender inequality and empowering women to take up more active roles in designing and implementing such policies at the local level. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group."
10.1007/s00181-023-02454-2,"Climate change imposes an existential threat on the globe and has already had sizeable economic costs to countries. Environmental aid flows aim to alleviate the rising concerns of climate change in the developing world. Even though the existing literature has examined the effectiveness of green aid flows for reducing carbon dioxide emissions in the recipient countries, no existing study has examined the effectiveness of different classifications of green aid. Examining the green aid flows to 97 developing countries between 2002 and 2018, we find that all types of green aid significantly reduce carbon dioxide emissions; however, the aid flows targeting the environmental objectives are more effective in reducing carbon dioxide emissions compared to the aid flows that do not target environmental objectives or are not screened. The findings highlight that more aid should be screened and targeted for environmental objectives to increase the effectiveness of green aid flows in developing countries. © 2023, The Author(s)."
10.1007/s11356-023-29711-2,"This study investigates a modified version of the Okun’s Law that incorporates energy consumption and temperature for five Central Asian countries, while it employs the ARDL methodology, spanning the period 1995–2018. While the original Okun’s Law is not supported, the analysis does find support for the modified Law, suggesting the importance of regional specific factors. The results document the presence of a negative association between unemployment and real GNP both in the short and in the long run. The impact of energy consumption on unemployment is positive in the long run, while the temperature impacts unemployment both in the short and in the long run. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature."
10.1002/joc.8077,"In this study, the new gridded daily precipitation dataset REGEN (Rainfall Estimates on a Gridded Network) was used to verify the performance of 23 global climate models participating in the 6th phase of the Coupled Model Intercomparison Project (CMIP6) in terms of extreme precipitation over global and continents during 1950–2014. Projected changes were also evaluated using CMIP6 multi-model ensemble (MME) under different Shared Socioeconomic Pathway (SSP) by the end of the 21st century. Although positive biases exist in the climatology of most extreme precipitation indices simulated by the CMIP6 MME compared with observations, most of the CMIP6 models can reproduce the spatial distribution characteristics and temporal evolution trends of global extreme precipitation. The simulation is improved by using the CMIP6 MME, relative to the results from individual models. The projected results showed that in most regions of the world, extreme precipitation will significantly increase in the future, with more significant increase under higher SSPs. By the end of the 21st century, total precipitation of wet days (PRCPTOT), simple daily intensity (SDII), the number of very heavy rain days (R20mm), maximum 1-day precipitation (Rx1day) and maximum consecutive 5-day precipitation (Rx5day) over the global will increase by up to 50%, 20%, 70%, 50% and 50%, respectively, under the SSP5-8.5 scenario. Nevertheless, marked uncertainties exist in the projection of extreme precipitation in South America and in the global for consecutive dry days (CDD) index. Noteworthy, average PRCPTOT, Rx1day and Rx5day over Asia, Europe and North America, as well as of the whole world, have significantly increased where the CDD index is also higher, shown by projected results. In summary, global extreme precipitation will increase in the future, and precipitation will become more uneven in space and time. Moreover, as the SSP scenario becomes higher, the uneven distribution of precipitation will become more pronounced. © 2023 Royal Meteorological Society."
10.3390/cli11060119,"South Asia is the most vulnerable region in the context of global warming, climate change, and climate risk. Climate finance is the most useful tool for combating climate challenges worldwide. The study explores the present picture of climate finance in South Asian (SA) countries. The study uses multilateral development bank (MDB), Green Climate Fund (GCF), and Germanwatch supplied data from 2011 to 2021. Under the theoretical lens of institutional capacity development, the study attempts to correlate climate finance and climate risk. The study indicates an increasing trend of MBDs’ and the GCF’s climate finance in many countries worldwide. The study finds that MDBs’ total global climate finance is USD 446,977 million, while the SA region has received USD 59,301 million since 2011. It also reports that MDBs provide 77% and 23% of the money to the mitigation and adaptation areas. Moreover, the study reports that, after COVID-19, MDBs substantially increased the amount of global climate financing, but this increase was not seen in the SA region. Our climate risk data indicate that most of the SA countries are highly long-term climate risky and lose, on average, 0.378% of GDP. The correlation matrix finds a negative and significant correlation between climate finance and long-term and yearly climate risk. The study identifies that the region’s climate financing flow of money is not rationally distributed based on the short-run and long-run climate risks. The study presumes that more climate finance would be the most effective mechanism to mitigate climate risk. Therefore, SA region leadership drastically requires a holistic framework to address the prevailing climate problems and to ensure regional coordination and cooperation toward climate finance and policies. The research findings have significant implications for climate policy and climate finance. © 2023 by the authors."
10.1016/j.enpol.2023.113475,"Climate change is the defining challenge of our time with complex and evolving dynamics. The effects of climate change on economic output and financial stability have received considerable attention, but there has been much less focus on the relationship between climate change and income inequality. In this paper, we provide new evidence on the association between climate change and income inequality, using a large panel of 158 countries during the period 1995–2019. We find that an increase in climate change vulnerability is positively associated with rising income inequality. More interestingly, splitting the sample into country groups reveals a considerable contrast in the impact of climate change on income inequality. While climate change vulnerability has no statistically significant effect on income distribution in advanced economies, the coefficient on climate change vulnerability is seven times greater and statistically highly significant in the case of developing countries due largely to weaker capacity for climate change adaptation and mitigation. These findings are robust with alternative estimation methods and measures of income inequality, but it should be noted that the appropriate measurement of climate change vulnerability and resilience remains a challenge that imposes limits on empirical analysis. © 2023 Elsevier Ltd"
10.1007/s11356-022-22312-5,"This paper analyzes the effect of certain factors on electricity consumption in Spain at a sectoral level. An electricity consumption function has been estimated by using panel data, depending on gross value added (GVA), temperatures, capitalization, and human capital. This function is obtained for total productive electricity consumption and for the agricultural, construction, industrial, service, and public administration sectors, referring to the 17 Autonomous Communities of Spain for the 2000–2013 period. The obtained results show important sectoral differences in the effect that GVA has on electricity consumption, indicating a positive and increasing effect of temperatures above 22 °C in the total economy and in the tertiary sector, and a negative effect of temperatures below 18 °C in some sectors. These results may indicate that global warming may induce an electricity demand growth in Spain, especially related to cooling needs. The results also highlight the positive effects of capitalization in all sectors, and the negative effects of human capital, except for the public administration sector. In this context, it may be appropriate to carry out policies that mitigate this consumption growth, reinforcing energy efficiency measures, and human capital investments. © 2022, The Author(s)."
10.1007/978-3-031-23811-6_6,"Climate risks, including those which arise from global warming induced extreme weather and hydrological events, need to be considered by both institutional and underlying investors in their portfolios (Porritt, J. (2001). The world in context: beyond the business case for sustainable development. Cambridge: HRH The Prince of Wales' Business and the Environment Programme, Cambridge Programme for Industry.; Stern, N. (2006). Stern Review executive summary. New Economics Foundation.). Emissions from carbon-intensive sectors can be linked to potential liabilities caused by extreme weather and hydrological events, such as extreme rainfall and flooding. The risks these events present may not be reflected in current equity or bond prices (Krosinsky et al., Evolutions in sustainable investing: strategies, funds and thought leadership, John Wiley & Sons, 2012). Consequently, financiers and investors need tools to assess the climate risks of portfolio holdings. Financial supervisors and regulators also need to identify downside risks. We propose a framework which may be helpful for estimating investment losses based on firms' historical carbon emissions. Our framework would also allow the sensitivity of losses to uncertain inputs to be explored for climate risk stress-testing. We further develop and refine Rayer et al. (2021b), with ""hypothetical climate liabilities"" now, in principle, being applicable to any company for which the relevant data is available. It also includes scope for a financial and economic focus to encompass moral responsibility. The principal idea is that a company's knowledge of the climate damage its emissions have caused, together with its subsequent willingness to accept responsibility to address the harms caused is incorporated, which is likely to reflect a societal judgment. Our framework enables financial market practitioners and policymakers to estimate, for individual listed companies, potential equity or bond price falls arising from a company's historical emissions following climate change induced extreme weather or climate events. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2023. All rights reserved."
10.3390/rs15040970,"The rapid loss of Arctic Sea ice cover and thickness diminishes the surface albedo, which increases the ocean’s absorption of solar heat and exacerbates the Arctic amplification effect. According to the most recent research from the Intergovernmental Panel on Climate Change, the Sixth Assessment Report (IPCC, AR6), the extent of summer sea ice is anticipated to decrease below 1 million km2 by the 2050s as a result of the extreme climate. Nevertheless, past and future changes in sea ice albedo radiative forcing and the resulting economic cost remain to be explored in systematic and multi-disciplinary manners. In this study, we first analyze the evolution of Arctic sea ice radiative forcing (SIRF) from 1982 to 2100 using a radiative kernel method based on albedo data from the Polar Pathfinder-Extent (APP-x) and Coupled Model Intercomparison Project 5 (CMIP5). Then, the SIRF is converted to CO2 equivalent emissions via the Dynamic Integrated Model of Climate and Economy (DICE) model. Finally, the associated costs are calculated using the substitute cost method, based on the social cost of carbon to achieve the Paris Agreement targets. The results show that the average Arctic SIRF was −0.75 ± 0.1 (Formula presented.) between 1982 and 2020, and increased by 0.12 (Formula presented.) during this period. The SIRF in April–June accounts for nearly 77% of the average annual value, with a maximum absolute value of –3.2 (Formula presented.) in May. Through model transformation, it is shown that the Arctic SIRF rising leads to global warming comparable to the effect of an increase of 34.5 Gt of CO2 in the atmosphere relative to pre-industrialization, and results in a loss of 24.4–48.8 trillion USD for climate regulation service (CRS). From 2020 to 2100, in the representative concentration pathway (RCP) 8.5, the Arctic SIRF is projected to increase by 0.31 (Formula presented.). Combined with the discount rate, the estimated average annual cost over the period ranges from 6.7–13.3 trillion USD. These findings provide a systematic understanding of the radiative effect of Arctic sea ice change on the global climate and the corresponding economic cost. © 2023 by the authors."
10.1007/978-3-031-15703-5_27,"Climate change affects the functioning of all of the components of food systems, often in ways that exacerbate existing predicaments and inequalities among regions of the world and groups in society. At the same time, food systems are a major cause of climate change, accounting for a third of all greenhouse gas (GHG) emissions. Therefore, food systems can and should play a much bigger role in climate policies. This chapter highlights nine action points for climate change adaptation and mitigation in food systems. The chapter shows that numerous practices, technologies, knowledge and social capital already exist for climate action in food systems, with multiple synergies with other important goals, such as the conservation of biodiversity, the safeguarding of ecosystem services, sustainable land management and reducing social and gender inequalities. Many of these solutions are presently being applied at local scales around the world, even if not at sufficient levels. Hence, the major effort to unleash their potential would involve overcoming various technical, political-economic and structural barriers for their much wider application. Some other solutions require research and development investments now, but will focus on helping us meet the longer-term challenges of climate change in regard to food systems in the second half of this century, when most existing food production practices will face unprecedented challenges. In the short term, these pro-poor policy changes and support systems can have a range of positive effects well beyond food systems without delay. In the long term, investments in research will help ensure food security and ecosystem integrity for coming generations. © The Author(s) 2023."
