DOI,Title,Abstract,Gemini Response,OpenAI Response,Gemini Verdict,OpenAI Verdict,Common Verdict,Priority,Pass-Fail,PDF Found
10.1007/s00382-022-06630-5,Changes in Sahel summer rainfall in a global warming climate: contrasting the mid-Pliocene and future regional hydrological cycles,"The evolution of Sahel summer rainfall in the context of global warming is a severe socio-economic concern because of its widespread influences on local agriculture, water resource management, food security, infrastructure planning, and ecosystems. Based on the mid-Pliocene simulations from the Pliocene Model Intercomparison Project Phase 2 and the historical simulations and shared socio-economic pathway 5–8.5 experiments from the Coupled Model Intercomparison Project phase 6, the present study contrasts the Sahel summer rainfall changes between the past mid-Pliocene and near future global warming climates. The results show that the Western African summer monsoon (WASM) circulation, closely linked with the Sahel summer rainfall change, tends to strengthen in both the past and future global warming climates, but the monsoonal circulation strengthening is much more intense in the past warm period than in the projected warm future. This causes that the multi-model ensemble (MME) mean increase ratio of Sahel summer rainfall in the past warming climate is about twice to three times larger than that in the future warming climate for the same increase of global mean surface temperature (the regional rainfall increase ratio in the MME mean: about 19.6% per one degree Celsius of global warming in the mid-Pliocene simulations versus about 7.7% per one degree Celsius of global warming in the SSP5-8.5 future projections). Such a striking discrepancy in the regional circulation and hydrological cycle changes is mainly attributed to a dramatically stronger warming over the Canadian Archipelago and Greenland during the mid-Pliocene warm period relative to the projected near future. The more significant northern high-latitude warming during the mid-Pliocene enhances the meridional temperature gradient between the extratropical and tropical regions, which could induce an excessive northward shift of the Intertropical Convergence Zone and a stronger WASM, and thus result in a more intense hydrological cycle around the Sahel region. Our results highlight that besides the global mean temperature increase, meridional warming patterns are also essential for the changes of WASM and regional hydrological cycle in a warmer world. Implications for projecting the regional monsoon and hydrological cycle changes at longer time scales than in the near future are discussed. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","XU, RP  Explanation: While the paper discusses climate change impacts (RP) in the Sahel region of Africa, it does not provide any information specific to the United States (XU). Therefore, it's not relevant for a U.S. National Climate Assessment review. ","This paper should be classified as XU: No United States specific information.   The study focuses on regional changes in Sahel summer rainfall in both the mid-Pliocene and future warming scenarios, primarily concerning the Western African summer monsoon and the Sahel region. There is no direct information or analysis related to the United States, which is the focus of your review for the National Climate Assessment. Thus, it does not meet the criteria for inclusion in this review.",Ambiguous,XU,Ambiguous,2,NA,Missing
10.1016/j.futures.2023.103173,International risk of food insecurity and mass mortality in a runaway global warming scenario,"Climate and agriculture have played an interconnected role in the rise and fall of historical civilizations. Our modern food system, based on open-environment production and globalised supply chains, is vulnerable to a litany of abiotic and biotic stressors exacerbated by anthropogenic climate change. Despite this evidence, greenhouse gas emissions continue to rise. Current trajectories suggest global warming of 2.0–4.9 °C by 2100, however, a worst-case emissions scenario with rapid combustion of all available fossil fuels could cause a rise of 12 °C. Even if emissions decline, unprecedented atmospheric CO2-e concentrations risk triggering tipping points in climate system feedbacks that may see global warming exceed 8 °C. Yet, such speculative ‘runaway global warming’ has received minimal attention compared to mainstream low- to mid-range scenarios. This study builds on The Limits to Growth to provide new insights into the international risk of mass mortality due to food insecurity based on a higher-resolution illustration of World3’s ‘runaway global warming’ scenario (∼8–12 °C+). Our simulation indicates rapid decline in food production and unequal distribution of ∼6 billion deaths due to starvation by 2100. We highlight the importance of including high-resolution simulations of high-range global warming in climate change impact modelling to make well-informed decisions about climate change mitigation, resilience and adaptation. © 2023 The Authors","**Include:** RP, XU  **Explanation:** The paper projects direct impacts (RP) of extreme global warming on food production and mortality. However, it does not include any United States specific information (XU). It should be included, but it's important to note the lack of specific US-relevant information in your review. ","Based on the abstract, the paper should not be included in the review as it primarily presents a speculative, high-range scenario of global warming (-8 to 12 degrees C rise), which is beyond mainstream projections and lacks immediate applicability to current climate impact assessment needs. Specifically, it falls under the following exclusion codes:  - XU: No United States specific information. The paper discusses global scenarios without mentions of U.S.-specific impacts. - XA: No new analysis (using previously-published work). The study builds on ""The Limits to Growth"" and World3 model, which are not novel analyses in this context.    This paper focuses on a broad speculative scenario and does not contribute specific, actionable insights for direct climate impact assessments for the U.S. National Climate Assessment.",Ambiguous,XU XA,Ambiguous,2,NA,Missing
10.1016/j.jpolmod.2021.10.001,Growth impact of climate change and response policies: The advanced climate change long-term (ACCL) model,"This paper provides a tool to build climate change scenarios to forecast Gross Domestic Product (GDP), modelling both GDP damage due to climate change and the GDP impact of mitigating measures. It adopts a supply-side, long-term view, with 2060 and 2100 horizons. It is a global projection tool (30 countries/regions), with assumptions and results both at the world and the country/regional level. Five different types of energy inputs are taken into account according to their CO2 emission factors. Full calibration is possible at each stage, with estimated or literature-based default parameters. Compared to other models, it provides a comprehensive modelisation of Total Factor Productivity (TFP), which is the most significant determinant of the GDP projected path. We present simulation results of different energy policy scenarios. They illustrate both the “tragedy of the horizon” and the “tragedy of the commons”, which call for a policy framework that adequately integrates a long run perspective, through a low-enough discount rate and an effective intergenerational solidarity as well as international cooperation. © 2021 The Society for Policy Modeling","XU, XO  This paper is a global projection tool and does not offer U.S.-specific information (XU). Furthermore, it focuses on the macroeconomic effects of climate change and mitigation policies, not direct climate impacts such as those listed in the definition of RO (XO: Focuses on macroeconomic effects of policies, not direct impacts). ","Based on the abstract, this paper should be classified with the code **RP: Reports projected direct impacts**. The paper focuses on modeling GDP damage due to climate change and the impact of mitigation measures, providing long-term global projections including country/regional level details, which likely encompass the United States. The model's projections to 2060 and 2100 make it relevant for understanding projected economic impacts of climate change, which is suitable for the review of direct climate impacts for the U.S. National Climate Assessment.",Ambiguous,RP,Ambiguous,4,NA,Missing
10.1016/j.eneco.2021.105624,Long-term macroeconomic effects of climate change: A cross-country analysis,"We study the long-term impact of climate change on economic activity across countries, using a stochastic growth model where productivity is affected by deviations of temperature and precipitation from their long-term moving average historical norms. Using a panel data set of 174 countries over the years 1960 to 2014, we find that per-capita real output growth is adversely affected by persistent changes in the temperature above or below its historical norm, but we do not obtain any statistically significant effects for changes in precipitation. We also show that the marginal effects of temperature shocks vary across climates and income groups. Our counterfactual analysis suggests that a persistent increase in average global temperature by 0.04 °C per year, in the absence of mitigation policies, reduces world real GDP per capita by more than 7 percent by 2100. On the other hand, abiding by the Paris Agreement goals, thereby limiting the temperature increase to 0.01 °C per annum, reduces the loss substantially to about 1 percent. These effects vary significantly across countries depending on the pace of temperature increases and variability of climate conditions. The estimated losses would increase to 13 percent globally if country-specific variability of climate conditions were to rise commensurate with annual temperature increases of 0.04 °C. © 2021 Elsevier B.V.","XU, XV  This paper focuses on macroeconomic effects across *all* countries, not the U.S. specifically (XU). More importantly for a *direct* climate impacts review, it reports the *economic* consequences of climate change, not the direct physical impacts themselves (XV). ","This paper should be included in the review and classified with the code: RP.  Explanation: The paper reports projected direct impacts of climate change on economic activity, specifically focusing on the effects of temperature changes on economic growth across countries, including the projected impacts on global GDP per capita by 2100. Though it does not provide U.S.-specific projections, the global economic perspective, and its implications are relevant to understanding climate impacts within the broader context of economic productivity, which is critical for the National Climate Assessment.",XV XU,RP,RP,3,NA,Found
10.3390/plants9121754,Grapevine responses to heat stress and global warming,"The potential effects of the forthcoming climate change include the rising of the average annual temperature and the accumulation of extreme weather events, like frequent and severe heatwaves, a phenomenon known as global warming. Temperature is an important environmental factor affecting almost all aspects of growth and development in plants. The grapevine (Vitis spp.) is quite sensitive to extreme temperatures. Over the current century, temperatures are projected to continue rising with negative impacts on viticulture. These consequences range from short-term effects on wine quality to long-term issues such as the suitability of certain varieties and the sustainability of viticulture in traditional wine regions. Many viticultural zones, particularly in Mediterranean climate regions, may not be suitable for growing winegrapes in the near future unless we develop heat-stress-adapted genotypes or identify and exploit stress-tolerant germplasm. Grapevines, like other plants, have developed strategies to maintain homeostasis and cope with high-temperature stress. These mechanisms include physiological adaptations and activation of signaling pathways and gene regulatory networks governing heat stress response and acquisition of thermotolerance. Here, we review the major impacts of global warming on grape phenology and viticulture and focus on the physiological and molecular responses of the grapevine to heat stress. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","**Include:**  *   **RP:** The paper discusses projected negative impacts on viticulture due to rising temperatures, a direct climate impact. *   **XU:** There is no United States specific information, so it would need to be supplemented with more specific sources. ","The paper should be included in the review and classified with the following code:  - RP: Reports projected direct impacts  This paper discusses the projected impacts of rising temperatures on viticulture, specifically focusing on the sensitivity of grapevines to heat stress and their potential adaptations. It highlights significant issues like the potential unsuitability of traditional wine regions due to climate change. These projections are relevant to understanding direct climate impacts on agriculture in the future. Although the abstract does not specify the location of the vineyards, the general trends and potential impacts would be applicable to U.S. regions with grape cultivation, such as California.",Ambiguous,RP,Ambiguous,4,NA,Missing
10.1016/j.jeem.2020.102360,The impact of climate conditions on economic production. Evidence from a global panel of regions,"We present a novel data set of subnational economic output, Gross Regional Product (GRP), for more than 1500 regions in 77 countries that allows us to empirically estimate historic climate impacts at different time scales. Employing annual panel models, long-difference regressions and cross-sectional regressions, we identify effects on productivity levels and productivity growth. We do not find evidence for permanent growth rate impacts but we find robust evidence that temperature affects productivity levels considerably. An increase in global mean surface temperature by about 3.5°C until the end of the century would reduce global output by 7–14% in 2100, with even higher damages in tropical and poor regions. Updating the DICE damage function with our estimates suggests that the social cost of carbon from temperature-induced productivity losses is on the order of 73–142$/tCO2 in 2020, rising to 92–181$/tCO2 in 2030. These numbers exclude non-market damages and damages from extreme weather events or sea-level rise. © 2020 The Authors","Include: RP, XU  Explanation: The paper projects direct economic impacts (RP) of climate change but lacks U.S.-specific information (XU). While relevant to the broader topic, it's less directly useful for the U.S. National Climate Assessment without further analysis of U.S. regional impacts. ","This paper should be included in the review, classified with the code:  RP: Reports projected direct impacts.  Explanation: The paper discusses the projected impacts of climate change on economic productivity levels, estimating reductions in global output by 2100 and providing updated values for the social cost of carbon. These findings fall under projected direct economic impacts, which are relevant to understanding future climate impacts for the U.S. National Climate Assessment.",Ambiguous,RP,Ambiguous,4,NA,Missing
10.1073/pnas.1811068115,Climate network percolation reveals the expansion and weakening of the tropical component under global warming,"Global climate warming poses a significant challenge to humanity; it is associated with, e.g., rising sea level and declining Arctic sea ice. Increasing extreme events are also considered to be a result of climate warming, and they may have widespread and diverse effects on health, agriculture, economics, and political conflicts. Still, the detection and quantification of climate change, both in observations and climate models, constitute a main focus of the scientific community. Here, we develop an approach based on network and percolation frameworks to study the impacts of climate changes in the past decades using historical models and reanalysis records, and we analyze the expected upcoming impacts using various future global warming scenarios. We find an abrupt transition during the evolution of the climate network, indicating a consistent poleward expansion of the largest cluster that corresponds to the tropical area, as well as the weakening of the strength of links in the tropic. This is found both in the reanalysis data and in the Coupled Model Intercomparison Project Phase 5 (CMIP5) 21st century climate change simulations. The analysis is based on high-resolution surface (2 m) air temperature field records. We discuss the underlying mechanism for the observed expansion of the tropical cluster and associate it with changes in atmospheric circulation represented by the weakening and expansion of the Hadley cell. Our framework can also be useful for forecasting the extent of the tropical cluster to detect its influence on different areas in response to global warming. © 2018 National Academy of Sciences. All Rights Reserved.","**RO, RP, XU**  Explanation: The paper discusses impacts of global warming such as increasing extreme events that have effects on health, agriculture, economics, and political conflicts (RO, RP). However, it doesn't seem to have any United States specific information (XU). ","This paper should be included in the review and classified with the following code:  - RP: Reports projected direct impacts  The paper examines the impacts of climate change on atmospheric circulation through network and percolation frameworks, specifically analyzing the poleward expansion of the tropics and the weakening of the Hadley cell. These changes are projected impacts that can have significant consequences for climate patterns, including for the United States, affecting weather systems, rainfall patterns, and potentially influencing heat waves, storms, and other weather-related events associated with the tropics. Therefore, it aligns with assessing projected direct impacts related to climate change.",Ambiguous,RP,Ambiguous,4,NA,Missing
10.1016/j.ecolmodel.2018.08.014,Mangrove increases resiliency of the French Guiana shrimp fishery facing global warming,"This paper deals with the biological, ecological and economic impact of global warming and mangrove habitat availability on the French Guiana shrimp fishery. A dynamic bio-economic model is built by employing a shrimp stock's growth function depending on Sea Surface Temperature (SST) and on mangrove surface. The model is empirically calibrated for the French Guiana shrimp fishery using time series collected over 1995–2011. First, two Cobb-Douglas functions, which describe shrimp's natural growth and harvest, are estimated. Then, a Maximum Economic Yield (MEY) harvest rule, based on the optimization of the net present value derived from fishing, is computed. Three management strategies are compared (Closure, Status Quo management, and MEY) under three mangrove surface fluctuations and climatic scenarios: (a) SST and mangrove remain stable, (b) SST rises while mangrove declines, (c) SST rises and mangrove remains stable. The scenarios considering a SST rise are based on the median greenhouse gases emission projections estimated by the IPCC (Intergovernmental Panel on Climate Change). The scenario focused on the reduction of mangrove surface is based on a general rate calculated on a global level. Our study shows that preserving the mangrove will increase the resiliency of French Guiana shrimp fishery in the long run. © 2018 Elsevier B.V.","XU, RP  This paper focuses on the French Guiana shrimp fishery, not the United States. While it projects impacts of climate change (SST rise), the analysis is not relevant to the U.S. National Climate Assessment. ","This paper should be classified as XU: No United States specific information.   The study focuses on the ecological and economic impacts of global warming and mangrove availability on the shrimp fishery in French Guiana, which is not relevant to climate impacts in the United States. As such, it does not provide U.S.-specific information required for the U.S. National Climate Assessment.",Ambiguous,XU,Ambiguous,2,NA,Missing
10.1186/s13071-017-2071-2,How does the dengue vector mosquito Aedes albopictus respond to global warming?,"Background: Global warming has a marked influence on the life cycle of epidemic vectors as well as their interactions with human beings. The Aedes albopictus mosquito as the vector of dengue fever surged exponentially in the last decade, raising ecological and epistemological concerns of how climate change altered its growth rate and population dynamics. As the global warming pattern is considerably uneven across four seasons, with a confirmed stronger effect in winter, an emerging need arises as to exploring how the seasonal warming effects influence the annual development of Ae. albopictus. Methods: The model consolidates a 35-year climate dataset and designs fifteen warming patterns that increase the temperature of selected seasons. Based on a recently developed mechanistic population model of Ae. albopictus, the model simulates the thermal reaction of blood-fed adults by systematically increasing the temperature from 0.5 to 5 °C at an interval of 0.5 °C in each warming pattern. Results: The results show the warming effects are different across seasons. The warming effects in spring and winter facilitate the development of the species by shortening the diapause period. The warming effect in summer is primarily negative by inhibiting mosquito development. The warming effect in autumn is considerably mixed. However, these warming effects cannot carry over to the following year, possibly due to the fact that under the extreme weather in winter the mosquito fully ceases from development and survives in terms of diapause eggs. Conclusions: As the historical pattern of global warming manifests seasonal fluctuations, this study provides corroborating and previously ignored evidence of how such seasonality affects the mosquito development. Understanding this short-term temperature-driven mechanism as one chain of the transmission events is critical to refining the thermal reaction norms of the epidemic vector under global warming as well as developing effective mosquito prevention and control strategies. © 2017 The Author(s).","**Classification:** RP, XU  **Explanation:**  *   **RP:** The paper models and projects the impact of different warming scenarios on the *Aedes albopictus* mosquito population, which is a direct impact on human health (dengue fever). *   **XU:** The paper does not provide United States specific information. The study is designed as a global assessment, without identifying specific locations or localized outcomes. This makes it less relevant for the U.S. National Climate Assessment. Therefore, the paper should not be included in this review.","This paper should be included in the review with the following code:  RP: Reports projected direct impacts  Explanation: The paper investigates the impact of global warming on the population dynamics of the dengue vector mosquito, Aedes albopictus, using a mechanistic population model and climate data projections. It specifically addresses how seasonal warming patterns affect the life cycle and development of this mosquito species. Although the study does not provide United States-specific information, understanding the projected impacts of climate change on the distribution and development of disease vectors like Aedes albopictus is crucial for assessing potential health risks and preparing effective prevention and control strategies in a climate change context.",Ambiguous,RP,Ambiguous,4,NA,Missing
10.1111/gcb.12960,Increased evapotranspiration demand in a Mediterranean climate might cause a decline in fungal yields under global warming,"Wild fungi play a critical role in forest ecosystems, and its recollection is a relevant economic activity. Understanding fungal response to climate is necessary in order to predict future fungal production in Mediterranean forests under climate change scenarios. We used a 15-year data set to model the relationship between climate and epigeous fungal abundance and productivity, for mycorrhizal and saprotrophic guilds in a Mediterranean pine forest. The obtained models were used to predict fungal productivity for the 2021-2080 period by means of regional climate change models. Simple models based on early spring temperature and summer-autumn rainfall could provide accurate estimates for fungal abundance and productivity. Models including rainfall and climatic water balance showed similar results and explanatory power for the analyzed 15-year period. However, their predictions for the 2021-2080 period diverged. Rainfall-based models predicted a maintenance of fungal yield, whereas water balance-based models predicted a steady decrease of fungal productivity under a global warming scenario. Under Mediterranean conditions fungi responded to weather conditions in two distinct periods: early spring and late summer-autumn, suggesting a bimodal pattern of growth. Saprotrophic and mycorrhizal fungi showed differences in the climatic control. Increased atmospheric evaporative demand due to global warming might lead to a drop in fungal yields during the 21st century. © 2015 John Wiley & Sons Ltd.","This paper should be included because it reports projected direct impacts (RP) of climate change on fungal productivity. While the study is conducted in a Mediterranean climate, the findings regarding increased evapotranspiration demand impacting fungal yields are relevant to similar ecosystems in the U.S. and highlight a potential ecological impact. ","The paper should be included in the review and classified with the code RP.   Explanation: The paper projects direct impacts of climate change on fungal yields in Mediterranean climates, which can be relevant for understanding broader ecosystem impacts. Although it focuses on a non-U.S. region, the findings about changes in evapotranspiration demand and its effects on fungal productivity may provide insights applicable to similar U.S. regions with Mediterranean-like climates, such as California. Including such projections can help inform comprehensive assessments of ecological impacts under climate change scenarios.",RP,RP,RP,5,NA,Missing
10.1504/12.47355,Towards long-term climate change mitigation: The role of low-carbon growth planning,"Climate change is one of the most challenging problems the world is currently facing. Among its most severe consequences are uneven and sometimes inadequate rainfall, increases in temperature, and unpredictable and extreme weather (e.g., storms, surges, etc.) that can cause catastrophes. The impacts of climate change are now real, and many countries are particularly vulnerable to its consequences, partly because of their limited capacity to adapt. Against this background, this study paper introduces some ideas and concepts regarding the multidisciplinary approach and the challenges to low-carbon growth policies as tools for achieving long-term intelligent solutions to the problem. Copyright © 2012 Inderscience Enterprises Ltd.","**Classification:** XU, XA  **Explanation:** This paper discusses climate change generally and low-carbon growth policies, but the abstract provides no indication of any U.S.-specific information or new analysis of climate impacts. It's focused on mitigation strategies, not direct impacts, and appears to be a conceptual overview rather than a report of observed or projected impacts. ","This paper should be classified with the code XC: Not related to climate impacts.  Explanation: The abstract highlights the focus on low-carbon growth planning and the multidisciplinary challenges to long-term climate policy, rather than direct climate impacts. It does not provide specific information regarding observed or projected direct impacts of climate change, such as infrastructure damage, worker injuries, crop loss, human health, or ecosystem disruptions. As such, it is not directly pertinent to the review of direct climate impacts for the U.S. National Climate Assessment.",XU XA,XC,Disagree,1,NA,Missing
10.1002/joc.2004,Predicting the impact of global warming on the timing of spring flowering,"Many plants flower in response to a change in the environment. Since one of the main goals for a plant is to complete a growth cycle in order to produce seed, flowering is a key stage in plant development. We have developed a statistical procedure for explaining the variations in flowering date, which is based on a well-accepted phenological model (growing degree-days). Our approach has several advantages over previous methods based around multiple-regression procedures, the main one being that we have a direct interpretation in terms of just two meaningful phonological parameters (thermal requirement and thermal threshold) per species. The model is used to classify 79 flowering plants. By using a statistical approach based on empirical p-values, we can decide which species can be regarded as sensitive to temperature. Our model, while a simplification of the real system, is easy to work with and enables the consequences of future temperature change to be predicted. By adopting a simple (linear), but realistic, approximation to the rise in temperature each spring, we derive a simple expression for the change in expected flowering dates under global warming. We use the expression to examine changes under three different climate change scenarios involving increasing warmth, oceanicity and continentality. Variations in flowering from species to species and year to year are explained in a straightforward manner by variations in our two parameters and the linear temperature functions, respectively. We find that the sensitivity of spring flowering dates to temperature is strongly governed by the continentality of the climate. We make predictions that will allow the assumptions used in constructing our model to be validated or repudiated. Our formulae can be used for any global warming scenario of the type we consider, whenever our basic assumptions hold. In particular, we predict the likely change in world-wide spring flowering dates under the likely climatic conditions in the 2080s as predicted under the Intergovernmental Panel on Climate Change scenario A1FI. © 2009 Royal Meteorological Society.","**Classification:** RP, XU  **Explanation:**  *   **RP:** The paper projects the impact of global warming on flowering dates, which is a direct ecological impact. *   **XU:** The abstract does not mention any United States specific information. The model is designed for global application. ","The paper should be included in the review, classified with the code:  - **RP (Reports projected direct impacts)**  **Explanation**: This paper projects the impact of global warming on the timing of spring flowering, which concerns phenological shifts in ecosystems—a direct ecological impact of climate change. Although the paper does not focus specifically on the U.S., the general approach and findings regarding temperature sensitivity and flowering dates can be relevant for anticipating similar impacts within U.S. ecosystems.",Ambiguous,RP,Ambiguous,4,NA,Missing
10.1111/gcb.12692,Do cities simulate climate change? A comparison of herbivore response to urban and global warming,"Cities experience elevated temperature, CO2, and nitrogen deposition decades ahead of the global average, such that biological response to urbanization may predict response to future climate change. This hypothesis remains untested due to a lack of complementary urban and long-term observations. Here, we examine the response of an herbivore, the scale insect Melanaspis tenebricosa, to temperature in the context of an urban heat island, a series of historical temperature fluctuations, and recent climate warming. We survey M. tenebricosa on 55 urban street trees in Raleigh, NC, 342 herbarium specimens collected in the rural southeastern United States from 1895 to 2011, and at 20 rural forest sites represented by both modern (2013) and historical samples. We relate scale insect abundance to August temperatures and find that M. tenebricosa is most common in the hottest parts of the city, on historical specimens collected during warm time periods, and in present-day rural forests compared to the same sites when they were cooler. Scale insects reached their highest densities in the city, but abundance peaked at similar temperatures in urban and historical datasets and tracked temperature on a decadal scale. Although urban habitats are highly modified, species response to a key abiotic factor, temperature, was consistent across urban and rural-forest ecosystems. Cities may be an appropriate but underused system for developing and testing hypotheses about biological effects of climate change. Future work should test the applicability of this model to other groups of organisms.","**Classification:** RO  **Explanation:** This paper reports observed direct impacts of temperature changes (related to climate change) on a specific herbivore species (scale insect). The study specifically investigates the response of the insect to temperature in urban and rural environments, relating abundance to temperature variations across time and space. This constitutes a direct biological impact related to climate change. ","The paper should be included in the review and classified with the code:  - RO: Reports observed direct impacts.  **Explanation:** The paper provides an analysis of the response of the scale insect *Melanaspis tenebricosa* to temperature variations in urban and rural settings, which relates directly to understanding the impacts of climate change on ecosystems. It observes biological responses in different temperature regimes, including urban heat islands and historical climate data, corresponding to direct climate impacts on herbivorous insect populations in the United States. While it doesn't focus on economic valuation or projections specifically, its empirical findings contribute to understanding ecosystem impacts, which aligns with the goals of the U.S. National Climate Assessment.",RO,RO,RO,5,NA,Missing
10.1007/s00148-024-01039-2,The impact of global warming on obesity,"This study identifies obesity as an important channel through which global warming affects human capital. By analyzing plausibly exogenous year-to-year temperature fluctuations in 152 countries from 1975 to 2016, we find that global warming has significantly increased obesity rates in countries located in temperate zones, while only causing a reduction in a small number of tropical countries. The estimates suggest that a 1 degrees\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$<^>{\circ }$$\end{document}C increase in the annual mean temperature would result in a worldwide increase in obese adults of 79.7 million, or 12.3%. Similar patterns emerge when examining the effects of temperature bins, seasonal mean temperature, temperature variations, and temperature shocks. Furthermore, we identify substantial heterogeneity in the impact across countries with varying income levels, age structures, and education levels. Finally, by comparing the baseline model with a long-difference model, we demonstrate that long-term adaptation may not significantly mitigate the impact of global warming on obesity in temperate zones.","**Code(s):** XU, XV  **Explanation:** The paper focuses on global trends and lacks U.S.-specific data (XU). Additionally, while it discusses health impacts, it does not explicitly value these impacts in economic terms relevant to the National Climate Assessment (XV). ","The paper should be classified as RP, as it reports projected direct impacts of global warming on obesity rates. The study identifies a specific human health impact—an increase in obesity rates linked to rising temperatures—which falls under the category of projected direct impacts. Although the abstract does not specify United States-specific information, it evaluates global trends and the findings could be pertinent for understanding potential future impacts in temperate regions of the U.S. Additionally, the study provides new insights by analyzing temperature fluctuations across multiple countries, rather than reusing previously published work. Thus, including this paper in your review could help highlight potential health impacts of climate change in the U.S. context.",XV XU,RP,RP,3,NA,Missing
10.1016/S0301-4215(97)80001-4,Global warming and developing countries - The possibility of a solution by accelerating development,"There are concerns that the rapid development of the developing countries will hasten global warming and exacerbate resource problems. That is to say, it is quite possible that we cannot solve the North-South problem while at the same time containing global warming and conserving fossil fuels. But this paper attempts to show that, on the contrary, the fast development of these countries might very well bring about a long-term solution of the global warming problem. A model incorporating development stage theory is built and used to calculate by region the world's economic growth, population growth, energy supply and demand, CO2 emissions and other items up to the end of the 21st century. Results indicated that if in 2100 world population is about 10 billion (it was 5.1 billion in 1990), world GDP is US$200 trillion (1987 prices; it was US$20 trillion in 1990) and CO2 emissions are 10 billion tonnes (carbon equivalent; they were 5.8 billion tonnes in 1990), there will be fairly good prospects for solving the North-South, fossil fuel exhaustion and global warming problems. Making this scenario happen will require accelerating development of the developing countries so they quickly join the ranks of the developed countries, expediting the shift to renewable energy in the developed countries by imposing carbon taxes, transferring energy saving technologies from the developed to the developing countries, and other efforts. Copyright (C) 1996 Elsevier Science Ltd.","This paper should **not** be included in the review.  **XU:** It lacks United States-specific information. The paper focuses on global trends and solutions related to developing countries. **XC:** The paper does not focus on *direct* climate impacts, but rather on mitigation strategies and the relationship between development and global warming. ","This paper should be classified primarily as XO. The paper presents a theoretical model focused on the potential for global development to address global warming, rather than directly examining climate impacts. It does not provide specific observations or projections of direct climate impacts, particularly on the United States, and it appears to rely on a synthesis of previously published work rather than original analysis. Additionally, it does not focus on quantifying impacts in economic terms or provide new empirical data. While it might offer an interesting perspective on the intersection of development and climate change, it does not align with the requirements for inclusion in a review of direct climate impacts in the U.S. National Climate Assessment.",XC XU,XO,Disagree,1,NA,Missing
10.1016/S0304-3800(03)00146-7,Global estimation of crop productivity and the impacts of global warming by GIS and EPIC integration,"In this paper, a new methodology for global estimation of crop productivity is proposed. This methodology integrates Erosion Productivity Impact Calculator (EPIC) model with Geographic Information System (GIS) and Inference Engine (IE) technique. EPIC was developed by USDA to analyze the relationship between soil erosion and agricultural productivity just at field level. With the integration of GIS, EPIC can be extended to the application of global or regional level. In this integration, IE is developed to determine possible crop combinations, the optimum starting and ending dates of growth cycle for each crop type and grid cell, in order to ensure best possible crop yields for both rain-fed and irrigated conditions. A case of global crop productivity estimation is tested with GIS-based EPIC in 2000. National averages are computed to be comparable to yields in FAO statistics. The comparison indicates that the GIS-based EPIC is able to simulate crop productivity at global level. In addition, with the global climate change data provided by the Intergovernment Panel on Climate Change (IPCC) from the first version of the Canadian Global Coupled Model (CGCM1), GIS-based EPIC is run for scenarios of future climate in the year of 2010, 2020, 2030, 2040, and 2050 to predict the effects of global warming on main crop yields. Results show the global warming will be harmful for most of the countries, and an efficient adaptation to alternative climates tends to reduce the damages. (C) 2003 Elsevier Science B.V. All rights reserved.","XU, RP  This paper focuses on global crop productivity and the impacts of global warming, but it lacks U.S.-specific information (XU). It also primarily reports projected impacts on crop yields under future climate scenarios (RP). ","The paper should be classified as RP: Reports projected direct impacts. This paper discusses the methodology's application in projecting future crop productivity under global warming scenarios, using the GIS-based EPIC model to simulate crop yields. While the results presented are at a global level, they include future projections relevant to climate change impacts on agriculture, which is a direct impact topic pertinent to your review. Although it doesn't focus specifically on the United States, the approach and insights on projected impacts are relevant for broader understanding within the U.S. National Climate Assessment context.",Ambiguous,RP,Ambiguous,4,NA,Missing
