DOI,Author(s),Year,Paper Title,Background,Methodology,Results,Discussion
10.5194/esd-14-1015-2023,Hartin et al.,2023.0,Advancing the estimation of future climate impacts within the United States,"Evidence of the physical and economic impacts of climate change is a critical input to policy development and decision-making. In addition to the magnitude of potential impacts, detailed estimates of where, when, and to whom those damages may occur; the types of impacts that will be most damaging; uncertainties in these damages; and the ability of adaptation to reduce potential risks are all interconnected and important considerations. This study advances the estimation of future climate impacts within the United States, providing a detailed illustration of the distribution of climate change impacts within US borders. The analysis focuses on direct climate impacts and considers drivers such as temperature change, sea level rise, air quality (O3, PM2.5), wildfire, high-tide flooding, and dust. The study utilizes a stylized approach to evaluate these impacts.","The study employs the reduced-complexity model, the Framework for Evaluating Damages and Impacts (FrEDI), to rapidly project economic and physical impacts of climate change across 10,000 future scenarios for multiple impact sectors, regions, and populations within the contiguous United States (US). FrEDI is driven by climate projections from the FaIR model and socioeconomic projections from RFF-SP. The analysis utilizes temperature binning, regional damage functions derived from GCMs, and a semi-empirical method for sea level rise estimation. Parametric uncertainty in damage functions is incorporated via Monte Carlo methods. The model accounts for transitional economic dynamics, reflecting changes over time, and incorporates some adaptation assumptions from underlying sectoral studies and models proactive and reactive adaptation scenarios for coastal flooding; historically practiced adaptation is also reflected.","Net national damages increase overtime, with mean climate-driven damages estimated to reach USD 2.9 trillion (95 % confidence interval (CI): USD 510 billion to USD 12 trillion) annually by 2090. For the analyzed sectors, the majority of annual long-term damages are associated with climate change impacts to human health, primarily due to temperature-driven mortality and changes in air pollution exposure. Regional variations are notable, with the Southeast projected to experience the largest annual damages per capita and the Southwest the smallest. Climate change impacts may exacerbate existing societal inequalities, disproportionately affecting Black or African Americans due to adverse air quality impacts.","FrEDI projections are extended through 2300 to estimate the net present climate-driven damages within US borders from marginal changes in greenhouse gas emissions. The study provides the most detailed illustration to date of the distribution of climate change impacts within US borders. However, projections do not account for climate-induced migration and are sensitive to emissions/socioeconomic projections and damage functions. While adaptation is considered in some sectors, explicit adaptation modeling options are lacking in others. The findings highlight the significant economic and physical impacts of climate change in the U.S., emphasizing the need for effective mitigation and adaptation strategies to reduce future damages and address existing societal inequalities."
10.1016/j.strueco.2023.05.009,Chang et al.,2023.0,Temperature and GDP: A review of climate econometrics analysis,"Climate econometric analysis of the relationship between temperature and gross domestic product (GDP) is increasingly being used to evaluate climate risks and understand economic impacts caused by climate change. This review examines the literature on growth and level effects (i.e., temperature rise respectively affects the growth and level of economic output), the setting of temperature variables' forms and functional forms, and the inherent model specification of climate econometrics. The paper also introduces an approach for combining empirical findings with climate change integrated assessment models (IAMs) to improve damage modelling. The research addresses the need to understand the economic impacts of climate change at different future times, considering regional impacts, adaptive capacity, and transitional economic dynamics.","This study employs a review of literature and approaches in climate econometrics. It focuses on the use of linear, non-linear (quadratic), and hybrid models such as panel models with fixed effects, time trends, and the HPJ-FE estimator to assess the temperature-GDP relationship. The review emphasizes the importance of considering both cross-sectional and panel models, temperature bins, and long difference approaches for capturing non-linear, medium- and long-term climate impacts, and adaptation effects. Integration with IAMs is suggested for better damage modeling. The methodologies consider temperature rise, rising temperatures, temperature variations, temperature deviations, temperature change (level & growth effects), daily temperature variability, and sunlight duration as drivers of risk. Adaptive capacity is considered through the use of various econometric models that assess both short-run and long-run climate impacts, and using methods like temperature bins, cross-sectional models, and integrating empirical findings with IAMs.",,"The findings highlight the significant impact of temperature changes on economic growth, with growth effects leading to substantially larger damage estimates compared to level effects. Accounting for non-linear relationships, varying time resolutions, and temperature deviations are crucial for understanding impact mechanisms and adaptation. Combining cross-sectional and panel models allows for examining economic impacts at different future times and at regional scales. The paper underscores the importance of integrating climate econometrics with IAMs to improve damage modeling and address potential biases in linear models. Future research should prioritize incorporating multiple model specifications and addressing data limitations on adaptation costs and benefits to refine climate impact assessments and inform policy decisions. High-resolution data is needed to capture non-linear temperature effects on growth. Climate econometrics are useful for improving Integrated Assessment Models (IAMs) by accounting for short- and long-run effects, adaptation, and potential biases in linear models; non-linear models and differentiating time resolutions are crucial."
10.1088/1748-9326/ac1d0b,Kikstra et al.,2021.0,The social cost of carbon dioxide under climate-economy feedbacks and temperature variability,"A key statistic describing climate change impacts is the 'social cost of carbon dioxide' (SCCO2), the projected cost to society of releasing an additional tonne of CO2. Cost-benefit integrated assessment models that estimate the SCCO2 lack robust representations of climate feedbacks, economy feedbacks, and climate extremes. This study refines SCCO2 estimation using the PAGE-ICE model, focusing on equity weighting, damage persistence, and temperature variability. The study uses Monte Carlo simulations under the SSP2-4.5 scenario and regression analyses for damage persistence to explore the effects of climate feedbacks, economy feedbacks, interannual temperature variability, and adaptation on the SCCO2.","The methodology involves comparing the PAGE-ICE model with the older PAGE09 model. The PAGE-ICE model is then extended to incorporate economy feedbacks and interannual temperature variability. This is achieved using Monte Carlo simulations (50,000 runs) under the SSP2-4.5 scenario. Regression analyses are used to estimate damage persistence. The study analyzes parameter sensitivity, explores SSP scenarios, and explores the effects of adaptation rates on damage persistence through Monte Carlo simulations. The model considers chronic trends in climate hazards, regional space disaggregation, and spatial interactions of impacts, using a transitional (accounting for changes over time) economic dynamics approach.","PAGE-ICE yields SCCO2 values about two times higher than PAGE09, because of its climate and economic updates. Climate feedbacks only account for a relatively minor increase in SCCO2 compared to other updates. Extending PAGE-ICE with economy feedbacks demonstrates a manifold increase in the SCCO2 resulting from an empirically derived estimate of partially persistent economic damages. Both the economy feedbacks and other increases since PAGE09 are almost entirely due to higher damages in the Global South. Including an estimate of interannual temperature variability increases the width of the SCCO2 distribution, with particularly strong effects in the tails and a slight increase in the mean SCCO2. SCCO2 is highly sensitive to climate-economy feedbacks, particularly persistent economic damages. Interannual temperature variability widens the SCCO2 distribution. Lower-income regions are more vulnerable to persistent growth impacts from temperature shocks.","Our results highlight the large impacts of climate change if future adaptation does not exceed historical trends. Robust quantification of climate-economy feedbacks and climate extremes are demonstrated to be essential for estimating the SCCO2 and its uncertainty. Adaptation that reduces damage persistence is crucial for lowering the SCCO2. There is little evidence to justify increasing temperature variability with rising global temperatures in simulations. The study emphasizes the significance of adaptation and damage persistence in mitigating the social cost of carbon, particularly in vulnerable regions of the Global South."
10.1126/sciadv.adl1252,Connolly et al.,2024.0,Mortality attributable to PM2.5 from wildland fires in California from 2008 to 2018,"In recent decades, the risk and severity of wildfires in California have increased significantly. This escalation poses substantial health risks due to the emission of fine particulate matter (PM2.5) from these fires. While extensive research has documented health consequences from PM2.5 exposure attributed to wildfires, few investigations have focused on long-term outcomes using wildfire-specific chronic dose-response coefficients. Previous studies may have underestimated the health and economic impacts of wildfire-related PM2.5.","The study employed the Community Multiscale Air Quality (CMAQ) modeling system (versions 5.0.1 to 5.3) at a 12-km resolution to estimate PM2.5 concentrations caused specifically by wildfires in California from 2008 to 2018. Mortality data at the ZIP code level was obtained from the California Department of Public Health (CDPH), and a wildfire-specific PM2.5 dose-response coefficient (βWL) was developed to better capture the potential increased toxicity of wildfire smoke. The study analyzed two exposure scenarios: A base case with full data and a modified cap scenario with concentrations capped at the 99.9th percentile. Mortality burden was calculated by applying these dose-response functions to estimate the change in PM2.5 exposure in adults aged 25 and up, and economic valuation was conducted using the value of statistical life (VSL) adjusted for future income growth to 2015. Uncertainties were examined through a Monte Carlo distribution for the dose-response value and the mod cap scenario.","1. Estimated attributable to wildland fire PM2.5 are between 52,480 to 55,710 over the 11-year period, based on the two exposure scenarios. 2. These premature deaths are estimated to result in an economic impact of between $432 billion and $456 billion. 3. Wildfire-attributable PM2.5 may account for approximately 35% higher mortality compared to undifferentiated PM2.5 responses. 4. Due to fires spreading into more populated regions, higher mortality was observed in 2017 and 2018. 5. Higher PM2.5 concentrations were primarily associated with severe fire events.","The findings highlight that wildfire smoke exposure in California leads to substantial mortality and economic burdens, surpassing previous estimates. This study represents an advancement in estimating long-term wildfire smoke impacts by incorporating a specific dose-response coefficient for wildfire PM2.5, indicating the potentially increased toxicity of wildfire smoke compared to other PM2.5 sources. The results underscore the necessity of enhancing community resilience and protecting vulnerable populations, especially as fires increase in frequency and severity in populated areas. Furthermore, these results suggest that interventions aimed at reducing wildfire PM2.5 exposure could significantly alleviate public health burdens. Despite considerable efforts to quantify uncertainties through multiple exposure scenarios and concentration capping, the study does not explicitly address adaptation strategies, highlighting a gap in the current policy framework to mitigate health risks associated with growing wildfire frequency and intensity."
10.5194/hess-27-3999-2023,Lai E.N. et al.,2023.0,Root zone soil moisture in over 25% of global land permanently beyond pre-industrial variability as early as 2050 without climate policy,"Root zone soil moisture is a critical component of the water cycle, supporting ecohydrological, atmospheric, and biogeochemical processes. It has recently gained attention as the control variable for the green water planetary boundary, representing Earth's capacity to sustain agriculture and avoid destabilization. Yet, a thorough understanding of how soil moisture will depart from pre-industrial variability under future climate scenarios is lacking. This study investigates the global extent and severity of soil moisture changes using a multi-model ensemble approach to examine potential outcomes without climate policy.","The study employed a CMIP6 multi-model ensemble of 14 Earth System Models (ESMs) to analyze root zone soil moisture deviations from pre-industrial variability across four climate scenarios: SSP1-2.6, SSP2-4.5, SSP3-7.0, and SSP5-8.5, spanning 2021 to 2100. Soil moisture data were aggregated to the IPCC's 43 ice-free climate reference regions. Permanent departures were identified by regions where soil moisture exited and did not return to pre-industrial variability by 2100. The approach accounted for model independence, using 30-year averages and 12-month rolling means to assess when these permanent departures emerged, with ensemble means and medians calculated from the frequency of departures in each model.","Permanent departures from pre-industrial variability were assessed across various regions and scenarios, with the following key outcomes: 1) Permanent dry departures are most pronounced in Central America, southern Africa, the Mediterranean, and most of South America. 2) Permanent wet departures are more common in southeastern South America, northern Africa, and southern Asia. 3) By 2100, the Mediterranean shows a 70% occurrence of dry departures in SSP1-2.6 and over 90% in SSP3-7.0 and SSP5-8.5. 4) Northeastern Africa experiences wet departures in 64% of ESMs under SSP1-2.6 and 93% under SSP5-8.5.","The findings highlight the importance of mitigation strategies to prevent further degradation of essential Earth system functions associated with soil moisture. By 2050, permanent departures are expected in approximately 10% of global ice-free land areas in SSP1-2.6 and 25% in SSP3-7.0. This would rise by the century's end to 34% and 45%, respectively. The study underscores the extensive impact of climate scenarios on freshwater resources, particularly the increased likelihood of wet departures compared to dry, the variability in severity with warming, and regional discrepancies such as those seen in the Sahel and Amazon. These insights emphasize the potential challenges for agriculture and water management, stressing the urgent need for comprehensive climate policies."
10.1038/s43247-023-01173-x,Kotz et al.,2024.0,Global warming and heat extremes to enhance inflationary pressures,"Climate impacts on economic productivity indicate that climate change may threaten price stability. This study investigates the inflationary pressures induced by global warming and heat extremes, examining the impacts of climate conditions on inflation across the globe. The analysis combines historical data with future climate projections to provide a comprehensive assessment of the potential inflationary consequences of climate change, acknowledging limitations such as the absence of adaptation, policy responses, and macroeconomic considerations in their estimates. Data limitations exist, particularly monthly employment/output data, and results aren't inflation projections but assessments of climate conditions' impact on inflation, with uncertainty stemming from empirical specification, climate models, and emission scenarios.","Fixed-effects panel regressions were applied to over 27,000 monthly consumer price index observations from 121 countries (1996-2021) to quantify the impact of weather fluctuations on inflation, utilizing ERA5 high-resolution data. The dependent variable is month-on-month inflation rates, estimated as the first difference in the logarithm of CPI. The analysis incorporates country, date, and country-month fixed effects, country-specific linear time trends, and lags of weather variables. Robustness tests include dynamic panel specification, Driscoll-Kraay errors, controls for monetary policy transitions, and interactions with national income. Future climate projections from 21 bias-adjusted CMIP-6 climate models under various SSPs (specifically SSP585 and SSP126) are used to estimate future temperature conditions, and empirical response functions are applied to assess impacts on food inflation, with impacts regionally aggregated using population weighting, focusing on the shifting mean of summer temperatures. The analysis considers monthly average national temperatures, while abstracting from adaptation, policy response, and macroeconomic interactions. GADM database was used for boundaries.","The study found that higher temperatures increase food and headline inflation persistently over 12 months in both higher- and lower-income countries. Effects vary across seasons and regions depending on climatic norms, with further impacts from daily temperature variability and extreme precipitation. Evaluating these results under temperature increases projected for 2035 implies upwards pressures on food and headline inflation of 0.92-3.23 and 0.32-1.18 percentage-points per-year respectively on average globally (uncertainty range across emission scenarios, climate models and empirical specifications). Pressures are largest at low latitudes and show strong seasonality at high latitudes, peaking in summer. Finally, the 2022 extreme summer heat increased food inflation in Europe by 0.43-0.93 percentage-points which warming projected for 2035 would amplify by 30-50%.","Future global warming and intensifying heat extremes will have strong, non-linear and persistent upward impacts on inflation across the world, according to an analysis that combines physical projections with causal historical impacts determined by fixed-effects regression analysis. These impacts are expected to intensify with future warming, altering inflation seasonality, increasing volatility, and disproportionately affecting the Global South, while also impacting advanced economies. While adaptation could limit inflationary pressures, sizable impacts are still expected, potentially complicating traditional inflation modeling and requiring monetary policy to consider weather/climate shocks. Results aren't inflation projections but assessments of climate conditions' impact on inflation, with uncertainty stemming from empirical specification, climate models, and emission scenarios. The study acknowledges limitations such as the absence of adaptation, policy responses, and macroeconomic considerations in their estimates."
10.3390/land11040512,Rahman et al.,2022.0,"Climate, Environment and Socio-Economic Drivers of Global Agricultural Productivity Growth","Growth in total factor productivity (TFP) indicates the sustainable and/or judicious use of scarce resources, including non-renewables. This paper identifies sources of growth in global agricultural TFP and its finer components, ranging from climate, production environment, and socio-economic factors, using a panel data of 104 countries, covering a 45-year period (1969–2013); and, finally, projects changes in TFP from increased climate variability. Climate variability (temperature & precipitation), long-term temperature (LTT), long-term precipitation (LTP), pests & diseases, anomalies in weather events, and the natural production environment are key drivers of risk to global agricultural productivity. The study acknowledges the importance of understanding chronic trends to project future TFP changes. Regional variations in agricultural productivity are also noted, with arid and semi-arid regions performing the worst.","A multivariate Tobit model (MVTOBIT) is used to analyze panel data from 104 countries over the period 1969-2013, identifying determinants of global agricultural TFP and its efficiency components. Long-term climate variables are calculated using a 30-year moving average. The model projects future TFP up to 2033 under climatic scenarios. The econometric analysis assesses the impact of temperature and rainfall variabilities on TFP. The study does not explicitly incorporate adaptation strategies or mechanisms into the model.","The results revealed that global agricultural productivity grew consistently at a rate of 0.44% p.a., driven by technological progress and mix-efficiency change, with negligible contributions from technical-and scale-efficiency changes; albeit with variations across regions. Both long-term and short-term climatic factors and the natural production environment significantly reduce global agricultural productivity, whereas a host of socio-economic factors have a significant but varied influence. The projected increased level of future climate variability will significantly reduce future agricultural productivity. Increased rainfall and temperature variability negatively impact TFP and future productivity gains.","R&D investment and tailored policies are crucial for mitigating climate change impacts on agriculture. Policy implications include investments in crop diversification, education, agricultural spending, number of researchers, and country specific R&D."
10.5194/essd-12-817-2020,Eberenz et al.,2020.0,Asset exposure data for global physical risk assessment,"One of the challenges in globally consistent assessments of physical climate risks is the fact that asset exposure data are either unavailable or restricted to single countries or regions. This paper introduces a global high-resolution asset exposure dataset responding to this challenge. The dataset is produced using LitPop, a globally consistent methodology to disaggregate asset value data proportional to a combination of nightlight intensity and geographical population data. By combining nightlight and population data, unwanted artefacts such as blooming, saturation, and lack of detail are mitigated. Thus, the combination of both data types improves the spatial distribution of macroeconomic indicators. The LitPop methodology addresses a critical need for spatially explicit asset data in global climate risk assessments, particularly in regions where such data are scarce or inconsistent. The methodology acknowledges GDP as a proxy for asset value due to data limitations.","The LitPop methodology disaggregates national asset values proportionally to a combination of gridded nightlight intensity and population data to create a high-resolution global asset exposure dataset. This involves downscaling national GDP to a grid level, then re-aggregating to subnational regions to obtain a modeled Gross Regional Product (GRP). The modeled GRP is compared to reported GRP values for evaluation in 14 industrialized and newly industrialized countries. The comparison assesses the performance of LitPop against using only nightlights or population data alone. The methodology is implemented in the open-source CLIMADA (CLIMate ADAptation) model, applied to 224 countries.","The comparison for 14 industrialized and newly industrialized countries shows that the disaggregation skill for GDP using nightlights or population data alone is not as high as using a combination of both data types. LitPop, combining nightlight intensity and population data, improves spatial economic activity estimation, reducing limitations of each individual data type. Lit1Pop1 shows the best performance in distributing GDP subnationally and concentrates values in urban areas. The resulting asset exposure dataset for 224 countries is archived in the ETH Research Repository with the link https://doi.org/10.3929/ethz-b-000331316 (Eberenz et al., 2019).","The advantages of LitPop are global consistency, scalability, openness, replicability, and low entry threshold. The open-source LitPop methodology and the publicly available asset exposure data offer value for manifold use cases, including globally consistent economic disaster risk assessments and climate change adaptation studies, especially for larger regions, yet at considerably high resolution. The code is published on GitHub as part of the open-source software CLIMADA (CLIMate ADAptation) and archived in the ETH Data Archive with the link https://doi.org/10.5905/ethz-1007-226 (Bresch et al., 2019b). Evaluation focuses on industrialized nations due to data availability, advising caution for local assessments in low-income countries. The methodology, while globally consistent, requires validation and supplementation with sector-specific data for local use. Limitations exist due to nightlight saturation in urban areas, with future improvements depending on high-resolution population data, empirical asset inventories, and regional validation. LitPop primarily focuses on asset exposure estimation, with no direct consideration of climate drivers or adaptation measures."
10.1088/1748-9326/acea38,Poudel et al.,2023.0,"Housing market dynamics of the post-Sandy Hudson estuary, Long Island Sound, and New Jersey coastline are explained by NFIP participation","Flooding can have profound effects on home values, which in turn can influence the economic recovery trajectories of communities and affect larger financial systems. Understanding the interplay between flood insurance, community risk perception, and historical flooding events is essential to predict future housing market dynamics. This study specifically examines the post-flood housing market response in coastal areas of the Hudson estuary, Long Island Sound, and the New Jersey coastline following Hurricane Sandy, with a focus on the role of the National Flood Insurance Program (NFIP) in these dynamics.","The study employs a socio-environmental (SE) model that incorporates variables such as community perceptions, housing prices, population density, and flood awareness. It also uses interrupted time series (ITS), sigmoid recovery, and K-shaped recovery models to evaluate the temporal impact of flooding on housing prices. The analysis is conducted across 496 coastal census tracts in New York, New Jersey, and Connecticut, with historical data from 1970-2021 for model calibration. The study explores the correlation between model parameters, such as NFIP participation and flood preparedness, using Spearman's rank correlation.","The analysis identifies several key findings: The initial economic impact of Hurricane Sandy was largely mitigated by NFIP participation. A long-term decline in home values was observed in the region, accurately described by an interrupted time series model. There are significant correlations between changes in housing prices (HP) over time and variables representing tract-scale behaviors and perceptions. Tracts with greater post-flood changes in active insurance policies exhibited larger decreases in mean home values than those with stable NFIP participation. The study highlights that while NFIP mitigated initial economic impacts, long-term housing value declines were influenced more by perceived risk rather than direct flood hazards.","This study elucidates the critical role played by insurance participation and community perception in shaping housing market responses to climate-induced shocks. While the NFIP initially absorbed significant economic impacts from Hurricane Sandy, perceptions of flood risk among communities continued to drive long-term decreases in housing values, notwithstanding the apparent absence of immediate flood threats. This trend points to a need for policies addressing community perception and risk awareness alongside existing physical and financial interventions. An enhanced understanding of these socio-environmental dynamics could inform more equitable resource distribution and policy modifications, aiming for improved resilience and adaptive capacity of at-risk communities."
10.1016/j.eneco.2021.105624,Kahn et al.,2021.0,Long-term macroeconomic effects of climate change: A cross-country analysis,"Climate change poses significant risks to global economic stability by impacting key determinants of economic performance. Understanding the macroeconomic effects of climate change is crucial for devising effective mitigation and adaptation strategies. This study investigates the long-term impact of climate variations on economic activity across countries, emphasizing the role of temperature and precipitation deviations from their historical norms and their implications for per capita real GDP growth.","The analysis employs an econometric approach using a stochastic growth model to assess the influence of climate deviations on economic performance. A panel data set comprising 174 countries over the period 1960 to 2014 is utilized. The study links deviations of temperature and precipitation from historical norms (constructed as moving averages over preceding 20, 30, or 40 years) to per capita real output growth through panel regressions with fixed effects (FE), half-panel Jackknife FE (HPJ-FE) or Mean Group (HPJ-MG) estimators, ARDL models, and counterfactual exercises. Chronic climate trends are the primary hazards considered, and the model assumes transitional economic dynamics reflecting adaptive capacities over time.",,"The findings underscore the economic dangers posed by unmitigated climate change, particularly emphasizing the vulnerability of certain nations to persistent temperature increases and climate variability. While the effects are most pronounced in hot and poor regions, all countries, including wealthy or cooler ones, are not immune to negative impacts. Although adaptation mechanisms such as improved infrastructure and planning can mitigate some adverse effects, they may not fully offset the negative impacts due to factors such as insufficient adaptation speed and underestimation of risk. Temperature deviations from historical norms are consistently shown to harm economic growth, even as mitigation efforts aligned with the Paris Agreement present an opportunity to substantially reduce potential economic losses."
10.5194/hess-24-451-2020,Gu et al.,2020.0,Projected increases in magnitude and socioeconomic exposure of global droughts in 1.5 and 2 °C warmer climates,"The Paris Agreement aims to limit global temperature rise to well below 2.0°C and aspires to restrict it to 1.5°C above preindustrial levels. This study investigates global drought conditions in the context of potential warming scenarios of 1.5°C and 2.0°C. Droughts, characterized by intense severity or long duration, can cause significant impacts such as infrastructure failure and ecosystem vulnerability. Despite previous assessments, existing evaluations may underestimate drought risks due to their multi-faceted nature. Understanding these risks is crucial, as projections show that droughts will become more frequent and severe due to global warming.","The study uses a bivariate framework to quantify changes in global drought conditions and socioeconomic exposures under 1.5°C and 2.0°C warming scenarios. Drought characteristics are analyzed using the Standardized Precipitation Evapotranspiration Index (SPEI) combined with run theory, applied to climate projections from 13 CMIP5 global climate models under RCP 2.6, 4.5, and 8.5 scenarios. Bivariate frequency analysis is conducted using copula functions and the 'most likely realization' method to model the joint distribution of drought severity and duration. Socioeconomic exposure is assessed by integrating drought projections with population and GDP data under different Shared Socioeconomic Pathways (SSPs).",The study shows:,"The analysis reveals that limiting temperature rise to 1.5°C compared to 2.0°C reduces global drought impacts, highlighting the importance of stringent climate goals. The study emphasizes increased drought severity, duration, and frequency across global landmasses, particularly affecting mid-latitude and tropical regions, with major implications for population and GDP. Furthermore, it underscores the need to consider adaptation strategies concerning socioeconomic pathways, as adaptation potential is indirectly considered through these frameworks, although specific adaptation measures are not modeled. The study also points out the necessary further investigation of oceanic forcing influence in tropical drought dynamics and acknowledges potential changes over time, stressing the importance of understanding transitional economic dynamics and sequential impact interactions."
10.1016/j.agrformet.2020.108267,Secchi M.A. et al.,2021.0,Winter survival response of canola to meteorological variables and adaptative areas for current canola germplasm in the United States,"The introduction of winter canola (Brassica napus L.) into rotations with winter wheat (Triticum aestivum L.) in the United States (US) revealed economic and agronomic benefits as well as improved weed and pest control. Canola stand establishment during the fall and plant survival over the winter are critical to the success of this crop. The environment plays a key role influencing survival, but in-depth evaluation of meteorological factors has not been conducted. This research study aimed to: i) identify meteorological factors underpinning winter canola survival, ii) build probabilistic response models based on historical meteorological data for different severities of winter kill across the US, and iii) define areas of adaptation of current germplasm. This study addresses the knowledge gap regarding the specific meteorological drivers of winter canola survival, which is crucial for informing agricultural practices and risk management under changing climate conditions.","A winter survival dataset was compiled from the National Winter Canola Variety Trials from 2003 until 2018 (190 site-years) and auxiliary meteorological data over the last 40 years (1979-2019) from Google Climate Engine. Secondary weather variables were calculated to identify cold periods across 190 site-years. Winter canola survival was modeled using a multi-step process including random-effect and mixed models, cluster analysis, and conditional inference trees. Analyses were performed in R using lme4, partykit, and stats packages.","Meteorological variables related to minimum temperature, fluctuating temperatures above and below 0°C, and windchill during the cold period were the main factors accounting for winter kill. Cold periods across all site-years were classified into three clusters: cold periods with high (96%), medium (70%), and low (28%) average plant winter survival. For 94 US sites, the probabilities of these conditions were calculated and summarized in a map that defined areas of adaptation: a large area south of 35° N latitude for the US was identified with greater potential for overwintering success. Based on the response under multiple meteorological conditions, four distinct genotype survival groups were identified (tolerant, semi-tolerant, semi-susceptible, and susceptible). Groups with a greater number of genotypes differ in the impact of meteorological conditions on survival for the medium cluster.","The study identifies key meteorological variables affecting winter canola survival and categorizes survival risk using long-term weather data. A decision tree analysis reveals clusters of survival outcomes across the U.S., highlighting geographic variation. While genotype by environment interaction is important, the environment predominantly influences survival. In regions with more favorable conditions for overwintering success, farmers may be open to introducing this crop to diversify their farming system. The estimated area of adaptation, using long-term weather records (1979-2019) and predictions of canola survival, provides valuable information for farmers considering the adoption of winter canola and for breeders targeting improved cold tolerance. The identification of distinct genotype survival groups also highlights opportunities for tailored management strategies based on variety selection. The findings are particularly relevant in the context of climate change, as shifts in temperature patterns and winter severity could alter the suitability of different regions for winter canola production."
10.5670/oceanog.2020.224,Miller et al.,2020.0,Ancient Sea Level as Key to the Future,"Understanding ancient sea levels provides crucial insights into the mechanisms and rates of sea level changes which are influenced by tectonic processes, climatic variations, and atmospheric CO2 levels. Global Mean Sea Level (GMSL) has fluctuated over millions of years due to ice volume changes paced on astronomical timescales, with significant historical shifts during peak warm intervals and the development of major ice sheets. This historical context allows us to better predict potential future sea level rises under various emissions scenarios, which are driven by ice volume changes, CO2 concentrations, tectonic processes, ocean temperature, orbital cycles, volcanic activity, and anthropogenic warming.","The study reconstructs ancient sea levels using a range of proxies, including benthic foraminiferal δ18O, supplemented by radiometric data, sea level curves, drilling data, sequence stratigraphy, and backstripping. Modern sea level changes are assessed with tide gauges and satellite data, and analyzed using statistical methods and process modeling. The approach focuses on integrating geological and modern data to understand chronic trends in sea level change.",,"The findings emphasize the significance of past warm periods for anticipating future sea level rise under current emissions scenarios. Ancient analogs provide a potential predictive framework for understanding the long-term impacts of continued CO2 emissions on sea level. Historically, GMSL reflects the balance between ice volume changes and atmospheric CO2. The current rate of sea level rise, the fastest in 3,000 years, poses significant challenges and risks, necessitating updated projections for adaptation planning. However, the study focuses on reconstructing and projecting sea levels rather than addressing adaptive strategies, underscoring the critical role of climate indicators in informing policy and adaptation initiatives."
10.1029/2022EF003106,Goulart et al.,2023.0,Increase of Simultaneous Soybean Failures Due To Climate Change,"While soybeans are among the most consumed crops in the world, most of its production lies in the US, Brazil, and Argentina. The concentration of soybean growing regions in the Americas renders the supply chain vulnerable to regional disruptions. In 2012, anomalous hot and dry conditions occurring simultaneously in these regions led to low soybean yields, which drove global soybean prices to all-time records. This study explores climate change impacts on simultaneous extreme crop failures like the 2012 event. The study analyzes climate change impacts on soybean yields in the US, Brazil, and Argentina, which account for 80% of global production.","The study develops a hybrid model, coupling the EPIC-IIASA process-based crop model with a multilayer perceptron (MLP) machine learning model, to improve soybean yield simulation at a 0.5° x 0.5° grid scale, calibrated to observed yields. A dynamic calendar defines the 3-month reproductive stage most sensitive to weather. Climate model simulations from GFDL-esm4, IPSL-cm6a-lr, UKESM1-0-ll under SSP1-2.6 and SSP5-8.5 are used to project yield anomalies from 2020-2100, considering CO2 fertilization and using 2012 harvest areas with rainfed areas based on 2010 data. Anomalies are evaluated relative to present and future conditions, disentangling climate variability and long-term trends, with 'adaptation' and 'no adaptation' scenarios removing long-term trends. Impact analogs of the 2012 event are identified, analyzing trends in mean climate and variability, and country-level risks using different year selections. Methodologies include trend-preserving bias adjustment and statistical downscaling.","Long-term trends in mean climate increase the frequency of 2012 analogs by 11-16 times and the magnitude by 4-15% compared to changes in climate variability only, depending on the global climate scenario. Anomalies like the 2012 event due to changes in climate variability show an increase in frequency in each country individually, but not simultaneously across the Americas. The number of country-level analogs of the 2012 event is 3.4, 4.4, and 9.3 times higher for Argentina, Brazil, and Argentina, respectively. The 2012 event saw losses of 7.2 Mt in the US, 4.9 Mt in Brazil, and 9 Mt in Argentina.","The study deduces that adaptation of the crop production practice to the long-term mean trends of climate change may considerably reduce the future risk of simultaneous soybean losses across the Americas. Adaptation to long-term mean trends can substantially reduce the future risk of these simultaneous losses. The hybrid model improves soybean yield simulations and shows that the risk of 2012-analog events increases, primarily driven by mean climate changes, but this risk can be minimized through adaptation. Limitations include not accounting for land use changes or irrigation, and future work could incorporate socioeconomic factors. Choice of Global Climate Model (GCM) impacts results."
