DOI,Author(s),Year,Paper Title,Link to paper,Paper ID,Reviewer,Status,Country(ies),Outcome(s) of Interest,Drivers of Risk,Scenario(s),Methodology,Calibration Approach,Hazard definition,Impact persistence,Space disaggregation,Impact interactions,Economic dynamics,Climate features,Adaptation considered,Highlights,More Notes,SummaryCount
10.1080/15140326.2024.2329840,Song & Fang,2024.0,Climate change and the influence of monetary policy in China,https://www.econstor.eu/bitstream/10419/314264/1/1916881041.pdf,10.1080/15140326.2024.2329840,AI,Step 5,China,"GDP, CPI, firm profitability, non-performing loan ratios, bank lending, monetary policy efficiency, labor productivity, and total factor productivity are key macroeconomic outcomes analyzed.","Temperature shocks (deviations from historical averages) and monetary policy shocks drive the analyzed risks, acting as proxies for climate change and impacting economic outcomes through channels like credit constraints.","High and low temperature regimes, defined by temperature shocks based on deviations from moving averages, are used to analyze outcomes.","The study employs Threshold Vector Autoregression (TVAR) models to analyze the regime-dependent effects of temperature and monetary policy shocks on macroeconomic variables, examining impulse responses and the bank credit channel, using Chinese data and bank-level microdata.",Econometric,Acute shocks,Adaptive,Regional,Sequential Interactions,Transitional (accounting for changes over time),Other,Adaptation itself is not explicitly modeled or quantified; the focus is on analyzing the impact of temperature shocks on monetary policy effectiveness and economic output.,"Climate change, proxied by temperature shocks, weakens the effectiveness of expansionary monetary policy and amplifies the impact of contractionary policy by creating credit constraints through increased non-performing loan ratios in the banking sector; temperature shocks also lead to larger fluctuations in economic outputs.",The study uses data from Chinese banks (2004Q2-2021Q4) and proposes adjusting monetary policy aggressiveness based on temperature levels to address the weakened monetary policy efficiency caused by climate-induced credit constraints.,3.0
10.1017/S1355770X20000224,Peet et al.,2021.0,Early-life environment and human capital: Evidence from the Philippines,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9BCD151B9BB5A5A739A68E54D4ECC025/S1355770X20000224a.pdf/div-class-title-early-life-environment-and-human-capital-evidence-from-the-philippines-div.pdf,10.1017/S1355770X20000224,AI,Step 5,Philippines,"Earnings, hours worked, human capital, labor market outcomes, cognitive outcomes, schooling, anthropometric outcomes, GDP impact.","Early-life exposure; temperature extremes; precipitation extremes; air pollution (CO, O3); weather events.",Historical weather and pollution data from the Philippines during the 1980s; no explicit socioeconomic or climate scenarios.,"Longitudinal survey data linked with historical weather and pollution data; OLS regressions, LIML, and MBTSLS instrumental variable regressions; discount rate model to calculate present value outcomes.",Econometric,Acute shocks,Permanent,Local,Sequential Interactions,Transitional (accounting for changes over time),,Limited scope for pollution avoidance behaviors assumed; weather variables used as controls in regressions.,"Early-life exposure to pollution, particularly O3, and extreme weather events significantly impact human capital development and long-term economic outcomes; weather primarily affects short-term anthropometric measures, while pollution impacts cognitive and labor market outcomes; environmental regulations can be investments that promote economic growth.","Study focuses on Metro Cebu, Philippines; limitations include the lack of variation in typhoon exposure across the study area; the study analyzes the impact of prenatal and postnatal environmental exposures on lifetime health and human capital.",5.0
10.1016/j.jeem.2017.07.009,Chen & Yang,2019.0,Temperature and industrial output: Firm-level evidence from China,https://www.efdinitiative.org/sites/default/files/publications/temperature_and_industrial_output.pdf,10.1016/j.jeem.2017.07.009,AI,Step 5,China,"Industrial output in China is the primary outcome, with consideration of value added per worker, firm-level production, investment, and inventory levels.","Temperature changes are the primary driver, measured through seasonal averages, temperature bins, and daily averages, along with warming scenarios (B1, A2) from climate models (UKMO-HadCM3, PCM).","Warming scenarios B1 and A2 from the UKMO-HadCM3 and PCM climate models, with projections from the ClimateWizard database.","Firm-level panel data from China (1998-2007) is used in fixed effects regression models to estimate the impact of temperature on industrial output, controlling for weather variables (rainfall, sunshine duration, air pressure, humidity, wind speed), firm fixed effects, and industry-year fixed effects, with robustness checks.",Econometric,Chronic trends.,Adaptive,Local,Sequential interactions.,"Transitional, accounting for changes over time.",None.,"Adaptation is implicitly analyzed through examining industrial output responses to temperature changes and considering lagged temperature effects, alternative temperature variables (bins, seasonal averages), and other weather variables.","Industrial output in China is nonlinearly affected by temperature; Summer temperature increases negatively impact output, particularly in low-temperature regions; Lagged temperature changes significantly impact current output; Future warming is projected to reduce industrial output.",The study uses firm-level data from China (1998-2007) and acknowledges that the estimated climate impacts may overestimate long-term damage due to incomplete accounting for adaptation; Adaptation may have been actively undertaken in high-temperature regions.,3.0
10.1007/s10584-023-03611-3,Moyer et al.,2023.0,How many people will live in poverty because of climate change? A macro-level projection analysis to 2070,found,10.1007/s10584-023-03611-3,AI,Step 5,175 countries,"Poverty (extreme poverty, poverty rates, climate-attributable poverty), inequality (Gini coefficient), economic growth (GDP, GDP per capita)","Climate change, temperature change, precipitation variation, RCPs, SSPs, climate tipping points, economic growth/development, inequality, agricultural impact","RCP 2.6, RCP 4.5, RCP 6.0, RCP 8.5, SSP1, SSP2, SSP3, SSP4, SSP5, IFs-RCP model scenarios","The study utilizes the International Futures (IFs) model, a six-sector general equilibrium model, to project the impact of climate change on economic growth, inequality, and poverty across 175 countries through 2070, combining Representative Concentration Pathways (RCPs) for temperature trajectories with Shared Socioeconomic Pathways (SSPs) for economic growth, inequality, and population change. The DICE model damage function is also used.",,Chronic trends,Adaptive,Global,Sectoral Interactions,Transitional (accounting for changes over time),Tipping Points,"Climate change impacts are modeled via damage functions and SSP-RCP scenarios, but adaptation is not explicitly modeled or discussed.","Climate change is projected to reduce global GDP and increase inequality, potentially pushing millions more into poverty. Improving income distribution is crucial to mitigating these long-term impacts. Macro-level models may underestimate the true impact of climate change on poverty.","The study analyzes the impact of climate change on poverty, considering socioeconomic development pathways and incorporating climate tipping points. The IFs scenario aligns with the pessimistic SSP3. The research emphasizes the need for mitigation, adaptation, and balanced socio-economic development.",3.0
10.1073/pnas.2103081118,Dietz et al.,2021.0,Economic impacts of tipping points in the climate system,found,10.1073/pnas.2103081118,AI,Step 5,180 countries,"Social Cost of Carbon (SCC), global GDP, national climate damages, consumption per capita, tipping points, welfare losses, GDP per capita","Climate tipping points, permafrost carbon feedback, ocean methane hydrates dissociation, ice sheet disintegration (Greenland Ice Sheet, West Antarctic Ice Sheet), Atlantic Meridional Overturning Circulation (AMOC) slowdown, atmospheric circulation changes, Amazon rainforest dieback, Arctic sea ice loss, sea level rise, temperature changes, economic risk.","RCP4.5-SSP2, RCP4.5, and RCP8.5","Meta-analytic Integrated Assessment Models (IAMs) with country-level resolution, coupled with Monte Carlo simulations, are used to estimate the Social Cost of Carbon (SCC) and the economic impacts of climate change.",,Stylised changes,Permanent,Global,,Transitional (accounting for changes over time),Tipping Points,Not explicitly addressed; focuses on modeling climate damages and calculating the social cost of carbon.,"Climate tipping points significantly increase global economic risk and the social cost of carbon (SCC), particularly due to ocean methane hydrates and permafrost thaw. Tipping points increase inequality in climate impacts and disproportionately affect poorer countries. Country-level impacts and SCC changes vary significantly.","A reduced-form tipping points damage function is presented for integration into Integrated Assessment Models (IAMs). The analysis acknowledges potential underestimation due to incomplete coverage of tipping points, interactions, and impact channels. Tipping point impacts have differential regional effects.",3.0
10.3390/w14060967,Taguchi R. et al.,2022.0,Global-Scale Assessment of Economic Losses Caused by Flood-Related Business Interruption,found,10.3390/w14060967,AI,Step 5,"Global, with subnational data from 11 unnamed countries used for gridded GDP calculations.","GDP effects, Business Interruption (BI) loss, asset damage, and productivity loss due to flooding.","Climate change, river flooding, meteorological data inaccuracies, prolonged inundation, inadequate flood protection, socioeconomic changes, and river basin characteristics.","S14FD-Reanalysis (1960-2013), S14FD-GCM (1961-2005), RCP8.5 (2006-2098), and SSP3.","A global river and inundation model (CaMa-Flood) driven by bias-corrected meteorological forcing data (S14FD) is used to estimate flood-related asset damage and business interruption (BI) loss. Gridded GDP is derived from building height data and World Bank data. BI loss is estimated based on inundation period, GDP data, and a proportional constant.",Stylised.,Acute shocks,Adaptive,Global.,Spatial Interactions.,Transitional (accounting for changes over time),,Flood protection measures are considered by comparing scenarios with and without flood protection. The effectiveness of flood protection varies by river basin.,Flood-related Business Interruption (BI) losses are significant and can be comparable to direct asset damage. Climate change is projected to increase both BI loss and asset damage. Flood protection measures can substantially reduce both BI loss and asset damage. BI loss is often underestimated in global flood risk assessments.,The study models flood-related BI losses globally using pre-existing datasets. BI loss is greater in river basins with mild slopes and long inundation periods. The analysis acknowledges uncertainties in spatial asset distribution and BI period estimation. The study does not estimate high-order propagation effects.,3.0
10.3390/su13063135,Nakatani R.,2021.0,Fiscal rules for natural disaster‐ and climate change‐prone small states,found,10.3390/su13063135,AI,Step 5,"Pacific Island Countries (PICs), particularly Papua New Guinea (PNG), and other small, developing states prone to natural disasters and climate change.","Budget balance, debt (levels, dynamics, sustainability, debt-to-GDP ratio), public expenditure, public revenue, economic growth, economic stability, fiscal sustainability, interest rates, risk premium, GDP, intergenerational equity.","Natural Disasters (frequency, intensity, temporary/permanent shocks), Climate Change (permanent shocks), Revenue Volatility (resource, tourism, donor grants), Debt Level/Debt-to-GDP Ratio, Changes in Interest Rates.","Scenarios involving natural disaster shocks, climate change shocks, and commodity price fluctuations.","Development and analysis of rule-based fiscal policies, including recurrent expenditure rules, incorporating natural disaster shocks into debt sustainability frameworks, and steady-state analysis.",Econometric,Acute shocks,Permanent,Regional,Sequential Interactions,Transitional (accounting for changes over time),,"Adaptation is addressed through proposed fiscal rules designed to build resilience to natural disasters and climate change impacts, including incorporating disaster shocks into debt and budget balance targets and developing disaster-resilient expenditure rules.","Fiscal rules are crucial for managing risks from climate change and natural disasters, particularly in PICs. A recurrent expenditure rule based on non-resource and non-grant revenue, interdependently determined by debt and budget balance targets, is advocated for its countercyclical properties and practical applicability.","The fiscal policy framework is designed for developing countries frequently impacted by natural hazards and climate change. It proposes using non-resource, non-grant revenue as a base, especially for expenditure ceilings. The study highlights the limited research on fiscal rules incorporating natural disasters and emphasizes the need for country-specific tailoring of debt targets and fiscal rules.",3.0
10.1007/s10368-022-00539-4,Xiong T. et al.,2022.0,OECD countries’ twin long-run challenge: The impact of aging dynamics and increasing natural disasters on savings ratios,found,10.1007/s10368-022-00539-4,AI,Step 5,OECD countries,"Savings rates, economic growth path, and per-capita income.","Climate change (extreme weather, natural disasters), aging population (old-age dependency ratio, savings rate), demographic changes (savings & tax rates), and long-term interest rates.",No specific socioeconomic or climate scenarios are named; analysis uses historical panel data (1980-2020) focusing on the impact of aging and natural disasters.,Panel data analysis with fixed effects is employed using an enhanced Solow growth model to assess the impact of aging and natural disasters on savings ratios in OECD countries from 1980 to 2020.,Econometric,Acute shocks,,Regional,,Transitional (accounting for changes over time),,Adaptation isn't explicitly mentioned; the focus is on the impacts of natural disasters and demographic changes on savings ratios and economic growth.,"Aging populations and increasing natural disasters negatively impact savings rates in OECD countries. Natural disasters, measured by duration, significantly reduce savings rates. Successful climate policy, by reducing disaster frequency, can increase the global (OECD) savings ratio.","The study investigates the relationship between natural disasters, savings rates, per-capita income, and the old-age dependency ratio in OECD countries, with government aid's potential influence on household insurance behavior and subsequent effects on savings rates being considered.",2.0
10.1126/science.aad9837,Carleton T.A. & Hsiang S.M.,2016.0,Social and economic impacts of climate,,10.1126/science.aad9837,AI,Step 5,Not specified; research uses global data from rich and poor countries.,"GDP, economic growth, income, total factor productivity, productivity losses, maize yields, conflict risk, and mortality rates.","Temperature, tropical cyclones, rainfall patterns, ENSO, and extreme heat.","Regression analysis, simulation models projecting future impacts based on climate change scenarios, best possible environmental conditions.","Quantitative empirical research utilizing statistical and spatiotemporal models, regression analysis, and simulation models; focused on GDP per capita responses and adaptation gaps.",Econometric,Acute shocks,Adaptive,Global,Sequential and Spatial,Transitional (accounting for changes over time),,Analysis of adaptation gaps and investment levels; comparing realized vs. optimal conditions.,"Climate change poses substantial risks to multiple sectors and geographies, impacting GDP growth, agricultural yields, and productivity. Current conditions impose economic burdens comparable to future projections, with limited adaptation effectiveness.",Understanding adaptation gaps is critical for policy design; adaptation alterations are minor in quantitative analysis; future impacts projected using IPCC scenarios.,3.0
10.5194/essd-10-185-2018,Geiger et al.,2018.0,A global historical data set of tropical cyclone exposure (TCE-DAT),https://essd.copernicus.org/articles/10/185/2018/essd-10-185-2018.pdf,10.5194/essd-10-185-2018,AI,Step 5,"The document does not specify a particular country or group of countries. It describes a methodology using global datasets (HYDE, IBTrACS, HURDAText) and models (Holland08) to estimate exposure to tropical cyclones.","Economic output (GDP), development, mortality, displacement, education, tropical cyclones (TCs), exposed population, exposed assets, economic damage, gross cell product (GCP).",Tropical cyclones; ENSO; wind speed thresholds; underreporting.,"TCE-hist, TCE-2015, Shared Socio-economic Pathways","Estimates exposure to tropical cyclone wind speeds using a simplified Holland08 wind field model based on historical TC activity from the IBTrACS database. Spatially explicit population data from HYDE and GDP data are overlaid with estimated wind fields to determine the population and assets exposed to varying wind speeds (34, 64, and 96 knots). The analysis compares exposure estimates using historical and fixed 2015 patterns of population and asset distribution (TCE-hist and TCE-2015), and also compares estimates from HURDAText data with those from the Holland08 model. Historical data (1850-2005) are harmonized with future projections (2006-2100) using Shared Socio-economic Pathways.",Stylised,Acute shocks,,Local,Spatial Interactions,Transitional (accounting for changes over time),,"The paper assesses current and future exposure of people and assets to tropical cyclone wind speeds using various models and historical databases. Different spatial and temporal patterns of population and economic distribution are factored into estimates, allowing for a comparative analysis between fixed patterns and temporal changes. By overlaying estimated wind areas with socioeconomic data, the research implicitly suggests considering how adaptation measures could mitigate risk. However, specific adaptation strategies or their effectiveness in reducing exposure or vulnerability are not explicitly detailed.","TCE-DAT, a freely available dataset covering 1950-2015, offers spatially explicit, country-event-level data on tropical cyclone (TC) exposure, including gridded wind speeds and exposed population and assets. It covers 5335 events based on 2713 TCs, separating exposure to wind speeds above 34, 64, and 96 knots and enables analysis of TC risk and potentially economic impacts, although data before 1980 may be less reliable due to underreporting, while higher vulnerability and exposure are present at lower wind speed thresholds (34 kn).","TCE-DAT, a dataset on tropical cyclone exposure, is used to assess the drivers of exposure change, estimate vulnerability, and build predictors for societal impacts like GDP effects. Potential limitations include underreporting of cyclones prior to 1980 (particularly in the Indian and South Pacific Oceans), a simplified wind field model, and potential deviations in exposure estimates. Validation relies on US data. Funding sources and data contributors are acknowledged.",1.0
10.1016/j.gloenvcha.2023.102667,Park C.Y. et al.,2023.0,Impact of climate and socioeconomic changes on fire carbon emissions in the future: Sustainable economic development might decrease future emissions,Unknown,10.1016/j.gloenvcha.2023.102667,AI,Step 5,Unable to determine the country or group of countries based on the provided notes.,GDP per capita; Fire carbon emissions (CCE); Reduction; Fire management; Capitalized agriculture.,Climate change; socioeconomic changes; meteorology; biomass; land use; population density; GDP per capita; fire risk; fuel dryness; fuel load; fire suppression.,The paper does not mention specific technical scenario names for socioeconomic or climate scenarios within the provided notes.,"The methodology involves analysis over the 21st century, focusing on the impacts of meteorology, biomass, land use, population density, and GDP per capita. Decomposition analysis was conducted across nine scenarios to assess cumulative fire carbon emission changes from 2020 to 2099 compared to historical data, determining factor contributions to these changes. Original socioeconomic impact functions (CLMfse) were utilized to project future fire carbon emissions, and simulations explored emissions and fire spread under varying economic development scenarios, concentrating on future projections.",,Acute shocks,Adaptive,Global,,Transitional (accounting for changes over time),,"The analysis examines long-term changes in meteorology, biomass, land use, population density, and GDP per capita. Future fire C emissions are projected using socioeconomic impact functions under different economic development scenarios. Simulations explore fire emissions and impacts on fire spread, with analysis focused on future projections.","Economic growth (GDP per capita) is projected to significantly reduce future fire carbon emissions globally, particularly in African savannas, Southeast Asia, West Asia, and parts of South America, due to enhanced fire management and reduced fire frequency; however, increased fire disturbance could transform boreal forests into carbon sources.","Future fire carbon emissions are modeled as a function of meteorological factors, biomass, land use, population density, and GDP per capita under different SSP-RCP scenarios. Projections suggest that biomass contributions may be small or negative due to projected regional biomass decreases.",1.0
10.1038/NCLIMATE2807,Hope & Schaefer,2016.0,Economic impacts of carbon dioxide and methane released from thawing permafrost,https://www.nacarbon.org/nacp/documents/WWR_Nov_2015_Hope.pdf,10.1038/NCLIMATE2807,AI,Step 5,Global (no specific country),NPV of climate change impacts; Global GDP loss (%); Extra economic impacts (US$); Non-economic impacts; Permafrost emissions costs.,Permafrost thaw; CO2 emissions; CH4 emissions; Anthropogenic emissions; Global temperature increase.,"A1B, SSP2, SSP3, UK Met Office 2015r5low, IPCC AR4 A1B.","PAGE09 integrated assessment model used to simulate economic impacts of climate change, focusing on permafrost emissions with 100,000 simulations. Sensitivity to key parameters assessed.",,Chronic trends,Adaptive,Global,Sectoral Interactions,Transitional (accounting for changes over time),Tipping Points,"Indirectly through the PAGE09 model's evaluation of economic impacts and socio-economic and abatement scenarios, though specific adaptation considerations are not outlined.","Permafrost emissions exacerbate global warming and significantly increase the economic costs of climate change. Aggressive abatement strategies are crucial to mitigate these costs. Prior to this study, there were no estimates of the economic impacts from permafrost emissions of CO2 and CH4.",Key uncertainties arise from model parameterizations and the inclusion of permafrost emission impacts not previously economically modeled. Economic loss estimates exclude infrastructure damage.,2.0
10.5194/esd-14-1015-2023,Hartin C. et al.,2023.0,Advancing the estimation of future climate impacts within the United States,found,10.5194/esd-14-1015-2023,AI,Step 5,United States,"US national damages, sectoral impacts, GDP effects, annual damages (USD), 2090 projections, per capita damages, premature mortality. Costs are monetized.","Climate change; Temperature changes/increases; Sea level rise; Greenhouse gas emissions (CO2, CH4, N2O); Air quality (O3, PM2.5, wildfire smoke, dust); Extreme weather. Socioeconomic conditions and model/scenario uncertainty also drive risk.","RFF-SPs (Resources for the Future - Shared Policy assumptions), SSPs (Shared Socioeconomic Pathways).","The study employs the FrEDI (Framework for Evaluating Damages and Impacts) model to project climate-driven economic and physical impacts across 10,000 scenarios. The analysis spans through the year 2300 to evaluate net present damages using both constant and Ramsey discounting methods. A reduced-complexity climate model (FaIR) is used for temperature projections, alongside socioeconomic data.",Stylised,Chronic trends,Adaptive,Regional,Sectoral Interactions,Transitional (accounting for changes over time),Other climate complexities included,"Adaptation measures are incorporated directly within the FrEDI model, including reactive and potentially proactive adaptation strategies from underlying sectoral studies. Sector-specific adjustment factors, GDP scaling, and adaptation scenarios influence damage estimates.","Climate change is projected to significantly increase net national damages in the US, particularly impacting human health through temperature-related mortality. Damages vary geographically, disproportionately affecting the Southeast and exacerbating existing inequalities. Adaptation can mitigate damages.","The analysis, focused on the contiguous US (CONUS), uses the FrEDI model to estimate climate change impacts. FrEDI incorporates adaptation scenarios. The study acknowledges limitations, including potential double-counting and uncounted compounding effects. Discontinuities may exist in some sector damages due to temperature thresholds.",2.0
10.1016/j.worlddev.2015.03.003,Lohmann & Lechtenfeld,2015.0,The Effect of Drought on Health Outcomes and Health Expenditures in Rural Vietnam,https://www.econstor.eu/bitstream/10419/100099/1/787337579.pdf,10.1016/j.worlddev.2015.03.003,AI,Step 5,Vietnam,"Health expenditures, illness incidence (individual/household), BMI","Drought (frequency, severity, rainfall patterns, length of dry spells), agricultural dependency",Historical rainfall data,"Panel data analysis of rural Vietnamese households using OLS and IV regressions, including fixed effects, to estimate the causal effect of drought on health outcomes and expenditures.",Econometric,Acute shocks,,Local,,Transitional (accounting for changes over time),,"Indirectly through examining the impact of extreme weather, such as droughts, on health and financial outcomes at the household level.","Drought significantly increases illness, particularly in agriculture-dependent households, leading to higher health expenditures. Drought severity measures, particularly the three-month average, are strongly associated with illness incidence.","The study examines the micro-level impact of drought on household health, focusing on agricultural dependency and disease. Government-subsidized health insurance reduces adverse health effects of drought. Analysis acknowledges potential indirect links to macroeconomic or fiscal consequences through productivity impacts of illness.",2.0
10.1007/s13753-014-0035-0,Fang J. et al.,2014.0,Assessment and Mapping of Potential Storm Surge Impacts on Global Population and Economy,https://core.ac.uk/download/pdf/190372141.pdf,10.1007/s13753-014-0035-0,AI,Step 5,Global,"Storm surges, GDP impact, population impact, economic losses, economic risk, potential inundated area.","Climate change, storm surges (tropical cyclones, extreme precipitation, strong winds), sea-level rise, coastal topography.",Historical data (1975-2007) and statistical projections; no specific socioeconomic or climate scenarios are explicitly named.,"Projecting inundated areas using information diffusion theory and historical sea-level data, considering coastal morphology and cyclone tracks; GIS environment to estimate inundated area, affected population, and GDP; validation against historical storm surge data.",Stylised,Acute shocks,,Global,Spatial Interactions,Transitional (accounting for changes over time),Other,"The paper estimates potential storm surge impacts and provides a basis for disaster prevention and reduction plans, highlighting the need for adaptive strategies without explicitly modeling or costing adaptation measures.","Assessment of storm surge impacts on global population and GDP, identifying high-risk areas and potential economic losses.",The study uses a global database of extreme water levels to assess storm surge impacts across 57 countries. A limitation is the lack of a comprehensive global database on shoreline protection.,2.0
10.1080/17565529.2022.2074349,Shayegh S. & Dasgupta S.,2024.0,"Climate change, labour availability and the future of gender inequality in South Africa",found,10.1080/17565529.2022.2074349,AI,Step 5,South Africa,"The study analyzes the impact of climate change on output per adult (GDP per adult), labor supply (total, sectoral, and gender-differentiated), wages (skilled/unskilled, male/female), wage ratios (gender, skill), the gender pay gap, sectoral productivity, and income.","Key drivers of risk are climate change, specifically temperature (maximum, mean, and changes), precipitation, labor availability (gender, skill level), and sectoral productivity, analyzed under different RCP scenarios.","The study uses SSP2 socioeconomic projections and different RCP climate scenarios (RCP 2.6, RCP 4.5, RCP 6.0, and RCP 8.5).","The study employs an Overlapping Generations (OLG) model, calibrated with South African micro-survey data (2008-2017 NIDS panel data), to project the macroeconomic impacts of climate change. The methodology involves econometric analysis using truncated Poisson models and regression models (including 2SLS) with fixed effects, to estimate the impact of temperature and precipitation on labor supply.",,Chronic trends,Impact persistence is considered permanent.,"The analysis is performed at a regional level, focusing on South Africa.",Sectoral interactions are considered in the analysis.,"The dynamic nature of the economy is considered, with some reviewers noting an adaptive approach and another reviewer suggesting a transitional approach.",,"The study considers the impacts of temperature on labour supply, differentiated by sector, skill, and gender. These are incorporated into the OLG model, projecting future economic outcomes under different climate scenarios (RCPs and SSPs) by considering changes in labour productivity and wages due to climate change, and potentially labour reallocation between sectors. Explicit adaptation strategies are not modelled or assessed.","Climate change negatively impacts labor supply, particularly for women and low-skilled workers, especially in high-exposure sectors. While climate change may reduce gender and skill-based wage gaps, the overall economic impact is negative due to decreased labor availability and sectoral productivity. Maximum temperatures have a greater impact on labor supply than average temperatures. Output per adult is negatively impacted.","The study analyzes climate change impacts on labor supply, differentiating effects by gender and sector exposure level, focusing on South Africa. It uses South African data to calibrate the model, incorporating climate impacts on labor availability and productivity. The analysis may not account for wage adjustment equilibrium effects, unemployment, or future gender pay equalizing policies.",3.0
10.1057/s41288-017-0075-y,Holzheu T. & Turner G.,2018.0,"The Natural Catastrophe Protection Gap: Measurement, Root Causes and Ways of Addressing Underinsurance for Extreme Events†",https://www.internationalinsurance.org/sites/default/files/2018-04/The%20Natural%20Catastrophe%20Protection%20Gap.pdf,10.1057/s41288-017-0075-y,AI,Step 5,"53 countries (or subsets thereof, such as 45, 51, or 30), including Advanced and Emerging economies, considered globally.","GDP effects, uninsured losses, economic losses, natural catastrophes, property insurance penetration, fiscal outcomes, protection gaps, macroeconomic impacts, disaster relief expenditure, underinsurance, and economic recovery.","Natural catastrophes (earthquakes, floods, windstorms, weather-related events); Economic development/growth (GDP, consumption per capita, savings); Insurance penetration (take-up rate, underinsurance); Risk exposure; Governance (property rights, corruption, political risk); and Technology access.","Analysis primarily relies on historical data (1980-2015, 1990-2016), global hazard maps, and catastrophe scenarios, without explicitly specifying socioeconomic or climate scenarios in most cases.","Mixed-methods approach including panel data analysis (regression models), geophysical scenario modeling (Monte Carlo simulation), benchmarking of insurance penetration against economic development (consumption per capita), and analysis of historical loss data to quantify the protection gap.",Econometric,Acute shocks,,Global,,Transitional (accounting for changes over time),,"Indirectly, through modeling insurance penetration as a proxy for resilience and analyzing factors influencing its uptake. Focus is on quantifying underinsurance and the protection gap, with discussion on policy and market interventions to improve insurance coverage.","A significant global protection gap exists for climate-related risks, especially in emerging economies, with substantial uninsured losses relative to GDP. Economic development influences insurance demand, but underinsurance persists. Factors like mortgage penetration and digital access affect insurance uptake, while government risk transfer mechanisms and mandatory schemes can reduce the protection gap.","The study analyzes the 'protection gap' (uninsured losses) and 'underinsurance', focusing on property insurance against natural catastrophes. It uses a unique dataset of property insurance premiums and Swiss Re sigma data to identify drivers of insurance penetration and emphasizes the importance of insurance in mitigating the economic impacts of natural disasters.",3.0
10.3390/ijerph8124386,Trærup S.L.M. et al.,2011.0,The costs of climate change: A study of cholera in Tanzania,found,10.3390/ijerph8124386,AI,Step 5,"Tanzania, Peru, Fiji","GDP effects, cholera costs (climate change attributable), Tanzania, productivity losses, value of statistical life (VOSL), morbidity, mortality, adaptation costs (preventive and reactive), waterborne diseases (Sub-Saharan Africa), diarrheal diseases.","Climate change; Temperature increase; Rainfall changes (intensity, patterns, drought); Cholera incidence/prevalence; Diarrheal diseases; East Africa; Tanzania; Socioeconomic factors; Adaptation measures (insufficient).",Baseline scenario (C0) based on Mathers and Loncar [35] projections (including diarrheal disease estimates based on correlations between economic growth and mortality trends). Also uses lower and upper boundary projections based on different assumptions about the relative risk increase with temperature.,"The methodology involves a case study approach centered on Tanzania, integrating historical data on temperature, rainfall, and cholera cases, while controlling for socioeconomic factors. It projects the future burden and costs of climate change-attributable cholera cases by 2030. Using historical data, the relationship between climate variables and cholera is estimated, and a health impact assessment is proposed. A baseline scenario is established using existing projections and correlations. Regression models, chosen for their fit and significance, assess the impact of climate and socioeconomic factors on cholera incidence. Reactive adaptation costs and productivity losses are calculated, with cost estimates adjusted for Tanzania's GDP. Analyses incorporate seasonality through dummy variables and use both annual and monthly datasets to project future boundaries of risk. Long-term datasets and unpublished data inform cost estimates, while the adaptation costs in the health sector consider future economic development and health system strengthening. Econometric analyses include negative binomial regression models to describe the relationship between cholera deaths and influencing factors, utilizing datasets on income and water coverage.",Econometric,Acute shocks,Adaptive,,Sequential Interactions,Transitional (accounting for changes over time),,"Reactive adaptation costs are calculated based on the number of climate change-attributable cholera cases and the unit cost per case treated. A future baseline disease burden is incorporated, implying a reduction in incidence rates due to economic growth and health sector developments. The cost estimation is based on VOSL and projected cholera deaths. Strengthening of the health system is considered. Water and sanitation coverage is included in projections of disease.","Climate change is projected to significantly increase the burden of cholera in Tanzania, potentially costing between 0.32% and 1.4% of GDP by 2030. A 2°C temperature increase could lead to substantial increases in cholera cases and deaths, with the majority (90%) of costs attributed to loss of life. The study estimates additional costs from reactive adaptation measures and productivity losses due to climate change induced cholera, and highlights the positive correlation between temperature and cholera cases. Implementing adaptation measures that limit temperature increase could yield cost reductions of 44-47%. The cost estimates exceed current diarrheal disease budgets, underscoring the need for increased budgetary allocation. Socioeconomic development and water cover are negatively correlated with cholera deaths.","A 2011 study focusing on Tanzania examines the economic costs of climate change, specifically cholera incidence, within the health sector. It aims to inform adaptation financing and planning but acknowledges limited econometric reliability due to short datasets. The analysis models cholera costs, considering lost productivity (including caretaking) using agricultural wages as a proxy. Preventive adaptation costs (assumed aligned with national development goals of universal water and sanitation by 2025) are excluded, focusing on reactive adaptation costs and residual impacts. The study acknowledges focusing narrowly on cholera, potentially underestimating overall health costs of climate change by excluding other climate-sensitive diseases. The distributional impacts of adaptation are not considered. The study emphasizes the need for national and local quantification of climate-sensitive disease burdens and refinement of preventative and reactive adaptation cost estimates within the health sector. The time-trend variable is included to capture socioeconomic variables.",1.0
