DOI,gemini,openai,common,priority,passfail
10.1038/517145e,XO,XC XV XN,Disagree,1,Unknown
10.1016/j.quascirev.2016.02.004,XC XV XN,XC XV XN,XN XC XV,0,NA
10.5755/j01.ppaa.21.1.29950,XC,XC,XC,0,NA
10.1016/j.egypro.2009.02.204,XO,XN,Disagree,1,Failed
10.3832/ifor3172-013,XO,XC XN,Disagree,6,Passed
10.22075/macs.2024.33800.1644,XV XN,XN,XN,0,NA
10.1111/risa.12119,XN XO,XN,XN,0,NA
10.3390/rs5073305,XC XV,XC XV XN,XC XV,0,NA
10.1039/c9se00833k,XO,XN,Disagree,1,Failed
10.1016/j.jhydrol.2023.129573,XV XN,XC XN,XN,0,NA
10.1023/A:1012525626267,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1109/JURSE57346.2023.10144156,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jclepro.2019.118571,XN,XV XN,XN,0,NA
10.1016/j.apenergy.2013.06.020,XC XN,XC XV XN,XN XC,0,NA
10.1007/s10368-017-0392-4,RE,XC XV XN XA,RE,3,Failed
10.1111/gcb.15900,XV XN,XV XN,XN XV,0,NA
10.1016/j.irfa.2024.103196,XC XN,XC XV XN,XN XC,0,NA
10.3390/ijerph19031374,XN XO,XC XN,XN,0,NA
10.1016/j.apenergy.2023.120958,XN,XN,XN,0,NA
10.1007/s11069-018-3297-9,XN XO,XN,XN,0,NA
10.1007/s00442-024-05556-5,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.landusepol.2018.02.028,XO,XC XV XN,Disagree,1,Unknown
10.1039/c7ra09233d,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1080/02723646.2018.1547872,XC XN,XC XV XN,XN XC,0,NA
10.17746/1563-0102.2018.46.3.032-040,XN,XC XN,XN,0,NA
10.1029/2024JG008095,XV XN,XV XN,XN XV,0,NA
10.3390/en11092213,RE RF,RE RF RA,RE RA RF,5,Failed
10.1016/j.enpol.2018.08.059,RE,XC XV XN,RE,3,Failed
10.1007/s10668-019-00327-2,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s40030-024-00790-9,XC XV XN,XC XN,XN XC,0,NA
10.1051/e3sconf/202131403001,XV XN,XN,XN,0,NA
10.3390/su6063232,XN,XN,XN,0,NA
10.1016/j.agrformet.2019.04.008,XV XN,XC XV XN,XN XV,0,NA
10.3390/su151512064,XC XN XA,XN,XN,0,NA
10.17660/ActaHortic.2021.1311.7,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/B978-0-12-805200-6.00002-5,XN XO,XC XV XN,XN,0,NA
10.1016/j.aquaculture.2023.739688,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.pepi.2024.107199,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.rser.2012.04.040,Ambiguous,XC XV XN,Ambiguous,2,Failed
10.1111/1467-8489.12120,XC XV,XA,Disagree,1,Failed
10.1016/j.jeem.2023.102801,XV XN,XV XN,XN XV,0,NA
10.1016/j.dendro.2024.126213,XC,XC XV XN,XC,0,NA
10.1890/10-1325.1,XO,XV XN,Disagree,6,Passed
10.1016/j.agsy.2022.103523,XV XN,XC XV XN,XN XV,0,NA
10.3390/f12091151,XN,XV XN,XN,0,NA
10.1007/978-94-007-7353-0_7,XV XN XO,XV XN,XN XV,0,NA
10.1007/s11053-014-9262-8,XC XN,XC XN,XN XC,0,NA
10.3390/en17040910,XV XN,XC XN,XN,0,NA
10.14395/hid.939566,XO,XC XN,Disagree,1,Unknown
10.1002/ecy.2583,XC XV XN,XC XN,XN XC,0,NA
10.1111/j.1365-246X.2008.03995.x,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.ribaf.2021.101450,XN,XN,XN,0,NA
10.1007/978-3-030-90895-9_2,XO,XC XN,Disagree,1,Failed
10.1016/j.jenvman.2017.12.078,XV XN,XC XV XN,XN XV,0,NA
10.1007/s10666-019-09667-9,RE,XN XO,RE,3,Failed
10.3389/frsc.2021.668263,XC XN,XC XN,XN XC,0,NA
10.1016/j.heliyon.2023.e16265,RE,XC XV XN,RE,3,Failed
10.3389/fenrg.2021.689781,XV XN,XN,XN,0,NA
10.1017/age.2023.6,XV XN,XN,XN,0,NA
10.1080/14442210600551859,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.ijdrr.2023.104218,XV XN,XN,XN,0,NA
10.1016/j.energy.2015.09.104,XC XO,XC XV XN,XC,0,NA
10.15576/ASP.FC/2017.16.3.111,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.eng.2024.04.025,XN,XC XN,XN,0,NA
10.1088/1748-9326/aa5eed,XV XN,XV XN,XN XV,0,NA
10.1016/j.ecoleng.2015.12.035,XN,XC XV XN,XN,0,NA
10.1175/JAMC-D-11-0192.1,XN,XN,XN,0,NA
10.1016/j.scitotenv.2018.10.434,Ambiguous,XV XN,Ambiguous,7,Passed
10.1111/gcb.15932,XC XV XN,XC XV XN,XN XC XV,0,NA
10.5194/hess-23-657-2019,XN,XC XN,XN,0,NA
10.1002/ecs2.70147,XV XN,XV XN,XN XV,0,NA
10.1016/j.atmosres.2022.106440,XV XN,XV XN,XN XV,0,NA
10.11975/j.issn.1002-6819.2018.15.031,XC XN,XC XV XN,XN XC,0,NA
10.3390/rs13153032,XN,XC XV XN,XN,0,NA
10.33271/mining13.04.042,RE,XC XV XN,RE,3,Failed
10.1016/j.foreco.2013.03.023,XV XN,XV XN,XN XV,0,NA
10.1007/s12540-009-0051-6,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.combustflame.2014.04.013,XC XN XO,XC XV XN,XN XC,0,NA
10.1063/5.0066546,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.adapen.2021.100043,XV XN,XN,XN,0,NA
10.1016/j.jhg.2024.08.005,XN,XC XV XN,XN,0,NA
10.3389/fendo.2020.00117,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.ecolind.2023.110489,XC XV XN,XC XN,XN XC,0,NA
10.1111/gcb.15610,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.jeem.2003.09.002,RE,XN,RE,3,Failed
10.1073/pnas.1118364109,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11442-020-1793-9,XC XN,XC XV XN,XN XC,0,NA
10.1088/1748-9326/9/7/075005,RE RF,XN,RE RF,8,Passed
10.1016/j.earscirev.2009.08.003,XC,XC XV XN,XC,0,NA
10.23765/afjz0002030,XN XA,XC XN XA,XN XA,0,NA
10.1016/j.egyr.2022.06.025,XV XN,XV XN,XN XV,0,NA
10.1007/s40042-022-00407-z,XC,XC XV XN,XC,0,NA
10.1016/j.seta.2024.104135,XV XN,XN,XN,0,NA
10.1080/10454438.2021.1881017,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/ajes.12576,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/geb.12692,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/soej.12433,XO,XN,Disagree,1,Unknown
10.1080/17474230701786109,XC XV XN,XC XV XN,XN XC XV,0,NA
10.18796/0041-5790-2020-1-4-19,XC XA,XC XN,XC,0,NA
10.1016/j.apenergy.2022.120290,XN,XV XN,XN,0,NA
10.1016/j.jclepro.2019.06.074,XN,XN,XN,0,NA
10.1007/s11258-005-9034-y,XV XN,XC XV XN,XN XV,0,NA
10.1007/s10123-021-00227-4,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.aeolia.2012.04.001,XN,XC XN,XN,0,NA
10.1111/j.1442-9993.2011.02354.x,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1371/journal.pone.0086363,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1644/10-MAMM-A-278.1,XV XN,XC XV XN,XN XV,0,NA
10.32479/ijeep.17350,XC,XC XV XN,XC,0,NA
10.1007/s13369-019-03975-8,XC XN,XC XV XN,XN XC,0,NA
10.1038/s41477-018-0316-5,XO,XC XV XN,Disagree,1,Failed
10.1007/s11427-008-0122-9,XC XN,XC XV XN,XN XC,0,NA
10.11821/dlxb201704006,XN,XV XN,XN,0,NA
10.1016/0045-6535(93)90413-Y,XO,XC XV XN,Disagree,1,Failed
10.1029/2007JD009639,XC XV XN,XV XN,XN XV,0,NA
10.1007/s10695-021-01025-5,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.agsy.2017.07.012,RA,RA,RA,10,Passed
10.1093/wber/lht029,XN,XN,XN,0,NA
10.3390/epidemiologia5040047,XC XN XO,XC XV XN,XN XC,0,NA
10.1093/treephys/tpab137,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1890/12-1393.1,XC XN,XC XV XN,XN XC,0,NA
10.1111/apa.16677,XC XO,XC XV XN,XC,0,NA
10.3390/insects14120921,XC XV XN,XC XV XN XA,XN XC XV,0,NA
10.3390/agronomy10111635,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1201/9781003429258-49,RA,XN,RA,8,Passed
10.1117/12.2533696,XV XN,XV XN,XN XV,0,NA
10.3389/fenrg.2018.00081,XC,XC XN,XC,0,NA
10.1139/X01-114,XV XN,XV XN,XN XV,0,NA
10.1007/s10584-017-1984-2,XV XN,XV XN,XN XV,0,NA
10.1111/aphw.12004,XC,XC XN,XC,0,NA
10.5937/sjm18-43601,XN,XC XN,XN,0,NA
10.1111/oik.05263,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/gcbb.12417,XV XN,XC XV XN,XN XV,0,NA
10.3189/172756407782871431,XN,XC XV XN,XN,0,NA
10.1177/09721509231157009,XC XV XN,XV XN,XN XV,0,NA
10.1068/a43401,XN XO,XN,XN,0,NA
10.1371/journal.pone.0036921,XN,XV XN,XN,0,NA
10.1016/j.biombioe.2024.107349,XO,XC XV XN,Disagree,1,Failed
10.1016/j.jclepro.2023.136113,XV XN,XC XN,XN,0,NA
10.5846/stxb202203100578,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/s19204363,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.oceano.2015.09.001,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1128/JVI.66.12.7121-7127.1992,XC,XC XV XN,XC,0,NA
10.1016/j.jembe.2008.09.025,XV XN,XV XN,XN XV,0,NA
10.4324/9781315660097,RE RF RA,XC XN,RE RA RF,3,Unknown
10.1007/s13280-023-01978-2,XC XN,XN,XN,0,NA
10.1016/B978-0-08-098349-3.00001-3,XO,XN,Disagree,1,Unknown
10.1002/ecs2.3143,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1109/IRSEC48032.2019.9078272,XN,XC XN,XN,0,NA
10.1242/jeb.246477,XV XN,XC XV XN,XN XV,0,NA
10.14191/Atmos.2021.31.5.637,XN,XC XV XN,XN,0,NA
10.3390/s18020591,XN,XC XV XN,XN,0,NA
10.1007/s40194-014-0195-y,XC XN,XC XV XN,XN XC,0,NA
10.3390/ijerph15050952,XV XN,XV XN,XN XV,0,NA
10.1016/j.ecolind.2020.106937,XV XN,XC XV XN,XN XV,0,NA
10.1111/gcb.17014,XV XN,XC XV XN,XN XV,0,NA
10.5194/esd-8-977-2017,RE RF RA,XV XN,RE RA RF,3,Unknown
10.1016/j.envsci.2017.05.003,XV XN,XN,XN,0,NA
10.3389/fpls.2019.00484,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/B978-0-12-818186-7.00002-3,XC XN,XC XN XA,XN XC,0,NA
10.1163/15691497-12341619,XC,XC XV XN,XC,0,NA
10.1111/gcb.14404,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.apenergy.2016.06.039,RE RF RA,XV XN,RE RA RF,3,Failed
10.13671/j.hjkxxb.2023.0032,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/su13179734,XO,XC XV XN,Disagree,1,Unknown
10.1016/j.egypro.2013.06.710,XV XN,XN,XN,0,NA
10.1016/j.algal.2023.103096,XV XN,XC XV XN,XN XV,0,NA
10.1088/1748-9326/ac2e38,XV XN,XV XN,XN XV,0,NA
10.1016/j.renene.2023.05.048,XV XN,XC XV XN,XN XV,0,NA
10.3390/SU12093612,XC XN,XC XV XN,XN XC,0,NA
10.1016/C2015-0-05845-2,XC,XC XV XN,XC,0,NA
10.1029/2023JD039159,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1080/15435075.2022.2075226,XO,XC XV XN,Disagree,1,Unknown
10.1016/B978-0-323-95278-1.00012-7,XC,XV XN,Disagree,1,Unknown
10.1002/wcc.808,XO,XC XV XN,Disagree,1,Failed
10.32479/ijeep.17472,XC XA,XC XN,XC,0,NA
10.5194/hess-28-1605-2024,XV XN,XC XV XN,XN XV,0,NA
10.3390/rs16111856,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/B978-0-323-91933-3.00006-4,XC XV XN,XV XN,XN XV,0,NA
10.1007/s11027-013-9448-0,XV XN,Ambiguous,Ambiguous,7,Passed
10.1021/bi00008a003,XC,XC XV XN,XC,0,NA
10.1016/j.fcr.2023.109164,XC XV XN,XC XN,XN XC,0,NA
10.1007/s11802-024-5603-3,XN,XN,XN,0,NA
10.5194/cp-20-1687-2024,XC XN,XC XV XN,XN XC,0,NA
10.1029/2024GL112470,XC,XC XV XN,XC,0,NA
10.1007/s11356-023-30553-1,XN,XN,XN,0,NA
10.1061/(ASCE)HE.1943-5584.0000928,XV XN,XV XN XA,XN XV,0,NA
10.1016/j.cities.2022.103639,XC XN,XC XV XN,XN XC,0,NA
10.1590/S1020-49892008001100007,XC,XC XN,XC,0,NA
10.1007/s00267-014-0245-7,XV XN,XV XN,XN XV,0,NA
10.1016/j.solener.2019.04.011,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.enpol.2013.10.065,XC,XC XN,XC,0,NA
10.1109/PowerTech55446.2023.10202958,XC XN,XC XN,XN XC,0,NA
10.1029/2023JG007574,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1093/icesjms/fsaa226,XO,XN,Disagree,6,Passed
10.1016/j.solmat.2014.01.018,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.jclepro.2021.126035,XO,XC XV XN,Disagree,1,Failed
10.5846/stxb201601270193,XN XO,XC XV XN,XN,0,NA
10.5194/acp-24-12843-2024,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.enpol.2020.111398,XN,XN,XN,0,NA
10.1039/c4dt02425g,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/2015WR017522,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.apenergy.2016.08.035,RE,XN,RE,3,Failed
10.1038/s41598-019-55847-8,XV XN,XN,XN,0,NA
10.1007/978-981-99-8501-2_16,XC XV XN,XV XN,XN XV,0,NA
10.1126/science.1226299,XN,XV XN,XN,0,NA
10.1111/j.1749-4877.2010.00199.x,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s00289-016-1742-z,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.chieco.2022.101894,RF,XN,RF,8,Passed
10.1126/sciadv.1500561,XO,XC XV XN,Disagree,6,Passed
10.1088/2515-7620/ad53a7,XV XN,XN,XN,0,NA
10.1016/j.jeurceramsoc.2020.02.042,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1109/CIDM.2011.5949305,XN,XC XV XN,XN,0,NA
10.1111/gcb.15737,XV XN,XV XN,XN XV,0,NA
10.3390/horticulturae10101038,XC XN,XC XV XN,XN XC,0,NA
10.1111/nph.13107,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1371/journal.pone.0291144,XC,XV XN,Disagree,1,Failed
10.1111/j.1469-8137.2004.01104.x,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.scitotenv.2023.162623,XV XN,XV XN,XN XV,0,NA
10.1002/soej.12553,XV XN,XV XN,XN XV,0,NA
10.1016/j.scitotenv.2023.166703,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/wcc.345,XO,XC XV XN,Disagree,6,Passed
10.1016/j.rser.2023.113899,XO,XC XN XA,Disagree,1,Failed
10.1016/j.seta.2023.103544,XN XO,XV XN,XN,0,NA
10.1016/j.jclepro.2023.138990,XN,XN,XN,0,NA
10.1016/j.scitotenv.2021.152805,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.bjm.2017.03.002,XC XV XN,XC XN,XN XC,0,NA
10.1007/s00442-011-2004-2,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1080/14693062.2021.1970504,XO,No codes,Code failure,1,Failed
10.1130/2009.2452(15),XC XV XN XA,XC XV XN,XN XC XV,0,NA
10.1016/j.envexpbot.2013.10.003,XC XN,XC XV XN,XN XC,0,NA
10.3864/j.issn.0578-1752.2018.20.015,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.paerosci.2016.12.003,XC,XC XN,XC,0,NA
10.1007/s12237-013-9586-3,XC XN,XC XV XN,XN XC,0,NA
10.1017/S0025315414000745,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/j.1365-2486.2006.01151.x,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1063/5.0028267,XC,XC XV XN,XC,0,NA
10.1080/2150704X.2018.1452062,XV XN,XC XV XN,XN XV,0,NA
10.1080/13504509.2013.830994,XO,XC XV XN,Disagree,1,Failed
10.1093/nsr/nwaa307,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1080/21664250.2022.2088194,Ambiguous,XV XN,Ambiguous,7,Passed
10.1088/2752-5295/ad13ac,XN,XN,XN,0,NA
10.1016/j.jhydrol.2024.131913,XN,XC XN,XN,0,NA
10.1038/srep40288,XV XN,XN,XN,0,NA
10.1016/j.scitotenv.2017.08.157,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.ijpe.2015.05.018,XN,XN,XN,0,NA
10.1016/j.atmosenv.2022.119481,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.reseneeco.2015.03.003,XN XO,XN,XN,0,NA
10.1098/rstb.2009.0201,XO,XV XN,Disagree,1,Unknown
10.1016/j.enpol.2010.04.057,RF,XV XN,RF,3,Failed
10.1371/journal.pone.0113507,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11356-016-6810-2,XN,XN,XN,0,NA
10.1016/j.enpol.2010.11.017,XC,XC XN,XC,0,NA
10.1016/j.scitotenv.2021.145433,XC XN,XC XN,XN XC,0,NA
10.1111/j.1365-2486.2010.02166.x,XV XN,XV XN,XN XV,0,NA
10.1007/s10933-019-00100-5,XC XV XN,XV XN,XN XV,0,NA
10.5194/bg-11-563-2014,XV XN,XC XN,XN,0,NA
10.25165/j.ijabe.20181104.3331,XV XN,XV XN,XN XV,0,NA
10.5846/stxb202002150262,XN XO,XC XV XN,XN,0,NA
10.1016/j.atmosenv.2020.117830,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.ecolind.2020.106642,XO,XC XV XN,Disagree,6,Passed
10.1016/j.agrformet.2022.108999,XN,XC XV XN,XN,0,NA
10.1098/rspb.2021.1631,XV XN,XV XN,XN XV,0,NA
10.1038/s41467-022-32001-z,XV,XV XN,XV,0,NA
10.5194/acp-10-7739-2010,XC,XC XV XN,XC,0,NA
10.1016/j.quascirev.2021.107097,XN XO,XC XV XN,XN,0,NA
10.1007/s00704-013-1054-2,XN,XC XV XN,XN,0,NA
10.1016/j.eneco.2022.106428,XC,XC XV XN,XC,0,NA
10.1016/j.egypro.2011.02.096,XO,XC XV XN,Disagree,1,Failed
10.1016/j.jseaes.2022.105317,XC XV XN XA,XC XV XN,XN XC XV,0,NA
10.1007/978-3-031-15842-1_15,XC XN XO,XC XV XN,XN XC,0,NA
10.1080/09669582.2017.1417416,XV XN,XV XN,XN XV,0,NA
10.5849/jof.13-086,XN,XN XO,XN,0,NA
10.1007/978-3-319-68255-6_168,XV XN,XC XN,XN,0,NA
10.1016/j.ecolind.2023.111176,XC XN,XN,XN,0,NA
10.1117/12.2325602,XV XN,XV XN,XN XV,0,NA
10.1002/joc.1679,XV XN,XV XN,XN XV,0,NA
10.1016/j.agwat.2010.02.009,XV XN,XV XN,XN XV,0,NA
10.1021/acsaem.1c01314,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.cej.2021.128569,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.ijggc.2016.02.010,XV XN,XC XV XN,XN XV,0,NA
10.1142/S0218126624501913,XC XN,XC XN,XN XC,0,NA
10.1016/j.ppees.2016.01.001,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.biomaterials.2011.04.021,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1371/journal.pone.0082712,XN,XC XN,XN,0,NA
10.3390/foods11203189,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1038/nclimate1586,XO,XV XN,Disagree,1,Failed
10.1016/j.gloenvcha.2013.11.019,XO,XN,Disagree,1,Failed
10.1111/gcb.15982,XN,XC XV XN,XN,0,NA
10.3354/meps12367,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1073/pnas.1501548112,XC,XC XV XN,XC,0,NA
10.1016/j.agrformet.2021.108611,XV XN,XV XN,XN XV,0,NA
10.1002/1438-390X.12030,XV XN,XC XV XN,XN XV,0,NA
10.1111/gcb.12199,XV XN,XC XV XN,XN XV,0,NA
10.1007/s11430-016-9034-9,XN,XV XN,XN,0,NA
10.1016/j.ecolmodel.2020.109406,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/adma.202207543,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/agriculture12030334,XC XN,XN,XN,0,NA
10.1007/978-3-031-14068-6_2,XO,XN,Disagree,1,Failed
10.1007/s00425-024-04462-7,XC XN,XC XV XN,XN XC,0,NA
10.1007/s10640-024-00849-y,RE RF,XV XN,RE RF,3,Failed
10.3390/polym13030372,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1162/ASEP_a_00496,XC,XC XN,XC,0,NA
10.1016/j.csr.2023.105098,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.jclepro.2022.135601,XV XN,XN,XN,0,NA
10.1039/d4tc03885a,XC XN,XC XV XN,XN XC,0,NA
10.5194/bg-12-6637-2015,XV XN,XC XV XN,XN XV,0,NA
10.1111/j.1469-8137.2011.03680.x,XV XN,XV XN,XN XV,0,NA
10.1017/S1357321721000118,RE,RE,RE,5,Unknown
10.1016/j.catena.2022.106848,XV XN,XC XV XN,XN XV,0,NA
10.3390/land11081178,XV XN,XV XN,XN XV,0,NA
10.3724/SP.J.1226.2018.00114,XC XN,XC XV XN,XN XC,0,NA
10.1109/EI259745.2023.10512905,XV XN,XN,XN,0,NA
10.1590/2447-536X.v29i4.2659,XC XV XN,XV XN,XN XV,0,NA
10.1007/s10640-014-9854-0,Ambiguous,Ambiguous,Ambiguous,8,Passed
10.3390/agriculture14091608,XC XN,XC XV XN,XN XC,0,NA
10.1007/s10018-021-00332-8,RE,XN XA,RE,3,Failed
10.1016/j.apenergy.2024.122637,XN,XN,XN,0,NA
10.1038/s41598-024-67452-5,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1098/rspb.2009.0799,XV XN,XV XN,XN XV,0,NA
10.1684/ers.2017.1124,XO,XC XV XN XA,Disagree,1,Failed
10.1093/ornithology/ukae059,XC XN,XC XV XN,XN XC,0,NA
10.1080/17512549.2021.1907224,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1080/01431161.2024.2377228,XC XV XN,XC XN,XN XC,0,NA
10.3390/su122410674,XN,XC XV XN,XN,0,NA
10.17660/ACTAHORTIC.2020.1290.6,Ambiguous,XC XV XN,Ambiguous,2,Unknown
10.1016/j.snb.2014.04.072,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.ecolecon.2022.107399,XN,XV XN,XN,0,NA
10.1603/EC11247,XC XV XN,XC XV XN XA,XN XC XV,0,NA
10.1128/msystems.00636-24,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/gcb.17555,XN,XC XV XN,XN,0,NA
10.1007/s00338-014-1216-4,XV XN,XC XV XN,XN XV,0,NA
10.11821/dlxb202401010,XO,XC XV XN,Disagree,1,Unknown
10.1016/j.biocon.2018.11.014,XN,XN,XN,0,NA
10.1093/ej/uead067,XC XN,Ambiguous,Ambiguous,2,Unknown
10.1016/j.wre.2021.100185,XN XO,XN,XN,0,NA
10.1039/c7nr04046f,XC XN,XC XN,XN XC,0,NA
10.1016/j.pocean.2015.03.007,XC XV XN,XC XN,XN XC,0,NA
10.1002/tafs.10217,XV XN,XC XV XN,XN XV,0,NA
10.26491/mhwm/189401,XV XN,XN,XN,0,NA
10.26868/25222708.2021.31024,XV XN,XV XN,XN XV,0,NA
10.1071/AN11180,XC XV XN,XC XV XN,XN XC XV,0,NA
10.5194/bg-22-473-2025,XC XV XN,XC XV XN XA,XN XC XV,0,NA
