DOI,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,ExtractCount,Impacted Sector,Solution,Quantification,Expression,Type of Value,Sample
10.1007/s10584-011-0042-8,,China,Unspecified,,,%,41.0,,,,,,Page 17,The Hai river basin experienced a 41% decrease in runoff between 1956-1979 and 1980-2000.,1.0,Agriculture,Any,Percentage change,BaselineImpact,Various,
10.1007/s10584-011-0042-8,,China,Unspecified,,,%,25.0,,,,,,Page 17,The Hai river basin experienced a 25% decrease in total water resources between 1956-1979 and 1980-2000.,1.0,Agriculture,Any,Percentage change,BaselineImpact,Various,
10.1007/s10584-011-0042-8,,China,Unspecified,,,m3/10k Yuan GDP,329.0,,,,,,Page 21,Water use per GDP in 2006.,1.0,Agriculture,Water Use Efficiency,Water Use per GDP,BaselineImpact,Economic,Need
10.1007/s10584-011-0042-8,,China,Unspecified,,,,0.38,,,,,,Page 21,,1.0,Agriculture,Water Use Efficiency,Irrigation Efficiency,BaselineImpact,Economic,Need
10.1007/978-3-319-68086-6_12,,USA,Worst-case SLR,,,$/yr,0.0,,,,,,Fig. 12.3,The document doesn't quantify damage in numeric terms.,1.0,Tourism,Nourishment Subsidies,Avoided Damage,AvoidedImpact,Economic,Need
10.1007/978-3-319-68086-6_12,,USA,Worst-case SLR,,,yr,0.0,,,,,,Fig. 12.3,The document doesn't quantify time in numeric terms.,1.0,Tourism,Nourishment Subsidies,Abandonment Time,NonMonetaryBenefits,Economic,Need
10.1007/978-3-319-68086-6_12,,USA,Calm SLR,,,$/yr,0.0,,,,,,Fig. 12.3,The document doesn't quantify damage in numeric terms.,1.0,Tourism,Nourishment Subsidies,Avoided Damage,AvoidedImpact,Economic,Need
10.1007/978-3-319-68086-6_12,,USA,Calm SLR,,,yr,0.0,,,,,,Fig. 12.3,The document doesn't quantify time in numeric terms.,1.0,Tourism,Nourishment Subsidies,Abandonment Time,NonMonetaryBenefits,Economic,Need
10.1007/978-3-319-68086-6_12,,USA,High SLR,,,$/yr,0.0,,,,,,Fig. 12.4,The document doesn't quantify damage in numeric terms.,1.0,Tourism,Belief in Forecasts,Avoided Damage,AvoidedImpact,Economic,Need
10.1007/978-3-319-68086-6_12,,USA,High SLR,,,yr,0.0,,,,,,Fig. 12.4,The document doesn't quantify time in numeric terms.,1.0,Tourism,Belief in Forecasts,Abandonment Time,NonMonetaryBenefits,Economic,Need
10.1007/978-3-319-68086-6_12,,USA,Variable Science,,,$/yr,0.0,,,,,,Fig. 12.4,The figure indicates that the average agent science weighting affects the total damage before abandonment. No specific numeric values are provided.,1.0,Coastal Real Estate,Nourishment,Total Damage,AvoidedImpact,Economic,Need
10.1007/978-3-319-68086-6_12,,USA,Variable Science,,,yr,0.0,,,,,,Fig. 12.4,The figure indicates that the average agent science weighting affects the elapsed time before abandonment. No specific numeric values are provided.,1.0,Coastal Real Estate,Nourishment,Elapsed Time,NonMonetaryBenefits,Economic,Need
10.1126/science.aab3574,,Netherlands,,,,€ billion,1.0,,,,,2.0,Page 4,Lower Bound,1.0,Coastal,Infrastructure,InfrastructureCosts,AdaptationCost,Monetary,Need
10.1126/science.aab3574,,Netherlands,,,,€ billion,2.0,,,,,2.0,Page 4,Upper Bound,1.0,Coastal,Infrastructure,InfrastructureCosts,AdaptationCost,Monetary,Need
10.1007/978-81-322-2157-9_21,,India,Any,,,%,10.0,,,,,,Page 19,"Projected decrease in cereal productivity by up to 40% by 2100, greater loss expected in rabi.",1.0,Agriculture,Any,Crop Yield Reduction,BaselineImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,HadCM3,,,%,3.0,,,,,,Page 21,3% increase in crop water requirement by 2020 and 7% by 2050,1.0,Agriculture,Water Management,Crop Water Requirement,BaselineImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,HadCM3,,,%,7.0,,,,,,Page 21,3% increase in crop water requirement by 2020 and 7% by 2050,1.0,Agriculture,Water Management,Crop Water Requirement,BaselineImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,515.2,,,,,,Table 1,Estimated crop water requirement of groundnut in Tiruvannamalai (TN) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,544.0,,,,,,Table 1,Estimated crop water requirement of groundnut in Tiruvannamalai (TN) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,562.3,,,,,,Table 1,Estimated crop water requirement of groundnut in Rajkot (Gujarat) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,582.2,,,,,,Table 1,Estimated crop water requirement of groundnut in Rajkot (Gujarat) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,528.5,,,,,,Table 1,Estimated crop water requirement of groundnut in Junagadh (Gujarat) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,550.2,,,,,,Table 1,Estimated crop water requirement of groundnut in Junagadh (Gujarat) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,366.3,,,,,,Table 1,Estimated crop water requirement of groundnut in Belgaum (Karnataka) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,386.0,,,,,,Table 1,Estimated crop water requirement of groundnut in Belgaum (Karnataka) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,567.1,,,,,,Table 1,Estimated crop water requirement of groundnut in Anantapur (AP) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,650.3,,,,,,Table 1,Estimated crop water requirement of groundnut in Anantapur (AP) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,510.9,,,,,,Table 1,Estimated crop water requirement of groundnut in Bangalore (Karnataka) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,559.3,,,,,,Table 1,Estimated crop water requirement of groundnut in Bangalore (Karnataka) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,284.0,,,,,,Table 1,Estimated crop water requirement of mustard in Agra (UP) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,295.5,,,,,,Table 1,Estimated crop water requirement of mustard in Agra (UP) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,283.8,,,,,,Table 1,Estimated crop water requirement of mustard in Bharatpur (Raj) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,295.1,,,,,,Table 1,Estimated crop water requirement of mustard in Bharatpur (Raj) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,369.6,,,,,,Table 1,Estimated crop water requirement of mustard in Hisar (Haryana) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,380.8,,,,,,Table 1,Estimated crop water requirement of mustard in Hisar (Haryana) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,491.5,,,,,,Table 1,Estimated crop water requirement of mustard in Nadia (WB) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,508.8,,,,,,Table 1,Estimated crop water requirement of mustard in Nadia (WB) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,269.0,,,,,,Table 1,Estimated crop water requirement of mustard in Morena (MP) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,282.5,,,,,,Table 1,Estimated crop water requirement of mustard in Morena (MP) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,293.1,,,,,,Table 1,Estimated crop water requirement of wheat in Sirsa (Haryana) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,301.4,,,,,,Table 1,Estimated crop water requirement of wheat in Sirsa (Haryana) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,536.8,,,,,,Table 1,Estimated crop water requirement of wheat in Ahmedabad (Gujarat) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,551.0,,,,,,Table 1,Estimated crop water requirement of wheat in Ahmedabad (Gujarat) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,496.1,,,,,,Table 1,Estimated crop water requirement of wheat in Ahemedanagar (Mah) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,509.5,,,,,,Table 1,Estimated crop water requirement of wheat in Ahemedanagar (Mah) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,290.3,,,,,,Table 1,Estimated crop water requirement of wheat in Ganganagar (Raj) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,298.2,,,,,,Table 1,Estimated crop water requirement of wheat in Ganganagar (Raj) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,488.2,,,,,,Table 1,Estimated crop water requirement of wheat in Hardoi (UP) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,502.2,,,,,,Table 1,Estimated crop water requirement of wheat in Hardoi (UP) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,380.7,,,,,,Table 1,Estimated crop water requirement of wheat in Kangra (HP) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,391.2,,,,,,Table 1,Estimated crop water requirement of wheat in Kangra (HP) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,446.9,,,,,,Table 1,Estimated crop water requirement of wheat in Vidisha (MP) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,460.4,,,,,,Table 1,Estimated crop water requirement of wheat in Vidisha (MP) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,405.4,,,,,,Table 1,Estimated crop water requirement of wheat in Sangrur (Punjab) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,416.3,,,,,,Table 1,Estimated crop water requirement of wheat in Sangrur (Punjab) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,392.4,,,,,,Table 1,Estimated crop water requirement of maize in Udaipur (Raj) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,400.9,,,,,,Table 1,Estimated crop water requirement of maize in Udaipur (Raj) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,433.4,,,,,,Table 1,Estimated crop water requirement of maize in Karimnagar (AP) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,440.0,,,,,,Table 1,Estimated crop water requirement of maize in Karimnagar (AP) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,430.6,,,,,,Table 1,Estimated crop water requirement of maize in Jhabua (MP) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,441.9,,,,,,Table 1,Estimated crop water requirement of maize in Jhabua (MP) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,374.7,,,,,,Table 1,Estimated crop water requirement of maize in Begusarai (Bihar) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,388.9,,,,,,Table 1,Estimated crop water requirement of maize in Begusarai (Bihar) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,412.1,,,,,,Table 1,Estimated crop water requirement of maize in Bahraich (UP) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,426.5,,,,,,Table 1,Estimated crop water requirement of maize in Bahraich (UP) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,432.3,,,,,,Table 1,Estimated crop water requirement of maize in Godhra (Gujarat) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,444.0,,,,,,Table 1,Estimated crop water requirement of maize in Godhra (Gujarat) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,365.0,,,,,,Table 1,Estimated crop water requirement of maize in Khargaon (MP) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,381.0,,,,,,Table 1,Estimated crop water requirement of maize in Khargaon (MP) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,423.1,,,,,,Table 1,Estimated crop water requirement of maize in Aurangabad (Mah) in 2020,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,"HadCM3, IMD future projections",,,mm,435.7,,,,,,Table 1,Estimated crop water requirement of maize in Aurangabad (Mah) in 2050,1.0,Agriculture,Crop Management,Crop Water Requirement,BaselineImpact,,Need
10.1007/978-81-322-2157-9_21,,India,Projected Temp Rise,,,%,20.0,,,,,,Page 56,Decrease in soybean yield due to rise in surface air temperature during growing season. Yield decrease ranges from 20% to 35%.,1.0,Agriculture,Adjusted Sowing Dates,Crop Yield Simulation,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,3°C Increase,,,%,33.0,,,,,,Page 58,Soybean yield reduction avoided by adjusting sowing dates.,1.0,Agriculture,Adjusted Sowing Dates,Crop Yield,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,"3°C, June 20th Sow",,,%,23.0,,,,,13.0,Page 58,Soybean yield reduction range when advancing sowing date beyond June 20th.,1.0,Agriculture,Adjusted Sowing Dates,Crop Yield,BaselineImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,Climate Change,,,%,30.0,,,,,,Page 58,"Potential soybean yield decrease due to climate change, avoidable with new cultivars.",1.0,Agriculture,Climate Resilient Cultivars,Crop Yield,AvoidedImpact,Economic,Lead
10.1007/978-81-322-2157-9_21,,India,Increased Temperature,,,%,-13.0,,,,,,Page 59,Least reduction with 10-Jun + 3 degrees,1.0,Agriculture,Adjusted Sowing Dates,Yield Change,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,Increased Temperature,,,%,-11.0,,,,,,Page 59,Reduction with 20-Jun + 3 degrees with higher plant density,1.0,Agriculture,Adjusted Sowing Dates,Yield Change,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,Increased Temperature,,,%,-15.0,,,,,,Page 59,Reduction with 30-Jun + 3 degrees with higher plant density,1.0,Agriculture,Adjusted Sowing Dates,Yield Change,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,Increased Temperature,,,%,-16.0,,,,,,Page 59,Reduction with 20-Jul + 3 degrees with higher plant density,1.0,Agriculture,Adjusted Sowing Dates,Yield Change,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,,,,t ha/C01,4.67,,,,,,Page 109,Average rice productivity after rubber dam installation in Kharif 2010.,1.0,Agriculture,Rubber Dams,Crop Yield,MonetaryBenefits,Economic,Lead
10.1007/978-81-322-2157-9_21,,India,,,,t ha/C01,2.87,,,,,,Page 109,Average rice productivity before rubber dam installation in Kharif 2009.,1.0,Agriculture,Rubber Dams,Crop Yield,BaselineImpact,Economic,Lead
10.1007/978-81-322-2157-9_21,,India,,,,%,62.0,,,,,,Page 109,Increase in rice productivity due to rubber dam installation.,1.0,Agriculture,Rubber Dams,Productivity Increase,RateOfReturn(),Economic,Lead
10.1007/978-81-322-2157-9_21,,India,,,,t ha/C01,0.92,,,,,,Page 109,Average productivity of green gram in rabi season at Baghamari after rubber dam installation.,1.0,Agriculture,Rubber Dams,Crop Yield,NonMonetaryBenefits,Economic,Lead
10.1007/978-81-322-2157-9_21,,India,,,,t ha/C01,0.63,,,,,,Page 109,Average productivity of green gram in rabi season at Baghamari before rubber dam installation.,1.0,Agriculture,Rubber Dams,Crop Yield,BaselineImpact,Economic,Lead
10.1007/978-81-322-2157-9_21,,India,,,,t ha/C01,0.84,,,,,,Page 109,Productivity of sunflower in rabi season after rubber dam installation.,1.0,Agriculture,Rubber Dams,Crop Yield,NonMonetaryBenefits,Economic,Lead
10.1007/978-81-322-2157-9_21,,India,,,,t ha/C01,4.3,,,,,,Page 109,Productivity of cucumber in rabi season after rubber dam installation.,1.0,Agriculture,Rubber Dams,Crop Yield,NonMonetaryBenefits,Economic,Lead
10.1007/978-81-322-2157-9_21,,India,,,,%,31.0,,,,,,Page 109,"Increase in cropping intensity at Baghamari due to cultivation of green gram, sunflower, and cucumber (due to rubber dam).",1.0,Agriculture,Rubber Dams,Cropping Intensity,NonMonetaryBenefits,Economic,Lead
10.1007/978-81-322-2157-9_21,,India,,,,% Yield,34.9,,,,,,Page 110,"The yield of crops such as pumpkin, ridge gourd, cowpea, and brinjal increased by percentages of 34.9%, 47.2%, 26.9%, and 39.6%, respectively, due to the implementation of rubber dams providing assured water supply in the Chandeswar region.",1.0,All,Rubber Dams,Various,MonetaryBenefits,Economic,Lead
10.1007/978-81-322-2157-9_21,,India,,,,tons of wheat,-4000000.0,,,,,,Page 164,Wheat production loss due to temperature increase. Note that the text specifies that this is the loss *despite* potential positive effects of increased atmospheric carbon dioxide.,1.0,Agriculture,Irrigation,Productivity Loss,BaselineImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,Scenario 1,,,%,4.6,,25%,-10.86,25%,11.4,Table 3,"Percentage change in yield of rice under Scenario 1 for South region at the district level, Median value. Scenario 1: 1 degree Celsius increase with 10% seasonal rainfall increase.",1.0,Agriculture,Any,Yield,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,Scenario 1,,,%,8.51,,25%,-9.84,25%,11.55,Table 3,"Percentage change in yield of rice under Scenario 1 for East region at the district level, Median value. Scenario 1: 1 degree Celsius increase with 10% seasonal rainfall increase.",1.0,Agriculture,Any,Yield,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,Scenario 1,,,%,4.24,,50%,-7.71,50%,5.45,Table 3,"Percentage change in yield of rice under Scenario 1 for North region at the district level, Median value. Scenario 1: 1 degree Celsius increase with 10% seasonal rainfall increase.",1.0,Agriculture,Any,Yield,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,Scenario 1,,,%,7.29,,25%,-9.81,25%,11.51,Table 3,"Percentage change in yield of rice under Scenario 1 for West region at the district level, Median value. Scenario 1: 1 degree Celsius increase with 10% seasonal rainfall increase.",1.0,Agriculture,Any,Yield,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,Scenario 2,,,%,12.7,,25%,-20.28,25%,22.19,Table 3,"Percentage change in yield of rice under Scenario 2 for South region at the district level, Median value. Scenario 2: 2 degree Celsius increase with 10% seasonal rainfall increase.",1.0,Agriculture,Any,Yield,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,Scenario 2,,,%,19.4,,25%,-15.84,25%,22.15,Table 3,"Percentage change in yield of rice under Scenario 2 for East region at the district level, Median value. Scenario 2: 2 degree Celsius increase with 10% seasonal rainfall increase.",1.0,Agriculture,Any,Yield,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,Scenario 2,,,%,6.56,,50%,-17.6,50%,10.47,Table 3,"Percentage change in yield of rice under Scenario 2 for North region at the district level, Median value. Scenario 2: 2 degree Celsius increase with 10% seasonal rainfall increase.",1.0,Agriculture,Any,Yield,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,Scenario 2,,,%,16.6,,25%,-15.48,25%,22.19,Table 3,"Percentage change in yield of rice under Scenario 2 for West region at the district level, Median value. Scenario 2: 2 degree Celsius increase with 10% seasonal rainfall increase.",1.0,Agriculture,Any,Yield,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,0.5°C warming,,,%,2.0,,,,,,Page 173,Describes median yield losses with 0.5°C warming scenario.,1.0,Agriculture,Irrigation,Crop Yield,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,1°C warming,,,%,5.0,,,,,,Page 173,Describes median yield losses with 1°C warming scenario.,1.0,Agriculture,Irrigation,Crop Yield,AvoidedImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,Scenario 2 (unspecified),,,%,20.0,,25%,,,,Page 173,"Losses of as high as 20% for the lower percentiles, indicating significant losses for the already lower productive districts.",1.0,Agriculture,Any,Crop Yield,BaselineImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,0.5°C increase,,,%,6.0,,,,,,Page 173,Wheat yield loss in Western and Central regions with a uniform increase of 0.5°C.,1.0,Agriculture,Any,Crop Yield,BaselineImpact,Economic,Need
10.1007/978-81-322-2157-9_21,,India,1°C increase,,,%,9.0,,,,,,Page 173,Wheat yield loss in Western and Central regions with a uniform increase of 1°C.,1.0,Agriculture,Any,Crop Yield,BaselineImpact,Economic,Need
