DOI,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,ExtractCount
10.1016/j.ecolecon.2022.107662,Beef production,Poor,ACCESS SSP3.70,2017.0,No CC,% per °C,-27.1,3.5,,,,,7,Not higher income/middle income.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Tropical,ACCESS SSP3.70,2017.0,No CC,% per mm,2.1,1.0,,,,,7,Temperature above global median.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Temperate,ACCESS SSP3.70,2017.0,No CC,% per mm,-1.9,0.9,,,,,7,Temperature below global median.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Rich,ACCESS SSP3.70,2017.0,No CC,% per mm,-1.1,1.3,,,,,7,Higher income or upper-middle.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Poor,ACCESS SSP3.70,2017.0,No CC,% per mm,2.1,0.6,,,,,7,Not higher income/middle income.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Agri-dep.,ACCESS SSP3.70,2017.0,No CC,% per mm,2.5,0.7,,,,,7,Above median GDP in agriculture.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Non-agri.,ACCESS SSP3.70,2017.0,No CC,% per mm,-1.0,1.2,,,,,7,Below median GDP in agriculture.,1.0
10.1016/j.ecolecon.2022.107662,Cereal yields,Aggregate,,2017.0,Baseline,%,-3.7,,,,,,p.8," ""Impact of a 1°C increase in temperature""",1.0
10.1016/j.ecolecon.2022.107662,Cereal yields,Tropical,,2017.0,Baseline,%,-7.1,,,,,,p.8," ""Impact of a 1°C increase in temperature""",1.0
10.1016/j.ecolecon.2022.107662,Cereal production,Aggregate,,2017.0,Baseline,%,-7.6,,,,,,p.8," ""Impact of a 1°C increase in temperature""",1.0
10.1016/j.ecolecon.2022.107662,Cereal yields,Aggregate,,2017.0,Baseline,%,1.5,,,,,,p.8," ""Impact of a marginal increase in annual rainfall""",1.0
10.1016/j.ecolecon.2022.107662,Cereal yields,Tropical,,2017.0,Baseline,%,2.8,,,,,,p.8," ""Impact of a marginal increase in annual rainfall""",1.0
10.1016/j.ecolecon.2022.107662,Beef production,Global,ACCESS SSP3-7.0,2060.0,1981-2010 baseline,log change,-0.21,,,,,,10,Combined effect of temperature and precipitation.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Tropical countries,ACCESS SSP3-7.0,2060.0,1981-2010 baseline,log change,-0.36,,,,,,10,Combined effect of temperature and precipitation.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Temperate countries,ACCESS SSP3-7.0,2060.0,1981-2010 baseline,log change,-0.11,,,,,,10,Combined effect of temperature and precipitation.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Global,ACCESS SSP3-7.0,2060.0,1981-2010 baseline,%,-23.0,,,,,,10,Effect of temperature changes,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Tropical countries,ACCESS SSP3-7.0,2060.0,1981-2010 baseline,%,-43.0,,,,,,10,Effect of temperature changes,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Temperate countries,ACCESS SSP3-7.0,2060.0,1981-2010 baseline,%,-4.0,,,,,,10,Effect of temperature changes,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Global,ACCESS SSP3-7.0,2100.0,1981-2010 baseline,log change,-0.45,,,,,,10,Combined effect of temperature and precipitation.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Tropical countries,ACCESS SSP3-7.0,2100.0,1981-2010 baseline,log change,-0.8,,,,,,10,Combined effect of temperature and precipitation.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Temperate countries,ACCESS SSP3-7.0,2100.0,1981-2010 baseline,log change,-0.16,,,,,,10,Combined effect of temperature and precipitation.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Global,ACCESS SSP3-7.0,2100.0,1981-2010 baseline,%,-47.0,,,,,,10,Effect of temperature changes,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Tropical countries,ACCESS SSP3-7.0,2100.0,1981-2010 baseline,%,-88.0,,,,,,10,Effect of temperature changes,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Temperate countries,ACCESS SSP3-7.0,2100.0,1981-2010 baseline,%,-9.0,,,,,,10,Effect of temperature changes,1.0
10.1016/j.rie.2022.10.002,Asylum migration,Low-income countries,Temperature anomalies,2023.0,No CC,%,-26.0,,,,,,Highlights,,1.0
10.1016/j.rie.2022.10.002,Asylum and regular immigration,Low-income countries,Armed conflicts,2023.0,No CC,%,73.0,,,,,,Highlights,Asylum immigration,1.0
10.1016/j.rie.2022.10.002,Asylum and regular immigration,Low-income countries,Armed conflicts,2023.0,No CC,%,110.0,,,,,,Highlights,Regular immigration,1.0
10.1029/2019EF001213,Grain production,Global,RCP8.5,2100.0,No CC,%,-25.0,,,,,,12,Losses before adaptation.,2.0
10.1029/2019EF001213,Grain output,Global,RCP8.5,2100.0,Current output,%,-25.0,,,,,,23,Losses could be 25% of current output without adaptation.,2.0
10.1029/2019EF001213,Grain output,Global,RCP8.5,2100.0,Current output,%,-5.0,,,,,,23,Losses could be less than 5% of current output with adaptation.,2.0
10.1029/2019EF001213,Grain self-sufficiency rate,Europe,RCP8.5,2100.0,No CC,%,7.0,,,,,,21,Mainly due to wheat increase.,2.0
10.1108/IJCCSM-10-2020-0108,Financial assets,Global,,2016.0,No CC,US $tn,-24.0,,,,,,Page 2,"Losses due to natural disasters caused by climate change; Dietz et al.,2016 is cited.",1.0
10.1108/IJCCSM-10-2020-0108,Financial stability,China,Unspecified,2026.0,No CC,Index points,-0.04,,,,,,Figure 2,"Maximum negative impact of temperature increase on financial stability after 5 periods (assuming the analysis starts in 2021, period 5 is 2026 - approximate value from the figure)",1.0
10.1108/IJCCSM-10-2020-0108,Financial Stability Index,China,Unspecified,2021.0,No CC,Index Points,-0.044,,,,,,Page 10,Long-term effect of a 1°C increase in average temperature,1.0
10.1108/IJCCSM-10-2020-0108,Financial Stability Index,China,Unspecified,2021.0,No CC,-,-0.048,,,,,,Page 11,"1°C drop in average temperature, long-term effect",1.0
10.1108/IJCCSM-10-2020-0108,Financial Stability Index,China,Unspecified,2021.0,No CC,-,-0.0167,,,,,,Page 11,"Positive climate shocks, current period, short-term effect",1.0
10.1108/IJCCSM-10-2020-0108,Financial Stability Index,China,Unspecified,2021.0,No CC,-,-0.0056,,,,,,Page 11,"Positive climate shocks, lag period, short-term effect",1.0
10.1108/IJCCSM-10-2020-0108,Financial Stability Index,China,Unspecified,2021.0,No CC,-,-0.0096,,,,,,Page 11,"Negative climate shocks, current period, short-term effect",1.0
10.1108/IJCCSM-10-2020-0108,Financial Stability Index,China,Unspecified,2021.0,No CC,-,-0.0061,,,,,,Page 11,"Negative climate shocks, lag period, short-term effect",1.0
10.1108/IJCCSM-10-2020-0108,FS,China,Unspecified,2020.0,No CC,Unitless Coefficient,0.0898,0.0349,,,,,Table 7,Impact of lagged FS on current FS. Significant at 5% level.,1.0
10.1108/IJCCSM-10-2020-0108,FS,China,Unspecified,2020.0,No CC,Unitless Coefficient,0.0105,0.0027,,,,,Table 7,Impact of positive change in CO2 on current FS. Significant at 1% level.,1.0
10.1108/IJCCSM-10-2020-0108,FS,China,Unspecified,2020.0,No CC,Unitless Coefficient,0.0156,0.0035,,,,,Table 7,Impact of negative change in CO2 on current FS. Significant at 1% level.,1.0
10.1108/IJCCSM-10-2020-0108,DFS,China,Unspecified,2020.0,No CC,Unitless Coefficient,0.0574,0.0641,,,,,Table 7,Impact of lagged DFS on current DFS. Not significant.,1.0
10.1108/IJCCSM-10-2020-0108,DCO2 (positive),China,Unspecified,2020.0,No CC,Unitless Coefficient,0.016,0.0104,,,,,Table 7,Impact of change in CO2 on current DFS. Not significant.,1.0
10.1108/IJCCSM-10-2020-0108,DCO2 (positive),China,Unspecified,2020.0,No CC,Unitless Coefficient,0.0592,0.0092,,,,,Table 7,Impact of lagged change in CO2 on current DFS. Significant at 1% level.,1.0
10.1108/IJCCSM-10-2020-0108,DCO2 (negative),China,Unspecified,2020.0,No CC,Unitless Coefficient,0.0491,0.0099,,,,,Table 7,Impact of change in CO2 on current DFS. Significant at 1% level.,1.0
10.1108/IJCCSM-10-2020-0108,DCO2 (negative),China,Unspecified,2020.0,No CC,Unitless Coefficient,0.0361,0.0113,,,,,Table 7,Impact of lagged change in CO2 on current DFS. Significant at 1% level.,1.0
10.1108/IJCCSM-10-2020-0108,Long-term CO2+ effect,China,Unspecified,2020.0,No CC,Unitless Coefficient,0.117,,,,,,Table 7,Asymmetric long-term coefficient. Significant at 10% level. F-statistic {3.305},1.0
10.1108/IJCCSM-10-2020-0108,Long-term CO2- effect,China,Unspecified,2020.0,No CC,Unitless Coefficient,0.174,,,,,,Table 7,Asymmetric long-term coefficient. Significant at 5% level. F-statistic {3.916},1.0
10.1093/restud/rdae011,Social Cost of Carbon,Global,Varying climate,2024.0,Varying climate calibrations,Factor,4.0,,,,,,5,"SCC can change by a factor of four if one assumes a quadratic damage function. Year is the publication year, as no specific year for the outcome is given.",1.0
10.1093/restud/rdae011,Temperature,Global,RCP85,2100.0,No policy narrative,W/m2,8.5,,,,,,5,Total anthropogenic forcing reaches approximately 8.5W/m2 in the year 2100 under RCP85.,1.0
10.1093/restud/rdae011,Temperature,Global,RCP26,2050.0,No policy narrative,W/m2,3.0,,,,,,5,Radiative forcing peaks at approximately 3 W/m2 around 2050 under RCP26.,1.0
10.1093/restud/rdae011,Temperature,Global,RCP26,2100.0,No policy narrative,W/m2,2.6,,,,,,5,Radiative forcing declines to approximately 2.6W/m2 at the end of the twenty-ﬁrst century under RCP26.,1.0
10.1093/restud/rdae011,SCC,Global,RCP26,2050.0,CDICE RCP26,Relative to CDICE-2.6,1.0,,,,,,Page 24,"The page provides comparisons of SCC across different calibrated models and scenarios relative to CDICE-2.6, where CDICE RCP2.6 is normalized to 1, but does not specify exact numerical values for other scenarios at a particular year like 2050. The value 1 here represents the normalization of the CDICE RCP2.6 scenario.",1.0
10.1093/restud/rdae011,Social Cost of Carbon,Global,Pessimistic Temp,2050.0,Optimistic Temp,Multiple of SCC,3.0,,,,,,25,Linear Damage Function; Pessimistic scenarios can lead to three to five times higher SCC compared to optimistic scenarios; minimum effect,1.0
10.1093/restud/rdae011,Social Cost of Carbon,Global,Pessimistic Temp,2050.0,Optimistic Temp,Multiple of SCC,5.0,,,,,,25,Linear Damage Function; Pessimistic scenarios can lead to three to five times higher SCC compared to optimistic scenarios; maximum effect,1.0
10.1093/restud/rdae011,Social Cost of Carbon,Global,Extreme Carbon,2050.0,Multi-Model Mean,Percent Increase,20.0,,,,,,25,Linear Damage Function; SCC increases by about 20% relative to the MMM.,1.0
10.1093/restud/rdae011,Social Cost of Carbon,Global,High Emissions,2050.0,Low Emissions,Multiple of SCC,8.0,,,,,,25,Cubic Damage Function; SCC for the most pessimistic climate scenario can be almost eight times the SCC for the most optimistic scenario.,1.0
10.1093/restud/rdae011,Social Cost of Carbon,Global,RCP 8.5,2020.0,CDICE,%,-15.0,,,,,,26,SCC for an ECS of 2.15 using the ECS parameter in CDICE is about 15% too large relative to GISS-E2-R,1.0
10.1093/restud/rdae011,Social Cost of Carbon,Global,RCP 8.5,2020.0,CDICE,%,-10.0,,,,,,26,SCC for an ECS of 4.55 using the ECS parameter in CDICE is about 10% too small relative to CDICE-HadGEM2-ES,1.0
10.1093/restud/rdae011,Social Cost of Carbon,Global,RCP 8.5,2020.0,CDICE," ""%""",-20.0,,,,,,26,DICE-2016 underestimates the SCC substantially by about 20% compared to CDICE for a discount factor of 0.96,1.0
10.1093/restud/rdae011,Social Cost of Carbon,Global,RCP 8.5,2020.0,CDICE,%,30.0,,,,,,26,"DICE-2016 produces much higher values for the SCC, for a value of 0.99, about 30% larger than CDICE",1.0
10.1093/restud/rdae011,Damages,Global,CDICE-MESMO-HadGEM2-ES,2315.0,No CC,% of GDP,-17.5,,,,,,29,Upper bound of plausible damages,1.0
10.1093/restud/rdae011,Damages,Global,CDICE-LOVECLIM-GISS-E2-R,2315.0,No CC,% of GDP,-17.5,,,,,,29,Upper bound of plausible damages,1.0
10.1093/restud/rdae011,Damages,Global,Various Calibrations,2315.0,No CC,% of GDP,-3.0,,,,,,29,Lower bound of plausible damages,1.0
10.1093/restud/rdae011,Temperature,Global,DICE-2016 optimal mit,2100.0,CDICE optimal mit,K,4.0,,,,,,33,Temperature rises by more than this value,1.0
10.1093/restud/rdae011,Temperature,Global,CDICE zero ind emissions,2100.0,Non-zero emissions,K,1.7,,,,,,33,Warming is below this value,1.0
10.1093/restud/rdae011,Temperature,Global,DICE-2016 zero ind emissions,2100.0,Non-zero emissions,K,2.0,,,,,,33,Impossible to keep below this value,1.0
10.1093/restud/rdae011,Temperature,Global,DICE-2016 RCP 2.6,2300.0,No CC,K,2.5,,,,,,33,Stays above 2.3K beyond 2300,1.0
10.1093/restud/rdae011,Temperature,Global,CDICE RCP 2.6,2300.0,No CC,K,2.1,,,,,,33,Warming is below 1.8K by 2300,1.0
10.1093/restud/rdae011,Social Cost of Carbon (SCC),Global,Business as usual,2015.0,No CC,%,0.0,,,,,,Page 34,"The SCC is highly sensitive to the growth-adjusted interest rate and the intertemporal elasticity of substitution (IES). The SCC increases over time due to output growth. Different values for the IES parameter ψ greatly affect the social cost of carbon across different specifications, causing significant divergence over time. There's an approximately 50% variation for different values of ψ, but no baseline value is provided on this page.",1.0
10.1093/restud/rdae011,Optimal Warming,Global,"High ECS, High ψ",2215.0,Optimal Abatement,Degrees K,6.0,,,,,,35,Optimal warming is dramatic assuming high ψ. 200 years from 2015.,1.0
10.1093/restud/rdae011,Optimal Warming,Global,"MMM, High ψ",2215.0,Optimal Abatement,Degrees K,4.5,,,,,,35,"High IES case, warming prescribed by DICE-2016 falls significantly out of the CMIP5 range. 200 years from 2015.",1.0
10.1177/0022343311426167,Economic Growth,171 countries,Historical data,2007.0,No CC,percentage points,-0.38,,,,,,,154,2.0
10.1177/0022343311426167,Economic Growth,171 countries,Historical data,2007.0,No CC,percentage points,-0.46,,,,,,,154,2.0
10.1177/0022343311426167,GDP/capita growth,171 countries,Historical Data,2007.0,No CC,percentage points,-26.8,6.75,,,,,,,2.0
10.1177/0022343311426167,GDP/capita growth,171 countries,Historical Data,2007.0,No CC,percentage points,-31.0,3.1,,,,,,,2.0
10.1177/0022343311426167,GDP/capita growth,171 countries,Historical Data,2007.0,No CC,percentage points,-24.0,4.47,,,,,,,2.0
10.1177/0022343311426167,GDP/capita growth,171 countries,Historical Data,2007.0,No CC,percentage points,-0.53,1.91,,,,,,,2.0
10.1177/0022343311426167,Aggregate Income Growth,Global,No explicit scenario,2007.0,No CC,Percentage Points,-0.5,,,,,,,Page 14,2.0
10.1177/0022343311426167,Economic Growth,171 independent countries,Historical Data (1980-2007),2007.0,No climatic disaster,percentage points,-0.5,,,,,,,p. 161,2.0
10.1177/0022343311426167,Economic Growth (per capita),171 independent countries,Historical Data (1980-2007),2007.0,No CC,percentage points,-0.38,,,,,,,154,2.0
10.1177/0022343311426167,Economic Growth (per capita),171 independent countries,Historical Data (1980-2007),2007.0,No CC,percentage points,-0.46,,,,,,,154,2.0
10.1177/0022343311426167,Economic Growth,171 independent countries,Historical data 1980-2007,2007.0,No CC,Percentage points,-0.5,,,,,,,Abstract,2.0
10.1177/0022343311426167,Economic Growth,171 independent countries,Historical data 1980-2007,2007.0,No CC,,-0.5,,,,,,,Highlights,2.0
10.1016/j.envsoft.2015.03.010,GDP shock persistence,Western Europe,AR(1) w/ breaks,2024.0,,Value,1.85,,,,,,Page 4,Accounts for structural breaks.,2.0
10.1016/j.envsoft.2015.03.010,GDP shock persistence,Western Europe,AR(1) no breaks,2024.0,,Value,25.57,,,,,,Page 4,Does not account for structural breaks.,2.0
10.1016/j.envsoft.2015.03.010,GDP shock persistence,Western Europe,IAMs no memory,2024.0,,Value,5.87,,,,,,Page 4,Illustrative CIR from IAMs w/ zero persistence.,2.0
10.1016/j.envsoft.2015.03.010,GDP,World,RCP4.5,2100.0,No CC,% of initial GDP,-5.73,,,,,,Page 8,Average net present value of total impacts over 100 years assuming a=0 (no persistence).,2.0
10.1016/j.envsoft.2015.03.010,GDP,World,RCP4.5,2100.0,No CC,% of initial GDP,-11.01,,,,,,Page 8,Average net present value of total impacts over 100 years assuming a=0.5 (moderate persistence).,2.0
10.1016/j.envsoft.2015.03.010,GDP,World,RCP8.5,2100.0,No CC,% of initial GDP,-12.49,,,,,,Page 8,Average net present value of total impacts over 100 years assuming a=0 (no persistence).,2.0
10.1016/j.envsoft.2015.03.010,GDP,World,RCP8.5,2100.0,No CC,% of initial GDP,-24.0,,,,,,Page 8,Average net present value of total impacts over 100 years assuming a=0.5 (moderate persistence).,2.0
10.1088/1748-9326/11/1/015005,Maize Yield,Southern Africa,Severe drought,1992.0,1991,kg ha-1,-1380.0,,,,,,9,"Yield declined from 2170 in 1991 to 790 in 1992. (Botswana, Lesotho, Namibia, South Africa, Swaziland)",3.0
10.1088/1748-9326/11/1/015005,Maize Yield,Southern Africa,Drought,1995.0,1994,kg ha-1,-1333.0,,,,,,10,Yield fell from 2713 to 1380 kg ha-1,3.0
10.1088/1748-9326/11/1/015005,Water Savings,Southern Africa,Food Trade,1992.0,No Trade,km3,35.0,,,,,,10,Water Savings induced by extra regional trade over the whole period,3.0
10.1007/s10584-020-02940-x,GDP,U.S.,,2020.0,No CC,US$ billion,370.0,,,,,,1,Annual estimate based on data available around the publication year. This vast area generates ~US 370 billion of U.S. gross domestic product.,1.0
10.1007/s10584-020-02940-x,Sales,U.S.,,2020.0,No CC,US$ billion,617.0,,,,,,1,Annual estimate based on data available around the publication year. This vast area generates ~US 617 billion in sales.,1.0
