DOI,Author(s),Year,Paper Title,Link to paper,Paper ID,Reviewer,Status,Outcome(s) of Interest,Drivers of Risk,Category,Approach,Methodology,Highlights,More Notes,Hazard definition,Impact persistence,Space disaggregation,Impact interactions,Economic dynamics,Climate features,Adaptation considered
10.1016/j.ecolecon.2022.107627,Jarrett U. et al.,2023,Dry spells and global crop production: A multi-stressor and multi-timescale analysis,https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1119&context=econfacpub,10.1016/j.ecolecon.2022.107627,AI,Step 5,Depressed aggregate crop production.,"Dry spells, heat waves, drought, aridity, water stress, temperature stress, low soil moisture, precipitation unevenness, climate change, climate extremes, water deficits.",Agriculture,Econometric,"The study employs a multi-stressor, multi-timescale analysis approach using a global panel dataset from 1979 to 2016 comprising daily precipitation and temperature data; it defines and examines dry spells (periods of abnormally dry days below 1.5 standard deviations from the mean) and heat waves (abnormally hot days exceeding 1.5 standard deviations) using climatic data from the Climate Prediction Center and constructs national aggregates weighted by cropland area; key variables include drought measures (SPEI), aridity index, and irrigation levels, all of which are accounted for in fixed-effects regression models to isolate impacts on national crop production, with robustness checked via bootstrapping, sequential g-estimation, interaction terms, distributed lag models, and various other specifications.","The study highlights that dry spells during the hottest times of the year significantly depress crop production, particularly in non-irrigated and arid regions, with impacts exacerbated by existing drought and heat waves; irrigation and adaptation can mitigate some effects, but compounded exposure to dry spells and heat waves, especially during longer durations, intensifies negative outcomes; the effects of dry spells on crop production are more severe under arid conditions and are moderated by irrigation, and nutrient management is suggested as a potential adaptation strategy.","The study investigates the impact of 4-5 week dry spells occurring during the hottest part of the year on aggregate crop production using global panel data from 1979-2016, considering the influence of existing drought, aridity, and heat waves; it employs a multi-timescale and multi-stressor perspective, focusing on punctuated events and using gridded data, although data limitations may affect the accuracy of results in Sub-Saharan Africa; heat waves are defined as rarer than dry spells, and their interactions with dry spells are explored, with analyses including varying dry spell/heat wave lengths and alternative outcome measures; while statistical significance varies, the study aims to isolate punctuated weather event effects from prevailing climate regimes, and acknowledges limitations related to data aggregation and threshold enforcement.",Acute shocks,Permanent,Global,Sequential Interactions,Transitional (accounting for changes over time),,"Limited. Primarily explored through the potential role of irrigation, with acknowledgement of data limitations and endogeneity challenges. Regression analysis also allows dry spell effects to vary with aridity, drought, or irrigation. Split-sample and interaction-term regressions examine how dry spell effects depend on drought and aridity, using country-level variation as moderators."
10.21919/remef.v17i4.794,Lucatello S. & Sánchez R.,2022,"Climate Change in North America: Risks, Impacts, and Adaptation. A Reflection Based on the IPCC Report AR6 – 2022; [Cambio climático en América del Norte: riesgos, impactos y adaptación. Una reflexión basada en el Informe AR6 del IPCC – 2022]",https://www.redalyc.org/journal/4237/423780639002/423780639002.pdf,10.21919/remef.v17i4.794,AI,Step 5,"Increased frequency/severity of extreme events (rising temperatures, droughts, extreme rainfall, rising sea levels); more difficult/costly adaptation; disproportionate impacts on vulnerable groups, economic activities, and ecosystems.","Rising temperatures, sea level rise, droughts, extreme weather events (heatwaves, storms, hurricanes, floods, extreme precipitation), wildfires, shifted rainfall patterns, changes in precipitation, rising atmospheric carbon dioxide, compound extreme events.","Climate Hazards (Flooding, Storms, etc.)",Other,"The evaluation methods are based on impacts and adaptation assessments revised in available literature, reflecting on evidence from the IPCC Working Group 2 report on ""Impacts, adaptation and Vulnerability"".","North America faces increasing climate-related extreme events, disproportionately impacting vulnerable populations (Indigenous, urban areas), coastal regions (sea level rise, storms), and various sectors (agriculture, energy, health); economic losses from storms are significant, mental health is affected by high temperatures, adaptation efforts are insufficient and underfunded, and delayed resilience investments will drastically increase costs.","Based on IPCC AR6, the article summarizes climate change impacts, adaptation, and financial implications in North America, highlighting adaptation gaps, the relevance of Climate Resilience Development (CRD), Mexico's vulnerability, financial sector's role, urgency of adaptation (especially in U.S. and Mexico), challenges to subnational adaptation due to political factors, and the economic benefits of early adaptation.",,,,,,,"Impacts and adaptation assessments revised in available literature inform the evaluation methods for IPCC WG2's report on impacts, adaptation, and vulnerability."
10.5194/nhess-22-2567-2022,Chan F.K.S. et al.,2022,"Comparison of sustainable flood risk management by four countries - the United Kingdom, the Netherlands, the United States, and Japan - and the implications for Asian coastal megacities",https://nhess.copernicus.org/articles/22/2567/2022/nhess-22-2567-2022.pdf,10.5194/nhess-22-2567-2022,AI,Step 5,"Lessons for coastal megacities in development related to sustainable flood risk management, integrating social, ecological, and economic themes, and moving towards long-term thinking about sustainability.","Climatic extremes (intensive precipitation, tropical cyclones, sea-level rise, storm surges), rapid urbanization, land-use change, economic expansion, high demand for coastal development, loss of wetland storage, impermeable surfaces, past land-use planning decisions, heavy rainstorms, typhoons, snowmelt, tsunami.","Climate Hazards (Flooding, Storms, etc.)",Other,"Analysis of flood risk management (FRM) practices includes a historical evolution of strategies, particularly in the UK, focusing on the shift from flood defense to flood risk management. Evaluates surface water management plans (SWMPs) as a government-required strategy under the Flood and Water Management Act to assess flood risk and inform planning decisions; SFRM evolution driven by sustainability principles (social, economic, environmental) incorporates participatory planning aided by flood risk information and cost-benefit analysis. FRM practices are compared across four countries (Japan, Netherlands, UK, USA).","SFRM balances flood risk reduction with other priorities, integrating social, economic, and environmental factors including natural capital; UK integrates FRM with land-use planning; USA relies on local authorities in flood risk management; lessons can be learned from legislative improvements and shifts in FRM in Japan; Asian coastal cities need to adopt SFRM using mixed engineered and non-engineered measures due to increasing flood risks and the limits of traditional approaches.","The U.S. has shifted from flood control to flood management since the National Flood Insurance Act of 1968 and Executive Order 11988; better planning and coordination between governmental levels are needed; the U.S., along with the Netherlands and the UK, is part of a broader context of sustainable flood risk management also encompassing Japan's flood resilience approach.",Acute shocks,Adaptive,Regional,,Adaptive (reflecting shifts in economic behavior in response to impacts),,"Adaptation is considered through flood risk management (FRM) practices, including shifts in strategy and the implementation of Surface Water Management Plans (SWMPs). Sustainable flood risk management (SFRM) evolution, participatory planning, and cost-benefit analysis are noted. A comparative analysis of FRM practices across multiple countries is also included."
10.1111/afe.12502,Aidoo O.F. et al.,2022,"Model-based prediction of the potential geographical distribution of the invasive coconut mite, Aceria guerreronis Keifer (Acari: Eriophyidae) based on MaxEnt",https://ugspace.ug.edu.gh/server/api/core/bitstreams/0632423a-43bf-4b31-a0b5-9765e3f81507/content,10.1111/afe.12502,AI,Step 5,Potential range expansion of coconut mite Aceria guerreronis; decreased habitat suitability by 2060.,"Climate change (SSP1-2.6, SSP5-8.5), annual average temperature, mean annual precipitation, precipitation seasonality, daytime temperature variation, temperature seasonality.",Agriculture,Other,"MaxEnt machine learning algorithm was used with 19 bioclimatic variables and species distribution modeling to predict current and future global distribution of *Aceria guerreronis* under SSP1-2.6 and SSP5-8.5 climate scenarios for 2040 and 2060, using 80% of occurrence sites for training and 20% for testing, averaging results over 10 runs, and using a jackknife test to assess variable importance.","The MaxEnt model accurately predicts Aceria guerreronis distribution, identifying suitable habitats in Oceania, Asia, Africa, and the Americas. Temperature seasonality and annual average temperature are key influencing factors. Under SSP2.6, habitat suitability expands in the future, while SSP8.5 predicts a decrease from 2040 to 2060.","SDM predicts shifts in *Aceria guerreronis* habitat suitability based on climate variables (primarily temperature), with maps showing current and projected distributions; model reliability and data input sensitivity are assessed, but focus is on pest distribution, not direct climate impacts, though climate influences it.",,,Global,,,,Species distribution modeling (MaxEnt) is used to predict current and future habitat suitability for *A. guerreronis* under different climate scenarios (SSP2.6 and SSP8.5). This informs potential quarantine measures and identifies regions suitable for the coconut mite. The models consider different occurrence datasets to enhance prediction accuracy.
10.3390/land11040512,Rahman S. et al.,2022,"Climate, Environment and Socio-Economic Drivers of Global Agricultural Productivity Growth",found,10.3390/land11040512,AI,Step 5,Reduced global agricultural productivity due to climate variability.,"Climate variability (temperature and rainfall), long-term temperature (LTT), long-term precipitation (LTP), land elevation, weather regimes/zones.",Agriculture,Econometric,"TFP change is decomposed into technology, efficiency, and scale changes; climate change, production environment, and socio-economic factors' influences on agricultural productivity growth are identified; predictive analysis of future climate variability impacts is conducted using four models incorporating rainfall, temperature, long-term precipitation (LTP), and long-term temperature (LTT) variability. Explanatory variables include technology, institutional capacity, socio-economic, agro-ecological, and climatic factors. Long-term precipitation and temperature are calculated using a 30-year moving average. Annual temperature variability is estimated as the difference between monthly maximum and minimum average temperature. An MVTOBIT model is used to estimate the determinants of TFP change. A one-way ANOVA test determines significant differences in TFP change indices across categories. Econometric analysis examines crop diversification impacts on TFP, and regression equations are used to assess climate variable impacts on TFP and efficiency. TFP is predicted up to 2033 under four climatic scenarios using an MVTOBIT model based on parameter estimates and historical data (1969-2013).","Global agricultural TFP grew annually at 0.44%, driven by technology and mix-efficiency, but reduced by climate variability; high-income countries led in TFP change; crop diversification boosts TFP; climatic vulnerability and temperature changes negatively affect agricultural efficiency; country-specific research and policies, crop insurance, and technology adoption are potential solutions.","Published in *Land* (open access), the study uses panel data from 104 countries (1969-2013) and various databases (IFPRI, World Bank, FAOSTAT, etc.) to analyze agricultural TFP growth, its drivers (climate, socio-economics), and projects future impacts of climate variability, considering regional (Sub-Saharan Africa, South Asia, Latin America/Caribbean, East Asia/Pacific, Europe/Central Asia relative to Middle East/North Africa) and income classifications from the World Bank, highlighting the importance of TFP growth for SDGs.",Chronic trends,Adaptive,Global,,Transitional (accounting for changes over time),,"Adaptation is not explicitly mentioned. However, the study implicitly considers it by:

*   Including technology, institutional capacity, and socio-economic factors as explanatory variables affecting agricultural productivity (TFP). These represent adaptive capacities.
*   Examining the impact of crop diversification on TFP.
*   Analyzing efficiency changes, which can reflect adaptation strategies.
*   Using models that account for rainfall and temperature variability, which implicitly relate to adapting to a changing climate.
*   Predicting TFP under different climate scenarios, suggesting an awareness of future adaptation needs."
10.1016/j.scitotenv.2021.152552,Cremen G. et al.,2022,Modelling and quantifying tomorrow's risks from natural hazards,https://tomorrowscities.org/wp-content/uploads/2024/08/Modelling-and-quantifying-risks-min.pdf,10.1016/j.scitotenv.2021.152552,AI,Step 5,Quantifying future risk; sustainable future; risk-quantification approaches; future hazards affected by climate change; future exposure; evolving physical vulnerabilities.,"Climate change impacts (sea level rise, storm intensity/frequency, extreme temperatures, precipitation patterns), population growth/urbanization, land-use change, accumulation of asset wealth/socioeconomic growth, wealth disparities, greenhouse gas emissions.","Climate Hazards (Flooding, Storms, etc.)",Other,"Methodology involves modeling future risk from a physical sciences and engineering perspective, using climate models, emission scenarios, downscaling techniques, and socioeconomic storylines to quantify future natural hazards influenced by climate change, future exposure (population, land use), and evolving physical vulnerabilities; a stakeholder-centered risk modeling framework is proposed to account for multiple hazards and stakeholder perspectives.","Highlights include discussion of risk modeling challenges, future natural hazard exposure due to urbanization and socioeconomic factors, the absence of a unified analytical framework for risk quantification, and climate change risk assessment in the US Gulf of Mexico.","The study's scope excludes social vulnerability and relies on a methodological approach adapted from Salman and Li (2018), focusing on interconnected risk factors and the importance of consistent modeling frameworks for future risk assessment.",Acute shocks,Adaptive,Local,,Transitional (accounting for changes over time),,"Adaptation is addressed via climate adaptation engineering, focusing on infrastructure and economic impacts. The paper models future risk, incorporating uncertainties and dynamic elements of hazards, exposure, and vulnerability. A stakeholder-centered risk modeling framework is proposed."
10.3390/w14060967,Taguchi R. et al.,2022,Global-Scale Assessment of Economic Losses Caused by Flood-Related Business Interruption,found,10.3390/w14060967,AI,Step 5,Global business interruption (BI) loss and asset damage estimates; regional differences in BI loss; future increases in BI loss and asset damage per GDP under RCP8.5/SSP3.,"Floods (frequency, depth, duration), heavy rainfall, mild slopes (prolonged inundation), GDP, flood protection (presence/absence, levels), meteorological forcing data.","Climate Hazards (Flooding, Storms, etc.)",Other,"The study uses a global river and inundation model, CaMa-Flood, driven by bias-corrected meteorological forcing data (S14FD) to simulate daily inundation depth and estimate business interruption (BI) loss and asset damage. The MATSIRO land surface model generates daily runoff used in CaMa-Flood to simulate daily total storage and depth, determining inundation when storage exceeds flood protection standards. BI loss is modeled using inundation period and GDP data, while asset damage is calculated using annual maximum flood depth, land use data (GLCNMO aggregated with GRUMPv1), a damage-depth function, GDP, and an asset coefficient. Gridded GDP is derived from building height data (ASTER GDEM) to distribute country GDP. The method calculates BI loss by comparing secondary and tertiary industry production during flood and non-flood periods. The study uses a reanalysis simulation (S14FD-Reanalysis) for 1960–2013 and a GCM simulation (S14FD-GCM) for historical (1961–2005) and future (2006–2098, RCP8.5, SSP3) periods, averaging values from five GCMs for future projections. The study compares historical GCM simulations against reanalysis to validate results and analyzes future BI loss and asset damage for near-term (2021–2050) and long-term (2061–2090) periods relative to a past period (1971–2000), considering flood protection levels.","Highlights: Bias-corrected modeling estimates global annual BI loss and asset damage at USD 26.9 and 130.9 billion (1960-2013 average), respectively; future projections (RCP8.5/SSP3) show increases in BI loss and asset damage per GDP by 0.32% and 1.78% (2061-2090 vs 1971-2000); BI loss is significant, particularly in regions with mild slopes and long inundation periods (e.g., Amazon); America and Europe have greater absolute BI loss, but smaller relative BI loss (% of GDP); BI loss relative to GDP is projected to increase in some regions (e.g., Nile and Niger) and decrease in others; Previous studies underestimated economic impacts by focusing primarily on asset damage; Flood protection significantly reduces both BI loss and asset damage, but BI loss to asset damage ratio is expected to increase in some basins (e.g., Mississippi); BI loss is projected to exceed 1.5% of local GDP in flat terrain regions like Nile, Indonesia, and Chao Phraya River basins.","The study does not account for high-order propagation effects. Data from 11 countries were used to examine the relationship between building height and gridded GDP, applied globally, with subnational GDP obtained from national sources. A constant BI period is used, but this is acknowledged as a simplistic assumption needing more data. Validation includes specific historical flood events categorized by country, year, industry, and flood characteristics. BI loss and asset damage are estimated considering flood protection, expressed in 2005 PPP USD after converting from local currencies, with BI loss estimates appearing smaller than World Bank estimates due to exclusion of indirect losses. The impact of flood protection markedly reduces BI loss compared to asset damage.",Acute shocks,,Global,,Transitional (accounting for changes over time),,"Flood protection standards are considered as a factor that determines inundation, influencing BI loss and asset damage. The study models simulations with and without flood protection. Ratios of BI loss to asset damage are compared in areas with varying flood protection levels. Future BI loss and asset damage ratios are estimated relative to flood protection levels."
10.1029/2021EF002222,Warziniack T. et al.,2022,Projections of Freshwater Use in the United States Under Climate Change,https://www.fs.usda.gov/rm/pubs_journals/2022/rmrs_2022_warziniack_t001.pdf,10.1029/2021EF002222,AI,Step 5,Projected freshwater use changes: -8% to +235% depending on climate/socioeconomic scenarios; agriculture key; climate change dominates in hot/dry futures.,"Climate change (temperature, precipitation, evapotranspiration, droughts), socioeconomic factors (population growth, per-capita income, GDP, SSPs, agriculture practices, livestock raising), water management strategies, technology, emissions scenarios (RCPs), past water withdrawal rates.",Fresh-Water,Other,"Freshwater use projections (2015-2070) are based on IPCC AR5 socioeconomic (SSPs) and climate (RCPs) scenarios, paired with five downscaled MACA climate models. The methodology extrapolates past trends in water withdrawal rates (1985-2015) applied to projected water-using units (population, irrigated acres) at the Water Resource Region (WRR) level with a 5-year time step, while incorporating climate change effects and projecting potential evapotranspiration changes. The Variable Infiltration Capacity (VIC) hydrological model is used at 4x4 km resolution. Livestock water demand projections do not include climate effects, and technology/thermoelectric generation shares are assumed to remain near current levels.","Freshwater use is projected to substantially increase in dry regions, particularly the West and parts of the Southeast, driven by agricultural demands overwhelming other factors under hot and dry climate scenarios; the South faces significant declines in water yield due to increased potential evapotranspiration; while electricity generation shifts and industrial efficiency may decrease water withdrawals, high growth scenarios could increase industrial and thermoelectric water use, with regional variations; climate change compounds population effects, increasing water use for outdoor needs; projections vary regionally, with potential overestimations for the Great Lakes and Ohio regions and underestimations for the Mid-Atlantic and Great Basin regions; and aggregate impacts depend on future climate and socioeconomic conditions, highlighting the need for water management actions where the status quo is unsustainable.","Water use trends mask local challenges, with groundwater increases sometimes offsetting surface water decreases; population growth impacts domestic water use; climate models are more influential than socioeconomic scenarios; study uses CMIP5 conventions and builds on prior research; calculations occur at the county level within Water Resource Regions; thermoelectric sector reflects socioeconomic and climate interactions; projections exclude scarcity and are affected by economic/drought factors; data will be archived.",Chronic trends,,Local,Sequential Interactions,Transitional (accounting for changes over time),,"Adaptation is largely absent. Projections extrapolate historical trends in water use, population, and income. Assumptions are made regarding stable technology and thermoelectric generation shares. Livestock water demand projections disregard climate effects."
10.1038/s41586-021-04283-8,Kotz M. et al.,2022,The effect of rainfall changes on economic production,found,10.1038/s41586-021-04283-8,AI,Step 5,"Reduced economic growth rates due to increased wet days and extreme daily rainfall, particularly impacting high-income nations and the services/manufacturing sectors.",Total annual rainfall; Monthly rainfall deviations; Number of wet days; Extreme daily rainfall; Daily temperature variability; Annual mean temperature.,"Climate Hazards (Flooding, Storms, etc.)",Econometric,"Fixed-effects panel regression models are applied to 40 years of subnational economic output data from 1,554 regions worldwide, assessing the impact of rainfall distribution (including wet days, extreme rainfall, total annual rainfall, and monthly rainfall deviations) on economic growth rates, while controlling for temperature variability and income, and accounting for spatial autocorrelation; Analysis also involves partitioning data by national income per capita and sector (agriculture, manufacturing, services), and stratifying rainfall effects by season; Marginal and historical effect sizes are computed; Economic responses are estimated separately for rich and poor countries across 14 dryland sites.","High-income nations and services/manufacturing sectors are most negatively impacted by increased wet days and extreme daily rainfall; while greater annual rainfall generally benefits economic growth, these benefits diminish in already wet climates; economic growth responds nonlinearly to monthly rainfall deviations; winter and autumn rainfall impacts are strongest; model incorporates quadratic effects of wet days and interactions with income level; findings differentiate rainfall impact responses between rich and poor countries.","The study uses climate data from ERA-5, MSWEP, PGF, and economic data from DoSE, focusing on dryland sites. The analysis is based on publicly available code and data, supported by the Volkswagen Foundation and EU Horizon 2020. Rainfall deviations are unitless. Maps depict historical rainfall variability with a red gradient, and graphs analyze total annual rainfall, monthly deviations, wet days, and mean temperature. 'Rich' and 'Poor' are likely economic classifications. Results vary depending on whether errors are regionally or nationally clustered, with an Adjusted R2 of 0.19 for model variance explanation.",Acute shocks,,Regional,Sectoral Interactions,Transitional (accounting for changes over time),,"Adaptation is implicitly considered through the analysis of economic responses to climate impacts, focusing on different economic sectors (agriculture, manufacturing, services) and exploring heterogeneity based on income levels. The use of fixed-effects models, spatial autocorrelation, and econometric specifications indicates a methodological approach that accounts for regional and temporal variations, including adaptations over time. The effects of climatic factors like rainfall are assessed relative to regional economic outputs, with considerations of marginal and historical effect sizes, suggesting an implicit evaluation of adaptive capacities across different income levels and sectors."
10.1007/978-3-030-86211-4_2,Aaheim A. et al.,2022,Cross-Sectoral Challenges for Adaptation Modelling,assistant: [yes],10.1007/978-3-030-86211-4_2,AI,Step 5,"Economic impact assessments, climate change, adaptation modeling, remote impacts, cross-sectoral interactions, cross-regional interactions, macroeconomic models.","Climate change, extreme weather events, sea-level rise, exposure, vulnerability, socioeconomic factors, precipitation patterns, temperature changes, flood risk, coastal storms.",Total,Other,"Methodologies discussed include: CGE models (GRACE), IAMs (implicit and explicit adaptation modeling), global sensitivity analysis, storyline development (climate scenario and risk), impact response surfaces (IRS) and adaptation response surfaces (ARS), multi-model ensembles (MME), stress-testing, agent-based modeling (ABM), system dynamics models (SYMs), system simulation models (SSMs), process-based models (e.g., XBeach, LISFLOOD), hydrological modeling, slope stability modeling (LEM, FEM), agro-ecosystem models, environmentally extended input-output models (EEIO), life cycle assessments (LCA), natural catastrophe models, water resource system models, hydro-economic models, coupled model chains, hierarchical Bayesian approach, socio-hydrology modeling, regional flood models (RFM), global flood models (GFM), Land System Modular Model (LandSyMM), multi-criteria analysis (MCA) coupled with uncertainty analysis (UA), data mining techniques (CART), and empirical models extrapolated under climate change scenarios, often combined with stakeholder engagement, historical analysis, and cost-benefit analysis.","Highlights include: Research gaps in adaptation modeling, need for policy community interaction; Europe's shift to adaptation implementation; comprehensive model/tool reviews; complex adaptation modeling challenges (quantification, uncertainty); adaptation evolution towards interdisciplinary and decision-maker-informed approaches; need to improve local/regional implications analysis and manage uncertainty in agricultural projections; value of diverse models, the role of macro-level constraints, and the impact of mechanization; top-down/bottom-up complementarity; addressing climate service gaps; tailoring information to decision contexts; utilizing climate scenario storylines; assessing intervention option controls; identifying dominant processes through sensitivity analysis; importance of local factors in short/mid-term planning; system vulnerability changes; riparian tree cover's cooling effect; system modeling for risk assessment; decision-led frameworks for adaptation planning; effectiveness of adaptation options; quantification of hazard-reducing effects of nature-based solutions; testing/validating disaster risk reduction (DRR); limitations of current models (validation data, end-user usability, indirect impacts); sensitivity analysis for sector-specific responses; crop rotation diversification for resilience; challenges of unexpected system behavior; improved attribution of drought/flood impacts; urban climate services for adaptation; weather index insurance (WII) for farmer resilience; flood modeling advancements; inadequacies in capturing cascading failures; addressing land-based trade-offs; land management adaptation; decision analysis methods for water sector; adaptation integration of economic efficiency, social acceptability, environmental sustainability, and adaptation robustness; bottom-up infrastructure adaptation; benefit-cost ratios (BCRs) for climate adaptation investments; multi-sectoral/organizational commitment to resilience; decision-making robustness under uncertainty; adaptation's implications for water reallocation; private sector risks/opportunities; supply chain emissions reduction; risk reduction integration in insurance; health behavioral change models for societal transformation; planetary health; modeling limitations (resolution, funding); communication of uncertainty improvement; socio-economic considerations; impact chains for risk analysis/communication; integrated modeling for adaptation performance; participatory scenarios for new strategies; decision support systems for uncertainty mitigation; need for climate knowledge/decision support services; regional risk estimation; climate risk storylines; switching to crops with lower water demand, to mitigate the effects of climate change; nature based solutions effects, and the importance of high-resolution data in climate services, landslide triggering threshold affected by long-term precipitations, and combined efforts needed in local instrumentation and modelling.","The document collection highlights: the need for more climate-related data; integration of adaptation actions into models and model improvements; adaptation modeling challenges and improvements; differentiation of adaptation in IAMs; incorporation of adaptation measures into macroeconomic models; market-related barriers often not implemented in top-down models; stakeholder confidence in model projections; subtle shifts in seasonality and extreme weather; dynamic trends in hazard, exposure, and vulnerability for flood risk; knowledge transfer to end-users; long-term monitoring of adaptation success; limitations of current modeling approaches; site-specific dependency of vulnerability to climate change; a systems approach to flood risk; co-design of services with end users; crop rotations in impact assessments; the importance of land-use models incorporating adaptation; water resources system definitions; exploratory modeling for water-related outcomes; limited uptake of water resource models in practice; top-down vs. bottom-up adaptation; methods to address uncertainty in human-water systems; transitional risks for the private sector; GHG emission reporting harmonization; the role of insurance in adaptation; EU initiatives to address climate change; societal transformation approaches; climate risk dynamics and adaptation limits; integrating expert knowledge with models; climate change effects in combination with other signals; operationalizing climate proofing; JPI Climate projects and knowledge hubs; soil behavior modeling for static slope stability; challenges in modeling vegetation effects on slope stability.",Acute shocks,Adaptive,,Sectoral Interactions,Adaptive (reflecting shifts in economic behavior in response to impacts),Other,"Adaptation is considered through various modeling approaches: top-down (CGE models), bottom-up, integrated assessment models (IAMs) with implicit and explicit adaptation, storyline development, and multi-criteria/uncertainty analysis. Methods include global sensitivity analysis, stress-testing, impact & adaptation response surfaces, disaster risk reduction measures, and analysis of crop rotations. Focus is also on climate services, stakeholder engagement, and decision support systems for adaptation planning, performance evaluation, and integration of local context, incorporating cost/benefit analysis and considering various uncertainties and scenarios. Insurance practices and behavioral changes also support adaptation."
10.1007/s00148-024-01039-2,Huang & Hong,2024,The impact of global warming on obesity,http://www.ccap.pku.edu.cn/docs/2025-01/20250109102110465468.pdf,10.1007/s00148-024-01039-2,AI,Step 5,"Increased obesity rates (globally, especially in temperate zones), potential reduction in obesity in some tropical countries.","Annual mean temperature, temperature fluctuations, temperature bins, seasonal mean temperature, temperature variation, temperature shocks, global warming (temperature increases), emissions scenarios.",Health > Other,Econometric,"The study analyzes year-to-year temperature fluctuations from 1975-2016 in 152 countries, using fixed effects panel regression models with temperature polynomials and interactions with GDP per capita to assess the impact of global warming on obesity. It employs a baseline model and a long-difference model, comparing year-to-year and 30-year temperature trends to infer adaptation effects, while considering various control variables and robustness checks. The study also uses multi-model ensemble climate projections (CMIP6) and country-level climate measures from the LandScan Program, incorporating emissions scenarios and temperature bins to assess impacts from 2016-2050.","Global warming primarily increases obesity rates in temperate zones while sometimes reducing them in tropical regions; adaptation may not fully mitigate this impact; the effect varies based on income, age, education, and sex, with poorer countries, older populations, more educated adults, and males being more affected; temperature increases initially raise and then lower obesity, with a threshold around 27°C; higher temperatures may decrease calorie expenditure; long-term adaptation may not significantly reduce the impact of global warming on obesity.","Temperature distributions are key to the analysis; adaptation inferences are not solely driven by adaptation; analysis is limited for countries with mean temperatures below zero; income (GDP) moderates the effect of temperature on obesity; heterogeneity of impact is examined concerning income, age, education, gender, and region; the 12-15 °C temperature bin was excluded due to collinearity; seasonal models provide more detail but may miss non-linear effects; temperature variation and shocks are defined using specific equations and thresholds; a flowchart summarizes factors influencing obesity; the response function is normalized for comparison; short-run and long-run marginal effects are distinguished, with maps depicting projected changes; a more active role for the public sector is suggested; limitations include lack of long-term sub-country obesity data and BMI scale data.",Chronic trends,Adaptive,Global,,Adaptive (reflecting shifts in economic behavior in response to impacts),,"Adaptation is assessed by comparing short-run (year-to-year temperature variations) and long-run (30-year temperature trends) models, inferring adaptation from the differences. A long-difference approach compares 30-year periods. The interaction between income and temperature is investigated. Potential channels (income, food prices, etc.) are examined."
10.1016/j.strueco.2023.05.009,Chang et al.,2023,Temperature and GDP: A review of climate econometrics analysis,found,10.1016/j.strueco.2023.05.009,AI,Step 5,"Economic impacts of climate change, GDP effects (growth and level), damage modeling.","Temperature, Extreme Temperatures, Temperature Variability, Deviations from Historical Norms, Weather Shocks, Average Climate Conditions, GDP Growth, GDP Level, Productivity, Physical Capital Stock",Total,Econometric,"Climate econometrics models relate temperature and GDP using linear and non-linear forms, different temporal resolutions (annual, monthly, seasonal), panel models, and other techniques to distinguish between short- and long-run climate impacts and adaptation effects; Employs temperature bins, cross-sectional models (capturing long-term equilibrium after adaptation), and panel models with fixed effects and time trends; Introduces the long difference approach (averaging variables over time) and hybrid panel models to distinguish short-, medium-, and long-term variations; Uses the half-panel jackknife FE (HPJ-FE) estimator to address feedback effects; Advocates for differentiating between short- and long-run effects to identify adaptation effects, refining long difference models in growth rates, and focusing on deviation from long-run averages in panel data.","Growth effects of temperature on GDP are generally larger than level effects. Accurate modeling of adaptation and distinction between short- and long-run effects are crucial. Non-linear models are preferred over linear specifications for long-term climate impact assessment, with temperature bins used to reveal non-linear effects and thresholds. Hybrid panel models capture long-term climate impacts and distinguish short- and long-term effects. Climate econometrics research can provide empirical evidence for improving damage functions in IAMs. Deviation from historical temperature norms is important for avoiding spurious correlations and capturing net impacts after adaptation. Multiple model specifications should be incorporated to distinguish growth and level effects.","Review of climate econometrics literature identifies limitations in existing studies and suggests future research directions, including addressing biases from omitted variables and endogenous control variables, identifying key temperature thresholds for adaptation, improving adaptation modeling by addressing data gaps on costs and benefits, and capturing non-market sector impacts beyond GDP. It advocates for multiple model specifications, exploring temperature's effect on GDP through diverse temperature variables, modeling temperature shocks on GDP growth in IAMs, investigating adaptation costs and effects, and examining temperature effects in trading networks.",,Adaptive,,Sequential Interactions,Adaptive (reflecting shifts in economic behavior in response to impacts),,"Adaptation effects are explored by differentiating between short- and long-run climate impacts, employing panel models (with fixed effects and time trends) and long difference approaches. Cross-sectional models are used to capture long-term equilibrium effects after adaptation. Hybrid panel models and the HPJ-FE estimator are used to address feedback effects. Refined long difference models and analyses of deviations from long-run averages are suggested to improve the modeling of adaptation."
