,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
30,Water,Any,Great Britain,Low&Wet,CapExCost,CapExCost,Monetary,Need,£bn,0.0,NA,NA,NA,NA,NA,Page 10,System Restructure Strategy
31,Water,Any,Great Britain,Central,CapExCost,CapExCost,Monetary,Need,£bn,0.3,NA,NA,NA,NA,NA,Page 10,System Restructure Strategy
32,Water,Any,Great Britain,High & Dry,CapExCost,CapExCost,Monetary,Need,£bn,6.4,NA,NA,NA,NA,NA,Page 10,System Restructure Strategy
33,Water,Any,Great Britain,Low&Wet,OpExCost,OpExCost,Monetary,Need,£bn,8.5,NA,NA,NA,NA,NA,Page 10,No Build Strategy
34,Water,Any,Great Britain,Central,OpExCost,OpExCost,Monetary,Need,£bn,8.5,NA,NA,NA,NA,NA,Page 10,No Build Strategy
35,Water,Any,Great Britain,High & Dry,OpExCost,OpExCost,Monetary,Need,£bn,8.5,NA,NA,NA,NA,NA,Page 10,No Build Strategy
36,Water,Any,Great Britain,Low&Wet,OpExCost,OpExCost,Monetary,Need,£bn,8.9,NA,NA,NA,NA,NA,Page 10,Minimum Intervention Strategy
37,Water,Any,Great Britain,Central,OpExCost,OpExCost,Monetary,Need,£bn,9.1,NA,NA,NA,NA,NA,Page 10,Minimum Intervention Strategy
38,Water,Any,Great Britain,High & Dry,OpExCost,OpExCost,Monetary,Need,£bn,9.6,NA,NA,NA,NA,NA,Page 10,Minimum Intervention Strategy
39,Water,Any,Great Britain,Low&Wet,OpExCost,OpExCost,Monetary,Need,£bn,11.6,NA,NA,NA,NA,NA,Page 10,Capacity Expansion Strategy
40,Water,Any,Great Britain,Central,OpExCost,OpExCost,Monetary,Need,£bn,11.4,NA,NA,NA,NA,NA,Page 10,Capacity Expansion Strategy
41,Water,Any,Great Britain,High & Dry,OpExCost,OpExCost,Monetary,Need,£bn,11.7,NA,NA,NA,NA,NA,Page 10,Capacity Expansion Strategy
42,Water,Any,Great Britain,Low&Wet,OpExCost,OpExCost,Monetary,Need,£bn,19.4,NA,NA,NA,NA,NA,Page 10,National Planning Strategy
43,Water,Any,Great Britain,Central,OpExCost,OpExCost,Monetary,Need,£bn,25.1,NA,NA,NA,NA,NA,Page 10,National Planning Strategy
44,Water,Any,Great Britain,High & Dry,OpExCost,OpExCost,Monetary,Need,£bn,51.8,NA,NA,NA,NA,NA,Page 10,National Planning Strategy
45,Water,Any,Great Britain,Low&Wet,OpExCost,OpExCost,Monetary,Need,£bn,21.7,NA,NA,NA,NA,NA,Page 10,System Efficiency Strategy
46,Water,Any,Great Britain,Central,OpExCost,OpExCost,Monetary,Need,£bn,22.1,NA,NA,NA,NA,NA,Page 10,System Efficiency Strategy
47,Water,Any,Great Britain,High & Dry,OpExCost,OpExCost,Monetary,Need,£bn,24.2,NA,NA,NA,NA,NA,Page 10,System Efficiency Strategy
48,Water,Any,Great Britain,Low&Wet,OpExCost,OpExCost,Monetary,Need,£bn,20.0,NA,NA,NA,NA,NA,Page 10,System Restructure Strategy
49,Water,Any,Great Britain,Central,OpExCost,OpExCost,Monetary,Need,£bn,25.9,NA,NA,NA,NA,NA,Page 10,System Restructure Strategy
50,Water,Any,Great Britain,High & Dry,OpExCost,OpExCost,Monetary,Need,£bn,40.8,NA,NA,NA,NA,NA,Page 10,System Restructure Strategy
51,Water,Leakage Reduction,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,180,NA,NA,NA,NA,NA,Table 3,MI Strategy
52,Water,Leakage Reduction,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,220,NA,NA,NA,NA,NA,Table 3,CE Strategy
53,Water,Leakage Reduction,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,250,NA,NA,NA,NA,NA,Table 3,NP Strategy
54,Water,Leakage Reduction,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,1000,NA,NA,NA,NA,NA,Table 3,SE Strategy
55,Water,Leakage Reduction,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,750,NA,NA,NA,NA,NA,Table 3,SR Strategy
56,Water,Demand Management,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,1100,NA,NA,NA,NA,NA,Table 3,SE Strategy
57,Water,Demand Management,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,900,NA,NA,NA,NA,NA,Table 3,SR Strategy
58,Water,Reservoir,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,6500,NA,NA,NA,NA,NA,Table 3,MI Strategy
59,Water,Reservoir,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,7200,NA,NA,NA,NA,NA,Table 3,CE Strategy
60,Water,Reservoir,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,18500,NA,NA,NA,NA,NA,Table 3,NP Strategy
61,Water,Reservoir,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,2500,NA,NA,NA,NA,NA,Table 3,SE Strategy
62,Water,Reservoir,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,3900,NA,NA,NA,NA,NA,Table 3,SR Strategy
63,Water,Transfer,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,670,NA,NA,NA,NA,NA,Table 3,CE Strategy
64,Water,Transfer,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,7800,NA,NA,NA,NA,NA,Table 3,NP Strategy
65,Water,Aquifer Recharge,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,100,NA,NA,NA,NA,NA,Table 3,MI Strategy
66,Water,Aquifer Recharge,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,65,NA,NA,NA,NA,NA,Table 3,CE Strategy
67,Water,Aquifer Recharge,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,85,NA,NA,NA,NA,NA,Table 3,NP Strategy
68,Water,Aquifer Recharge,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,20,NA,NA,NA,NA,NA,Table 3,SE Strategy
69,Water,Aquifer Recharge,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,200,NA,NA,NA,NA,NA,Table 3,SR Strategy
70,Water,Desalination,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,40,NA,NA,NA,NA,NA,Table 3,MI Strategy
71,Water,Desalination,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,45,NA,NA,NA,NA,NA,Table 3,CE Strategy
72,Water,Desalination,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,45,NA,NA,NA,NA,NA,Table 3,NP Strategy
73,Water,Desalination,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,80,NA,NA,NA,NA,NA,Table 3,SE Strategy
74,Water,Desalination,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,25,NA,NA,NA,NA,NA,Table 3,SR Strategy
75,Water,New Groundwater,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,80,NA,NA,NA,NA,NA,Table 3,MI Strategy
76,Water,New Groundwater,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,130,NA,NA,NA,NA,NA,Table 3,CE Strategy
77,Water,New Groundwater,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,150,NA,NA,NA,NA,NA,Table 3,NP Strategy
78,Water,New Groundwater,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,30,NA,NA,NA,NA,NA,Table 3,SE Strategy
79,Water,New Groundwater,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,100,NA,NA,NA,NA,NA,Table 3,SR Strategy
80,Water,Effluent Re-use,Great Britain,Central,Water Supplied,MonetaryBenefits,Economic,Need,Ml/day,2500,NA,NA,NA,NA,NA,Table 3,SR Strategy
81,Water,Restructure,Great Britain,Various,TPVC per unit water,TPVCU,Economic,Need,£/Ml,3000,NA,NA,NA,NA,NA,Highlights,SR strategy is preferred for cost-effectiveness and supply security.
82,Water,Demand mgmt,Great Britain,Various,Total Present Value,AdaptationCost,Economic,Need,£bn,5,NA,NA,NA,NA,NA,Highlights,Demand management and leakage reduction are considered 'trilemma-friendly' solutions.
83,Water,Natl. Planning,Great Britain,Various,Total Present Value,AdaptationCost,Economic,Need,£bn,6,NA,NA,NA,NA,NA,Highlights,NP strategies have higher costs than No Build or Minimal Intervention strategies.
84,Water,Inter-transfer,Great Britain,Various,Capex,CapExCost,Economic,Need,£,1000000,NA,NA,NA,NA,NA,Page 14,Relying on inter-company transfers may risk cost overruns because infrastructure assets may be required in more places to accommodate supply shortfalls that may occur in different regions in the equally likely climate scenarios.
