,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
11,Substrate temperature,Australia,Testbed experiment,2023,Non-biochar GR,degrees C,-1,NA,NA,NA,NA,NA,17,The different biochar setups were effective in reducing GR substrate temperature during both hot and cold periods; effects were more remarkable during the highest ambient temperature.,"
Buildings2024,14, 2775 4.2. Influential Factors: Substrate Temperature and Nutrient Availability... The different biochar setups used in this study were effective in reducing GR substrate temperature during both hot and cold periods. However, the effects were more remarkable during the highest ambient temperature... For example, 30%v/v greenwastebiocharin thestudy byCao, Farrell,Kristiansen andRayner [29]increased PAW by16% anddelayed PWPby2days. Liu,etal.[77]observedthat20%v/vbiochardelayedPWPby3days.
"
12,Plant Available Water,Australia,Testbed experiment,2023,No biochar,%,16,NA,NA,NA,NA,NA,17,"Using 30% v/v green waste biochar in the study by Cao, Farrell, Kristiansen and Rayner [29] increased Plant Available Water (PAW) by 16%.","
Buildings2024,14, 2775 4.2. Influential Factors: Substrate Temperature and Nutrient Availability... The different biochar setups used in this study were effective in reducing GR substrate temperature during both hot and cold periods. However, the effects were more remarkable during the highest ambient temperature... For example, 30%v/v greenwastebiocharin thestudy byCao, Farrell,Kristiansen andRayner [29]increased PAW by16% anddelayed PWPby2days. Liu,etal.[77]observedthat20%v/vbiochardelayedPWPby3days.
"
13,Permanent Wilting Point,Australia,Testbed experiment,2023,No biochar,days,2,NA,NA,NA,NA,NA,17,"Using 30% v/v green waste biochar in the study by Cao, Farrell, Kristiansen and Rayner [29] delayed Permanent Wilting Point (PWP) by 2 days.","
Buildings2024,14, 2775 4.2. Influential Factors: Substrate Temperature and Nutrient Availability... The different biochar setups used in this study were effective in reducing GR substrate temperature during both hot and cold periods. However, the effects were more remarkable during the highest ambient temperature... For example, 30%v/v greenwastebiocharin thestudy byCao, Farrell,Kristiansen andRayner [29]increased PAW by16% anddelayed PWPby2days. Liu,etal.[77]observedthat20%v/vbiochardelayedPWPby3days.
"
14,Permanent Wilting Point,Australia,Testbed experiment,2023,No biochar,days,3,NA,NA,NA,NA,NA,17,"Liu, et al. [77] observed that 20% v/v biochar delayed PWP by 3 days.","
Buildings2024,14, 2775 4.2. Influential Factors: Substrate Temperature and Nutrient Availability... The different biochar setups used in this study were effective in reducing GR substrate temperature during both hot and cold periods. However, the effects were more remarkable during the highest ambient temperature... For example, 30%v/v greenwastebiocharin thestudy byCao, Farrell,Kristiansen andRayner [29]increased PAW by16% anddelayed PWPby2days. Liu,etal.[77]observedthat20%v/vbiochardelayedPWPby3days.
"
15,Building energy consumption,Cairo,Typical summer day,2023,No green roof,%,-4,NA,NA,NA,NA,NA,Page 18,"Intensive GRs, building height 12 m","Results illustrated that different biochar setups failed to reduce nutrient concentrations when compared to the non-biochar treatment. Nonetheless, the significant potential of biochar for improving runoff quality was evident when evaluating nutrient loads estimated by multiplying nutrient concentrations by runoff volume. As a result, nutrient loss from biochar-amended GR substrates into runoff was reduced, thereby helping to maintain a nutrient-rich growing environment for plants. Higher nutrient availability in GR-7.5T-F and GR-7.5B-M could explain the higher plant performance regardless of higher substrate temperature and lower substrate moisture as compared to GR-0.

In a study with a similar outcome, Liao, Drake and Thomas [66] evaluated the impact of vegetation on green roof runoff quality and concluded that plant performance in biochar GRs was improved due to reduced nutrient leaching. Another study by Liao, et al. [78] also found that biochar increased the coverage area of sedum by decreasing concentrations of essential nutrients such as TN, dissolved P, K, Ca, and Na in runoff. Several studies were found to support the observation that the addition of biochar increases nutrient retention capacity. For example, biochar by either the top-dressed or bottom-applied methods in the study of Kuoppamäki, Hagner, Lehvävirta and Setälä [34] reduced loads of TP and TN in the GR discharge. Additionally, the leaching of various water pollutants, including TN, TP, and heavy metals, from biochar-amended GRs was mitigated [4,39,42–45,79]. The long-term effects of biochar on nutrient retention and plant performance could be also obtained through less GR discharge volume. In the study of Kuoppamäki, Hagner, Lehvävirta and Setälä [34], results from field experiments illustrate an increase of up to 10% in the water retention capacity of biochar-amended GRs relative to traditional GRs in the summer.

Findings from a numerical model named “CHEMFLO-2000” also supported the effectiveness of biochar [35]. The simulation results showed that GRs with 3 cm and 5 cm depth of biochar increased runoff retention from 55.05–65.29% to 66.9 and 69.15%, respectively. Another experiment using soil test columns by Huang, Garg, Mei, Huang, Chandra and Sadasiv [36] also found an improved runoff retention from 45.5% to 69.3%. Furthermore, improvements in hydraulic properties of GR substrates, such as the soil-water characteristic curves and saturated water content, due to the addition of biochar were also reported [58,80].

4.3. Biochar Benefits to Plant Performance in the Context of Buildings This paper focused on evaluating GR plant performance under the impact of biochar addition within the context of building and construction, including aspects like building energy saving and structural loading. The selection of parameters, including substrate temperature and runoff quantity/quality was based on their direct impacts on GR plant performance. The importance of these parameters in explaining substrate moisture content and nutrient availability for enhanced plant growth was also highlighted and taken into consideration in previous studies on GR vegetation performance [51,60,66]. Therefore, data on substrate temperature was collected in this research to identify underlying mechanisms of enhanced plant growth by biochar addition. However, since the cooling effects of GRs influence building heating and cooling demands, it is recommended that future studies include a comprehensive investigation of the thermal performance of biochar-amended GRs. Reduction in building temperature and energy consumption is one of the most notable benefits of GRs, which has attracted significant attention from researchers [1].

For example, Cascone [81] evaluated the energy efficiency of an innovative and sustainable GR with a recycled drainage layer, locally sourced materials, and high organic content in substrates. After analyzing the thermo-physical parameters of GRs and the building (surface temperature, heat flow, volumetric content) during the summer period in Mediterranean climate, the studied GR alleviated the heat transfer to the building and the internal surface temperature by 2°C relative to the reference concrete roof. Aboelata adopted a numerical approach using ENVI-met and a DesignBuilder model was adopted by [82]. The simulation results indicated that intensive GRs reduced the energy consumption of buildings by 4%, 2.4%, and 1.4% for heights of 12 m, 18 m, and 30 m, respectively, on a typical summer day in Cairo. Despite the energy savings, Aboelata [82] recommended"
16,Building energy consumption,Cairo,Typical summer day,2023,No green roof,%,-2.4,NA,NA,NA,NA,NA,Page 18,"Intensive GRs, building height 18 m","Results illustrated that different biochar setups failed to reduce nutrient concentrations when compared to the non-biochar treatment. Nonetheless, the significant potential of biochar for improving runoff quality was evident when evaluating nutrient loads estimated by multiplying nutrient concentrations by runoff volume. As a result, nutrient loss from biochar-amended GR substrates into runoff was reduced, thereby helping to maintain a nutrient-rich growing environment for plants. Higher nutrient availability in GR-7.5T-F and GR-7.5B-M could explain the higher plant performance regardless of higher substrate temperature and lower substrate moisture as compared to GR-0.

In a study with a similar outcome, Liao, Drake and Thomas [66] evaluated the impact of vegetation on green roof runoff quality and concluded that plant performance in biochar GRs was improved due to reduced nutrient leaching. Another study by Liao, et al. [78] also found that biochar increased the coverage area of sedum by decreasing concentrations of essential nutrients such as TN, dissolved P, K, Ca, and Na in runoff. Several studies were found to support the observation that the addition of biochar increases nutrient retention capacity. For example, biochar by either the top-dressed or bottom-applied methods in the study of Kuoppamäki, Hagner, Lehvävirta and Setälä [34] reduced loads of TP and TN in the GR discharge. Additionally, the leaching of various water pollutants, including TN, TP, and heavy metals, from biochar-amended GRs was mitigated [4,39,42–45,79]. The long-term effects of biochar on nutrient retention and plant performance could be also obtained through less GR discharge volume. In the study of Kuoppamäki, Hagner, Lehvävirta and Setälä [34], results from field experiments illustrate an increase of up to 10% in the water retention capacity of biochar-amended GRs relative to traditional GRs in the summer.

Findings from a numerical model named “CHEMFLO-2000” also supported the effectiveness of biochar [35]. The simulation results showed that GRs with 3 cm and 5 cm depth of biochar increased runoff retention from 55.05–65.29% to 66.9 and 69.15%, respectively. Another experiment using soil test columns by Huang, Garg, Mei, Huang, Chandra and Sadasiv [36] also found an improved runoff retention from 45.5% to 69.3%. Furthermore, improvements in hydraulic properties of GR substrates, such as the soil-water characteristic curves and saturated water content, due to the addition of biochar were also reported [58,80].

4.3. Biochar Benefits to Plant Performance in the Context of Buildings This paper focused on evaluating GR plant performance under the impact of biochar addition within the context of building and construction, including aspects like building energy saving and structural loading. The selection of parameters, including substrate temperature and runoff quantity/quality was based on their direct impacts on GR plant performance. The importance of these parameters in explaining substrate moisture content and nutrient availability for enhanced plant growth was also highlighted and taken into consideration in previous studies on GR vegetation performance [51,60,66]. Therefore, data on substrate temperature was collected in this research to identify underlying mechanisms of enhanced plant growth by biochar addition. However, since the cooling effects of GRs influence building heating and cooling demands, it is recommended that future studies include a comprehensive investigation of the thermal performance of biochar-amended GRs. Reduction in building temperature and energy consumption is one of the most notable benefits of GRs, which has attracted significant attention from researchers [1].

For example, Cascone [81] evaluated the energy efficiency of an innovative and sustainable GR with a recycled drainage layer, locally sourced materials, and high organic content in substrates. After analyzing the thermo-physical parameters of GRs and the building (surface temperature, heat flow, volumetric content) during the summer period in Mediterranean climate, the studied GR alleviated the heat transfer to the building and the internal surface temperature by 2°C relative to the reference concrete roof. Aboelata adopted a numerical approach using ENVI-met and a DesignBuilder model was adopted by [82]. The simulation results indicated that intensive GRs reduced the energy consumption of buildings by 4%, 2.4%, and 1.4% for heights of 12 m, 18 m, and 30 m, respectively, on a typical summer day in Cairo. Despite the energy savings, Aboelata [82] recommended"
17,Building energy consumption,Cairo,Typical summer day,2023,No green roof,%,-1.4,NA,NA,NA,NA,NA,Page 18,"Intensive GRs, building height 30 m","Results illustrated that different biochar setups failed to reduce nutrient concentrations when compared to the non-biochar treatment. Nonetheless, the significant potential of biochar for improving runoff quality was evident when evaluating nutrient loads estimated by multiplying nutrient concentrations by runoff volume. As a result, nutrient loss from biochar-amended GR substrates into runoff was reduced, thereby helping to maintain a nutrient-rich growing environment for plants. Higher nutrient availability in GR-7.5T-F and GR-7.5B-M could explain the higher plant performance regardless of higher substrate temperature and lower substrate moisture as compared to GR-0.

In a study with a similar outcome, Liao, Drake and Thomas [66] evaluated the impact of vegetation on green roof runoff quality and concluded that plant performance in biochar GRs was improved due to reduced nutrient leaching. Another study by Liao, et al. [78] also found that biochar increased the coverage area of sedum by decreasing concentrations of essential nutrients such as TN, dissolved P, K, Ca, and Na in runoff. Several studies were found to support the observation that the addition of biochar increases nutrient retention capacity. For example, biochar by either the top-dressed or bottom-applied methods in the study of Kuoppamäki, Hagner, Lehvävirta and Setälä [34] reduced loads of TP and TN in the GR discharge. Additionally, the leaching of various water pollutants, including TN, TP, and heavy metals, from biochar-amended GRs was mitigated [4,39,42–45,79]. The long-term effects of biochar on nutrient retention and plant performance could be also obtained through less GR discharge volume. In the study of Kuoppamäki, Hagner, Lehvävirta and Setälä [34], results from field experiments illustrate an increase of up to 10% in the water retention capacity of biochar-amended GRs relative to traditional GRs in the summer.

Findings from a numerical model named “CHEMFLO-2000” also supported the effectiveness of biochar [35]. The simulation results showed that GRs with 3 cm and 5 cm depth of biochar increased runoff retention from 55.05–65.29% to 66.9 and 69.15%, respectively. Another experiment using soil test columns by Huang, Garg, Mei, Huang, Chandra and Sadasiv [36] also found an improved runoff retention from 45.5% to 69.3%. Furthermore, improvements in hydraulic properties of GR substrates, such as the soil-water characteristic curves and saturated water content, due to the addition of biochar were also reported [58,80].

4.3. Biochar Benefits to Plant Performance in the Context of Buildings This paper focused on evaluating GR plant performance under the impact of biochar addition within the context of building and construction, including aspects like building energy saving and structural loading. The selection of parameters, including substrate temperature and runoff quantity/quality was based on their direct impacts on GR plant performance. The importance of these parameters in explaining substrate moisture content and nutrient availability for enhanced plant growth was also highlighted and taken into consideration in previous studies on GR vegetation performance [51,60,66]. Therefore, data on substrate temperature was collected in this research to identify underlying mechanisms of enhanced plant growth by biochar addition. However, since the cooling effects of GRs influence building heating and cooling demands, it is recommended that future studies include a comprehensive investigation of the thermal performance of biochar-amended GRs. Reduction in building temperature and energy consumption is one of the most notable benefits of GRs, which has attracted significant attention from researchers [1].

For example, Cascone [81] evaluated the energy efficiency of an innovative and sustainable GR with a recycled drainage layer, locally sourced materials, and high organic content in substrates. After analyzing the thermo-physical parameters of GRs and the building (surface temperature, heat flow, volumetric content) during the summer period in Mediterranean climate, the studied GR alleviated the heat transfer to the building and the internal surface temperature by 2°C relative to the reference concrete roof. Aboelata adopted a numerical approach using ENVI-met and a DesignBuilder model was adopted by [82]. The simulation results indicated that intensive GRs reduced the energy consumption of buildings by 4%, 2.4%, and 1.4% for heights of 12 m, 18 m, and 30 m, respectively, on a typical summer day in Cairo. Despite the energy savings, Aboelata [82] recommended"
18,Runoff retention,NA,CHEMFLO-2000 Model,2023,Traditional GRs,%,11.85,NA,NA,NA,NA,NA,Page 18,"GR with 3 cm biochar, increased from 55.05% to 66.9%","Results illustrated that different biochar setups failed to reduce nutrient concentrations when compared to the non-biochar treatment. Nonetheless, the significant potential of biochar for improving runoff quality was evident when evaluating nutrient loads estimated by multiplying nutrient concentrations by runoff volume. As a result, nutrient loss from biochar-amended GR substrates into runoff was reduced, thereby helping to maintain a nutrient-rich growing environment for plants. Higher nutrient availability in GR-7.5T-F and GR-7.5B-M could explain the higher plant performance regardless of higher substrate temperature and lower substrate moisture as compared to GR-0.

In a study with a similar outcome, Liao, Drake and Thomas [66] evaluated the impact of vegetation on green roof runoff quality and concluded that plant performance in biochar GRs was improved due to reduced nutrient leaching. Another study by Liao, et al. [78] also found that biochar increased the coverage area of sedum by decreasing concentrations of essential nutrients such as TN, dissolved P, K, Ca, and Na in runoff. Several studies were found to support the observation that the addition of biochar increases nutrient retention capacity. For example, biochar by either the top-dressed or bottom-applied methods in the study of Kuoppamäki, Hagner, Lehvävirta and Setälä [34] reduced loads of TP and TN in the GR discharge. Additionally, the leaching of various water pollutants, including TN, TP, and heavy metals, from biochar-amended GRs was mitigated [4,39,42–45,79]. The long-term effects of biochar on nutrient retention and plant performance could be also obtained through less GR discharge volume. In the study of Kuoppamäki, Hagner, Lehvävirta and Setälä [34], results from field experiments illustrate an increase of up to 10% in the water retention capacity of biochar-amended GRs relative to traditional GRs in the summer.

Findings from a numerical model named “CHEMFLO-2000” also supported the effectiveness of biochar [35]. The simulation results showed that GRs with 3 cm and 5 cm depth of biochar increased runoff retention from 55.05–65.29% to 66.9 and 69.15%, respectively. Another experiment using soil test columns by Huang, Garg, Mei, Huang, Chandra and Sadasiv [36] also found an improved runoff retention from 45.5% to 69.3%. Furthermore, improvements in hydraulic properties of GR substrates, such as the soil-water characteristic curves and saturated water content, due to the addition of biochar were also reported [58,80].

4.3. Biochar Benefits to Plant Performance in the Context of Buildings This paper focused on evaluating GR plant performance under the impact of biochar addition within the context of building and construction, including aspects like building energy saving and structural loading. The selection of parameters, including substrate temperature and runoff quantity/quality was based on their direct impacts on GR plant performance. The importance of these parameters in explaining substrate moisture content and nutrient availability for enhanced plant growth was also highlighted and taken into consideration in previous studies on GR vegetation performance [51,60,66]. Therefore, data on substrate temperature was collected in this research to identify underlying mechanisms of enhanced plant growth by biochar addition. However, since the cooling effects of GRs influence building heating and cooling demands, it is recommended that future studies include a comprehensive investigation of the thermal performance of biochar-amended GRs. Reduction in building temperature and energy consumption is one of the most notable benefits of GRs, which has attracted significant attention from researchers [1].

For example, Cascone [81] evaluated the energy efficiency of an innovative and sustainable GR with a recycled drainage layer, locally sourced materials, and high organic content in substrates. After analyzing the thermo-physical parameters of GRs and the building (surface temperature, heat flow, volumetric content) during the summer period in Mediterranean climate, the studied GR alleviated the heat transfer to the building and the internal surface temperature by 2°C relative to the reference concrete roof. Aboelata adopted a numerical approach using ENVI-met and a DesignBuilder model was adopted by [82]. The simulation results indicated that intensive GRs reduced the energy consumption of buildings by 4%, 2.4%, and 1.4% for heights of 12 m, 18 m, and 30 m, respectively, on a typical summer day in Cairo. Despite the energy savings, Aboelata [82] recommended"
19,Runoff retention,NA,CHEMFLO-2000 Model,2023,Traditional GRs,%,4.1,NA,NA,NA,NA,NA,Page 18,"GR with 5 cm biochar, increased from 65.05% to 69.15%","Results illustrated that different biochar setups failed to reduce nutrient concentrations when compared to the non-biochar treatment. Nonetheless, the significant potential of biochar for improving runoff quality was evident when evaluating nutrient loads estimated by multiplying nutrient concentrations by runoff volume. As a result, nutrient loss from biochar-amended GR substrates into runoff was reduced, thereby helping to maintain a nutrient-rich growing environment for plants. Higher nutrient availability in GR-7.5T-F and GR-7.5B-M could explain the higher plant performance regardless of higher substrate temperature and lower substrate moisture as compared to GR-0.

In a study with a similar outcome, Liao, Drake and Thomas [66] evaluated the impact of vegetation on green roof runoff quality and concluded that plant performance in biochar GRs was improved due to reduced nutrient leaching. Another study by Liao, et al. [78] also found that biochar increased the coverage area of sedum by decreasing concentrations of essential nutrients such as TN, dissolved P, K, Ca, and Na in runoff. Several studies were found to support the observation that the addition of biochar increases nutrient retention capacity. For example, biochar by either the top-dressed or bottom-applied methods in the study of Kuoppamäki, Hagner, Lehvävirta and Setälä [34] reduced loads of TP and TN in the GR discharge. Additionally, the leaching of various water pollutants, including TN, TP, and heavy metals, from biochar-amended GRs was mitigated [4,39,42–45,79]. The long-term effects of biochar on nutrient retention and plant performance could be also obtained through less GR discharge volume. In the study of Kuoppamäki, Hagner, Lehvävirta and Setälä [34], results from field experiments illustrate an increase of up to 10% in the water retention capacity of biochar-amended GRs relative to traditional GRs in the summer.

Findings from a numerical model named “CHEMFLO-2000” also supported the effectiveness of biochar [35]. The simulation results showed that GRs with 3 cm and 5 cm depth of biochar increased runoff retention from 55.05–65.29% to 66.9 and 69.15%, respectively. Another experiment using soil test columns by Huang, Garg, Mei, Huang, Chandra and Sadasiv [36] also found an improved runoff retention from 45.5% to 69.3%. Furthermore, improvements in hydraulic properties of GR substrates, such as the soil-water characteristic curves and saturated water content, due to the addition of biochar were also reported [58,80].

4.3. Biochar Benefits to Plant Performance in the Context of Buildings This paper focused on evaluating GR plant performance under the impact of biochar addition within the context of building and construction, including aspects like building energy saving and structural loading. The selection of parameters, including substrate temperature and runoff quantity/quality was based on their direct impacts on GR plant performance. The importance of these parameters in explaining substrate moisture content and nutrient availability for enhanced plant growth was also highlighted and taken into consideration in previous studies on GR vegetation performance [51,60,66]. Therefore, data on substrate temperature was collected in this research to identify underlying mechanisms of enhanced plant growth by biochar addition. However, since the cooling effects of GRs influence building heating and cooling demands, it is recommended that future studies include a comprehensive investigation of the thermal performance of biochar-amended GRs. Reduction in building temperature and energy consumption is one of the most notable benefits of GRs, which has attracted significant attention from researchers [1].

For example, Cascone [81] evaluated the energy efficiency of an innovative and sustainable GR with a recycled drainage layer, locally sourced materials, and high organic content in substrates. After analyzing the thermo-physical parameters of GRs and the building (surface temperature, heat flow, volumetric content) during the summer period in Mediterranean climate, the studied GR alleviated the heat transfer to the building and the internal surface temperature by 2°C relative to the reference concrete roof. Aboelata adopted a numerical approach using ENVI-met and a DesignBuilder model was adopted by [82]. The simulation results indicated that intensive GRs reduced the energy consumption of buildings by 4%, 2.4%, and 1.4% for heights of 12 m, 18 m, and 30 m, respectively, on a typical summer day in Cairo. Despite the energy savings, Aboelata [82] recommended"
20,Runoff retention,NA,Soil test columns,2023,No biochar,%,23.8,NA,NA,NA,NA,NA,Page 18,Increased from 45.5% to 69.3%,"Results illustrated that different biochar setups failed to reduce nutrient concentrations when compared to the non-biochar treatment. Nonetheless, the significant potential of biochar for improving runoff quality was evident when evaluating nutrient loads estimated by multiplying nutrient concentrations by runoff volume. As a result, nutrient loss from biochar-amended GR substrates into runoff was reduced, thereby helping to maintain a nutrient-rich growing environment for plants. Higher nutrient availability in GR-7.5T-F and GR-7.5B-M could explain the higher plant performance regardless of higher substrate temperature and lower substrate moisture as compared to GR-0.

In a study with a similar outcome, Liao, Drake and Thomas [66] evaluated the impact of vegetation on green roof runoff quality and concluded that plant performance in biochar GRs was improved due to reduced nutrient leaching. Another study by Liao, et al. [78] also found that biochar increased the coverage area of sedum by decreasing concentrations of essential nutrients such as TN, dissolved P, K, Ca, and Na in runoff. Several studies were found to support the observation that the addition of biochar increases nutrient retention capacity. For example, biochar by either the top-dressed or bottom-applied methods in the study of Kuoppamäki, Hagner, Lehvävirta and Setälä [34] reduced loads of TP and TN in the GR discharge. Additionally, the leaching of various water pollutants, including TN, TP, and heavy metals, from biochar-amended GRs was mitigated [4,39,42–45,79]. The long-term effects of biochar on nutrient retention and plant performance could be also obtained through less GR discharge volume. In the study of Kuoppamäki, Hagner, Lehvävirta and Setälä [34], results from field experiments illustrate an increase of up to 10% in the water retention capacity of biochar-amended GRs relative to traditional GRs in the summer.

Findings from a numerical model named “CHEMFLO-2000” also supported the effectiveness of biochar [35]. The simulation results showed that GRs with 3 cm and 5 cm depth of biochar increased runoff retention from 55.05–65.29% to 66.9 and 69.15%, respectively. Another experiment using soil test columns by Huang, Garg, Mei, Huang, Chandra and Sadasiv [36] also found an improved runoff retention from 45.5% to 69.3%. Furthermore, improvements in hydraulic properties of GR substrates, such as the soil-water characteristic curves and saturated water content, due to the addition of biochar were also reported [58,80].

4.3. Biochar Benefits to Plant Performance in the Context of Buildings This paper focused on evaluating GR plant performance under the impact of biochar addition within the context of building and construction, including aspects like building energy saving and structural loading. The selection of parameters, including substrate temperature and runoff quantity/quality was based on their direct impacts on GR plant performance. The importance of these parameters in explaining substrate moisture content and nutrient availability for enhanced plant growth was also highlighted and taken into consideration in previous studies on GR vegetation performance [51,60,66]. Therefore, data on substrate temperature was collected in this research to identify underlying mechanisms of enhanced plant growth by biochar addition. However, since the cooling effects of GRs influence building heating and cooling demands, it is recommended that future studies include a comprehensive investigation of the thermal performance of biochar-amended GRs. Reduction in building temperature and energy consumption is one of the most notable benefits of GRs, which has attracted significant attention from researchers [1].

For example, Cascone [81] evaluated the energy efficiency of an innovative and sustainable GR with a recycled drainage layer, locally sourced materials, and high organic content in substrates. After analyzing the thermo-physical parameters of GRs and the building (surface temperature, heat flow, volumetric content) during the summer period in Mediterranean climate, the studied GR alleviated the heat transfer to the building and the internal surface temperature by 2°C relative to the reference concrete roof. Aboelata adopted a numerical approach using ENVI-met and a DesignBuilder model was adopted by [82]. The simulation results indicated that intensive GRs reduced the energy consumption of buildings by 4%, 2.4%, and 1.4% for heights of 12 m, 18 m, and 30 m, respectively, on a typical summer day in Cairo. Despite the energy savings, Aboelata [82] recommended"
