,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
20,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,106.96,NA,NA,NA,NA,NA,Table 2,Krasnoyarsk Krai Conservative Scenario
21,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,116.55,NA,NA,NA,NA,NA,Table 2,Krasnoyarsk Krai Modernization Scenario
22,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,151.95,NA,NA,NA,NA,NA,Table 2,Republic of Sakha (Yakutia) Conservative Scenario
23,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,177.58,NA,NA,NA,NA,NA,Table 2,Republic of Sakha (Yakutia) Modernization Scenario
24,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,110.77,NA,NA,NA,NA,NA,Table 2,Magadan Oblast Conservative Scenario
25,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,125.49,NA,NA,NA,NA,NA,Table 2,Magadan Oblast Modernization Scenario
26,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,100.00,NA,NA,NA,NA,NA,Table 2,Chukotka AO Conservative Scenario
27,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,150.00,NA,NA,NA,NA,NA,Table 2,Chukotka AO Modernization Scenario
28,Housing,Adaptation,Russia,RCP 8.5,Avoided Economic Losses,AvoidedImpact,Economic,Need,billion rubles,907,NA,NA,NA,NA,NA,Page 6,"Average scenario, loss is 18.8% of housing built on permafrost"
29,Housing,Adaptation,Russia,RCP 8.5,Avoided Economic Losses,AvoidedImpact,Economic,Need,billion rubles,420,NA,NA,420,NA,2500,Page 6,"Range estimate, based on minimum and maximum loss of bearing capacity"
30,Housing,Adaptation,Russia,RCP 8.5,Avoided Economic Losses,AvoidedImpact,Economic,Need,billion rubles,2500,NA,NA,420,NA,2500,Page 6,"Range estimate, based on minimum and maximum loss of bearing capacity"
31,Housing,Maintenance,Russia,RCP 8.5,Maintenance Costs,AdaptationCost,Economic,Need,₽ bln / year,30,NA,NA,NA,NA,NA,Page 8,Related to maintaining the existing housing stock; Equivalent to 0.25% of 2018 GRP for the 8 regions.
32,Housing,Maintenance,Russia,RCP 8.5,Maintenance Costs,AdaptationCost,Economic,Need,₽ bln / year,95,NA,NA,NA,NA,NA,Page 8,Related to maintaining the existing housing stock under maximum warming scenario; Almost 1% of 2018 GRP for the 8 regions.
33,Housing,Construction,Russia,Modernization,Losses Avoided,MonetaryBenefits,Economic,Need,₽ bln / year,36.26,NA,NA,NA,NA,NA,Page 8,Average annual loss from 2020-2050; equivalent to 0.29% of the GRP in 2018 prices.
34,Housing,Construction,Russia,Modernization,Losses Avoided,MonetaryBenefits,Economic,Need,₽ bln / year,112,NA,NA,NA,NA,NA,Page 8,Annual loss from 2020-2050 under the max permafrost temperature change scenario.
35,Housing,Construction,Russia,Conservative,New Construction,AdaptationCost,Economic,Need,m^2 / year,243000,NA,NA,NA,NA,NA,Page 8,Additional housing construction needed annually.
36,Housing,Construction,Russia,Max Deform,New Construction,AdaptationCost,Economic,Need,m^2 / year,1500000,NA,NA,NA,NA,NA,Page 8,Additional housing construction needed annually under maximum housing destruction scenario.
37,Housing,Construction,Russia,Modernization,Losses,BaselineImpact,Economic,Need,₽ bln,1080,NA,NA,NA,NA,NA,Page 8,"Increase in construction capacity required, doubling the amount of construction to replace planned housing retirement and increase capacity for temporary and permanent resettlement."
38,Housing,Construction,Russia,Modernization,Losses,BaselineImpact,Economic,Need,₽ bln,500,NA,NA,NA,NA,3360,Page 8,Range of total expected loss from permafrost thawing and degradation depending on the changes in permafrost temperature and thaw depth between 2020 and 2050. Min.
39,Housing,Construction,Russia,Modernization,Losses,BaselineImpact,Economic,Need,₽ bln,3360,NA,NA,500,NA,NA,Page 8,Range of total expected loss from permafrost thawing and degradation depending on the changes in permafrost temperature and thaw depth between 2020 and 2050. Max.
