,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
23,Mortality,United States,RFF-SP,2090,No CC,deaths,50000,NA,2.5%,19000,97.5%,91000,p. 1022,Temperature-related mortality
24,Mortality,United States,RFF-SP,2090,No CC,deaths,5100,NA,2.5%,2100,97.5%,10000,p. 1022,Air quality related
25,Wildfire,United States,RFF-SP,2090,No CC,deaths,1100,NA,2.5%,460,97.5%,1700,p. 1022,
26,Dust Exposure,United States,RFF-SP,2090,No CC,deaths,390,NA,2.5%,160,97.5%,690,p. 1022,Southwest dust
27,Valley Fever,United States,RFF-SP,2090,No CC,deaths,300,NA,2.5%,130,97.5%,480,p. 1022,
28,Crime,United States,RFF-SP,2090,No CC,incidence,4700,NA,2.5%,-160,97.5%,11000,p. 1022,
29,Labor,United States,RFF-SP,2090,No CC,hours,430,NA,2.5%,170,97.5%,830,p. 1022,Work hours lost (millions of hours)
30,Economic Damages,United States,reactive adaptation,2090,No CC,USD,9.4,NA,NA,NA,NA,NA,p. 1022,"billion, coastal property sector"
31,Economic Damages,United States,no adaptation,2090,No CC,USD,17,NA,NA,NA,NA,NA,p. 1022,"billion, coastal property sector"
32,Economic Damages,United States,proactive adaptation,2090,No CC,USD,7.5,NA,NA,NA,NA,NA,p. 1022,"billion, coastal property sector"
33,Economic Damages,Southeast,RFF-SP,2090,No CC,USD/person,9300,NA,2.5%,1800,97.5%,37000,p. 1022,"mean, per capita annually"
34,Economic Damages,Southwest,RFF-SP,2090,No CC,USD/person,6300,NA,2.5%,840,97.5%,27000,p. 1022,"mean, per capita annually"
35,Economic Damages,US,RFF-SP,2090,No CC,USD,2900000000000,NA,NA,NA,NA,NA,Highlights,Annual damages
36,Mortality,Southwest,RFF-SP,2090,No CC,USD/person,4500,NA,NA,NA,NA,NA,9,Associated with temperature changes
37,Mortality,Southeast,RFF-SP,2090,No CC,USD/person,6500,NA,NA,NA,NA,NA,9,Associated with temperature changes
38,Mortality,Black/African Americans,RFF-SP,2090,No CC,Relative Risk,0,NA,NA,NA,NA,NA,9,From climate-driven changes in air quality. Year is inferred from overall projections.
39,Labor,Hispanic/Latino Americans,RFF-SP,2090,No CC,Relative Risk,0,NA,NA,NA,NA,NA,9,Lost labor hours. Year is inferred from overall projections
40,Economic Damages,US,RFF-SP,2090,No CC,USD billions,0,NA,2.5%,NA,97.5%,NA,Figure 4,Values vary by sector
41,Mortality,US,RFF-SP,2090,No CC,USD billions,0,NA,2.5%,0,97.5%,10,Figure 4,"Temperature Related Mortality. High Value is truncated because it's listed as '>10', but it's in billions."
42,Economic Damages,US,RFF-SP,2090,No CC,USD billions,0,NA,2.5%,0,97.5%,600,Figure 4,Values for other sectors range from 0 to 600
43,Climate Damages,United States,SSP5-8.5,2090,No CC,USD Trillion,3.1,NA,NA,NA,95%,12.3,Page 10,Climate-driven damages across socioeconomic scenarios for the year 2090.
44,Climate Damages,Northern Plains,No CC,2090,No CC,USD per person annually,8900,NA,NA,NA,NA,NA,Page 10,"Damages in the Northern Plains region include sectors such as Wildfire, Roads, Rail, and Temperature."
45,Climate Damages,Midwest,No CC,2090,No CC,USD per person annually,6700,NA,NA,NA,NA,NA,Page 10,"Damages in the Midwest region include sectors such as Labor, Rail, Agriculture, and Temperature."
46,Climate Damages,Northeast,No CC,2090,No CC,USD per person annually,7800,NA,NA,NA,NA,NA,Page 10,"Damages in the Northeast region include sectors such as Roads, Rail, Temperature, and Air Quality."
47,Climate Damages,Southeast,No CC,2090,No CC,USD per person annually,9300,NA,NA,NA,NA,NA,Page 10,"Damages in the Southeast region include sectors such as Roads, Temperature, Labor, and Air Quality."
48,Climate Damages,Southwest,No CC,2090,No CC,USD per person annually,6300,NA,NA,NA,NA,NA,Page 10,"Damages in the Southwest region include sectors such as Wildfire, Roads, Air Quality, and Temperature."
49,Climate Damages,Southern Plains,No CC,2090,No CC,USD per person annually,7900,NA,NA,NA,NA,NA,Page 10,"Damages in the Southern Plains region include sectors such as Labor, Wind Damage, Rail, and High Tide Flooding (HTF)."
50,Mortality Costs,CONUS,Varies with Ramsey rate,2020,No CC,USD/tonne CO2,15,NA,2.5%,NA,97.5%,NA,Page 1026,"Calculated with a 3.0% Ramsey discount rate, based on the box plot."
51,Mortality Costs,CONUS,Varies with Ramsey rate,2020,No CC,USD/tonne CO2,21,NA,2.5%,NA,97.5%,NA,Page 1026,"Calculated with a 2.5% Ramsey discount rate, based on the box plot."
52,Mortality Costs,CONUS,Varies with Ramsey rate,2020,No CC,USD/tonne CO2,32,NA,2.5%,NA,97.5%,NA,Page 1026,"Calculated with a 2.0% Ramsey discount rate, based on the box plot."
53,Mortality Costs,CONUS,Varies with Ramsey rate,2020,No CC,USD/tonne CO2,51,NA,2.5%,NA,97.5%,NA,Page 1026,"Calculated with a 1.5% Ramsey discount rate, based on the box plot."
54,Agriculture Revenue,United States,No adaptation,2090,No CC,USD billion,6.1,NA,5%,0.42,95%,19,Page 14,Mean annual damage statistics referenced as default adaptation scenario.
55,Coastal Property Damage,United States,Reactive adaptation,2090,No CC,USD billion,9.4,NA,5%,5.9,95%,21,Page 14,Mean annual damage statistics referenced with reactive adaptation.
56,Electricity Demand Costs,United States,No adaptation,2090,No CC,USD billion,11,NA,5%,2.4,95%,21,Page 14,Mean annual damage statistics reported without additional adaptation.
57,Transmission Damage,United States,Reactive adaptation,2090,No CC,USD billion,11,NA,5%,6.9,95%,14,Page 14,Mean annual damage statistics referenced as reactive adaptation scenario.
58,Temperature Mortality,United States,No adaptation,2090,No CC,USD billion,2300,NA,5%,310,95%,9900,Page 14,Temperature-related mortality displayed without adaptation.
59,Transport Costs,United States,Reasonable adaptation,2090,No CC,USD billion,140,NA,5%,110,95%,200,Page 14,Transport costs for flooding with anticipated adaptation.
60,Inland Flooding Damages,United States,No adaptation,2090,No CC,USD billion,0.73,NA,5%,0.1,95%,1.6,Page 14,Damages from residential riverine flooding reported without additional adaptation.
61,Labor Allocation,United States,No adaptation,2090,No CC,USD billion,51,NA,5%,6.7,95%,220,Page 14,Labor hours lost documented without adaptation.
62,Marine Habitat Change,United States,No adaptation,2090,No CC,USD billion,-0.06,NA,5%,-0.7,95%,0.03,Page 14,Thermal habitat changes for fisheries documented without adaptation.
63,Air Quality Mortality,United States,2011 precursor emissions,2090,No CC,USD billion,240,NA,5%,32,95%,1000,Page 14,Mortality from air quality exposure recorded with 2011 emissions base.
64,Property Crime Change,United States,No adaptation,2090,No CC,USD billion,0.92,NA,5%,0.1,95%,2.0,Page 14,Change in crime rates documented without adaptation.
65,Rail Buckling Costs,United States,Reactive adaptation,2090,No CC,USD billion,19,NA,5%,7.7,95%,45,Page 14,Costs due to rail track buckling cited as reactive adaptation.
66,Road Infrastructure Costs,United States,Reactive adaptation,2090,No CC,USD billion,17,NA,5%,6.6,95%,35,Page 14,Road repair and user costs under reactive adaptation.
67,Dust Exposure Mortality,United States,No adaptation,2090,No CC,USD billion,18,NA,5%,2.5,95%,77,Page 14,Mortality from dust exposure detailed without adaptation.
68,Tropical Storm Damage,United States,No adaptation,2090,No CC,USD billion,28,NA,5%,12,95%,49,Page 14,Hurricane wind damage costs reported without adaptation.
69,Urban Drainage Costs,United States,Proactive adaptation,2090,No CC,USD billion,4.2,NA,5%,3.2,95%,5.0,Page 14,Costs for urban drainage infrastructure with proactive adaptation.
70,Water Quality Impact,United States,No adaptation,2090,No CC,USD billion,2.0,NA,5%,0.83,95%,3.8,Page 14,WTP to avoid water quality changes documented without adaptation.
71,Wildfire Health Costs,United States,No adaptation,2090,No CC,USD billion,51,NA,5%,8.1,95%,210,Page 14,Health costs from wildfire emissions detailed without adaptation.
72,Winter Recreation,United States,Adaptation,2090,No CC,USD billion,2.0,NA,5%,0.83,95%,3.7,Page 14,Revenue loss from winter activities documented with adaptation.
73,Valley Fever Costs,United States,No adaptation,2090,No CC,USD billion,14,NA,5%,2.0,95%,58,Page 14,Costs from Valley Fever documented without adaptation.
74,Economic Damages,US,"RFF-SP (10,000 scenarios)",2090,No CC,trillions of 2020 USD / year,2.9,NA,NA,NA,NA,NA,Highlights,Net national climate damages. Largest damages from premature mortality due to temperature and air quality changes.
75,Damages,US,No adaptation,2090,No CC,USDbillionsyr−1,12,NA,5%,7.3,95%,18,1031,Electricity transmission and distribution
76,Damages,US,Reactive,2090,No CC,USDbillionsyr−1,11,NA,5%,6.9,95%,14,1031,Electricity transmission and distribution
77,Damages,US,Proactive,2090,No CC,USDbillionsyr−1,6.3,NA,5%,4.9,95%,8.3,1031,Electricity transmission and distribution
78,Damages,US,No adaptation,2090,No CC,USDbillionsyr−1,21,NA,5%,7.2,95%,55,1031,Rail
79,Damages,US,Reactive,2090,No CC,USDbillionsyr−1,19,NA,5%,7.7,95%,45,1031,Rail
80,Damages,US,Proactive,2090,No CC,USDbillionsyr−1,1.5,NA,5%,0.28,95%,3.9,1031,Rail
81,Damages,US,No adaptation,2090,No CC,USDbillionsyr−1,130,NA,5%,25,95%,330,1031,Roads
82,Damages,US,Reactive,2090,No CC,USDbillionsyr−1,17,NA,5%,6.6,95%,35,1031,Roads
83,Damages,US,Proactive,2090,No CC,USDbillionsyr−1,7.3,NA,5%,5.8,95%,8.4,1031,Roads
84,Damages,US,No adaptation,2090,No CC,USDbillionsyr−1,16,NA,5%,9.9,95%,37,1031,Coastal properties
85,Damages,US,Reactive,2090,No CC,USDbillionsyr−1,9.4,NA,5%,5.9,95%,21,1031,Coastal properties
86,Damages,US,Proactive,2090,No CC,USDbillionsyr−1,7.5,NA,5%,7.0,95%,8.3,1031,Coastal properties
87,Damages,US,No adaptation,2090,No CC,USDbillionsyr−1,890,NA,5%,680,95%,1200,1031,Transportation impacts from high-tide ﬂooding
88,Damages,US,Reasonably anticipated,2090,No CC,USDbillionsyr−1,140,NA,5%,110,95%,200,1031,Transportation impacts from high-tide ﬂooding
89,Damages,US,Direct,2090,No CC,USDbillionsyr−1,1.9,NA,5%,1.3,95%,3.4,1031,Transportation impacts from high-tide ﬂooding
90,Temperature mortality,United States,Cromar et al. (2022),2090,No CC,Billions 2020 USD,2300,NA,90%,330,90%,4200,Page 18,Estimated by Cromar et al. (2022) focusing on temperature-related premature mortality.
