,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
10,Dry regions,Global,SSP3-7.0,2085,PiControl,regions,22,NA,NA,NA,NA,NA,"Page 7, Figure 4",Mean between 2071 and 2100.,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Wet regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""27"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""16"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Land Area"",""Global"",""SSP (Unspecified)"",""2021"",""Pre-industrial"",""percent"",""5"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7"",""*Expected* percentage before climate change.""
"
11,Wet regions,Global,SSP5-8.5,2085,PiControl,regions,23,NA,NA,NA,NA,NA,"Page 7, Figure 4",Mean between 2071 and 2100.,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Wet regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""27"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""16"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Land Area"",""Global"",""SSP (Unspecified)"",""2021"",""Pre-industrial"",""percent"",""5"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7"",""*Expected* percentage before climate change.""
"
12,Dry regions,Global,SSP5-8.5,2085,PiControl,regions,20,NA,NA,NA,NA,NA,"Page 7, Figure 4",Mean between 2071 and 2100.,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Wet regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""27"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""16"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Land Area"",""Global"",""SSP (Unspecified)"",""2021"",""Pre-industrial"",""percent"",""5"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7"",""*Expected* percentage before climate change.""
"
13,Land Area,Global,SSP (Unspecified),2021,Pre-industrial,percent,5,NA,NA,NA,NA,NA,Page 7,*Expected* percentage before climate change.,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Wet regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""27"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""16"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Land Area"",""Global"",""SSP (Unspecified)"",""2021"",""Pre-industrial"",""percent"",""5"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7"",""*Expected* percentage before climate change.""
"
14,Permanent wet departures,Ice-free land surface,SSP1-2.6,2050,Pre-industrial (PiControl),% Area,5,NA,NA,NA,NA,NA,Page 8,,"In 2050, the percentages of the land surface area with permanent wet and dry departures (ensemble median) in SSP1–2.6 are expected to be 5% and 4% respectively, while in SSP3–7.0, these percentages are expected to be 14% and 11%. ... By the end of the 21st century, 22% of the ice-free land in SSP1–2.6 experiences a wet departure and 28% a dry departure, while 36% of the ice-free land experiences a wet departure and 30% a dry departure in SSP3–7.0. It can also be inferred that at least 15% of the ice-free land is expected to have permanently more soil moisture than the pre-industrial condition by the end of the 21st century, as this is the result of the SSP1–2.6 scenario with the least warming effect, but it could amount to 28% in SSP3–7.0. However, the results for dry departures show an opposite trend, with 18% of the ice-free land having permanently less soil moisture in SSP1–2.6 and 17.6% in SSP3–7.0... (Page 8)"
15,Permanent dry departures,Ice-free land surface,SSP1-2.6,2050,Pre-industrial (PiControl),% Area,4,NA,NA,NA,NA,NA,Page 8,,"In 2050, the percentages of the land surface area with permanent wet and dry departures (ensemble median) in SSP1–2.6 are expected to be 5% and 4% respectively, while in SSP3–7.0, these percentages are expected to be 14% and 11%. ... By the end of the 21st century, 22% of the ice-free land in SSP1–2.6 experiences a wet departure and 28% a dry departure, while 36% of the ice-free land experiences a wet departure and 30% a dry departure in SSP3–7.0. It can also be inferred that at least 15% of the ice-free land is expected to have permanently more soil moisture than the pre-industrial condition by the end of the 21st century, as this is the result of the SSP1–2.6 scenario with the least warming effect, but it could amount to 28% in SSP3–7.0. However, the results for dry departures show an opposite trend, with 18% of the ice-free land having permanently less soil moisture in SSP1–2.6 and 17.6% in SSP3–7.0... (Page 8)"
16,Permanent wet departures,Ice-free land surface,SSP3-7.0,2050,Pre-industrial (PiControl),% Area,14,NA,NA,NA,NA,NA,Page 8,,"In 2050, the percentages of the land surface area with permanent wet and dry departures (ensemble median) in SSP1–2.6 are expected to be 5% and 4% respectively, while in SSP3–7.0, these percentages are expected to be 14% and 11%. ... By the end of the 21st century, 22% of the ice-free land in SSP1–2.6 experiences a wet departure and 28% a dry departure, while 36% of the ice-free land experiences a wet departure and 30% a dry departure in SSP3–7.0. It can also be inferred that at least 15% of the ice-free land is expected to have permanently more soil moisture than the pre-industrial condition by the end of the 21st century, as this is the result of the SSP1–2.6 scenario with the least warming effect, but it could amount to 28% in SSP3–7.0. However, the results for dry departures show an opposite trend, with 18% of the ice-free land having permanently less soil moisture in SSP1–2.6 and 17.6% in SSP3–7.0... (Page 8)"
17,Permanent dry departures,Ice-free land surface,SSP3-7.0,2050,Pre-industrial (PiControl),% Area,11,NA,NA,NA,NA,NA,Page 8,,"In 2050, the percentages of the land surface area with permanent wet and dry departures (ensemble median) in SSP1–2.6 are expected to be 5% and 4% respectively, while in SSP3–7.0, these percentages are expected to be 14% and 11%. ... By the end of the 21st century, 22% of the ice-free land in SSP1–2.6 experiences a wet departure and 28% a dry departure, while 36% of the ice-free land experiences a wet departure and 30% a dry departure in SSP3–7.0. It can also be inferred that at least 15% of the ice-free land is expected to have permanently more soil moisture than the pre-industrial condition by the end of the 21st century, as this is the result of the SSP1–2.6 scenario with the least warming effect, but it could amount to 28% in SSP3–7.0. However, the results for dry departures show an opposite trend, with 18% of the ice-free land having permanently less soil moisture in SSP1–2.6 and 17.6% in SSP3–7.0... (Page 8)"
18,Permanent wet departures,Ice-free land surface,SSP1-2.6,2100,Pre-industrial (PiControl),% Area,22,NA,NA,NA,NA,NA,Page 8,,"In 2050, the percentages of the land surface area with permanent wet and dry departures (ensemble median) in SSP1–2.6 are expected to be 5% and 4% respectively, while in SSP3–7.0, these percentages are expected to be 14% and 11%. ... By the end of the 21st century, 22% of the ice-free land in SSP1–2.6 experiences a wet departure and 28% a dry departure, while 36% of the ice-free land experiences a wet departure and 30% a dry departure in SSP3–7.0. It can also be inferred that at least 15% of the ice-free land is expected to have permanently more soil moisture than the pre-industrial condition by the end of the 21st century, as this is the result of the SSP1–2.6 scenario with the least warming effect, but it could amount to 28% in SSP3–7.0. However, the results for dry departures show an opposite trend, with 18% of the ice-free land having permanently less soil moisture in SSP1–2.6 and 17.6% in SSP3–7.0... (Page 8)"
19,Permanent dry departures,Ice-free land surface,SSP1-2.6,2100,Pre-industrial (PiControl),% Area,28,NA,NA,NA,NA,NA,Page 8,,"In 2050, the percentages of the land surface area with permanent wet and dry departures (ensemble median) in SSP1–2.6 are expected to be 5% and 4% respectively, while in SSP3–7.0, these percentages are expected to be 14% and 11%. ... By the end of the 21st century, 22% of the ice-free land in SSP1–2.6 experiences a wet departure and 28% a dry departure, while 36% of the ice-free land experiences a wet departure and 30% a dry departure in SSP3–7.0. It can also be inferred that at least 15% of the ice-free land is expected to have permanently more soil moisture than the pre-industrial condition by the end of the 21st century, as this is the result of the SSP1–2.6 scenario with the least warming effect, but it could amount to 28% in SSP3–7.0. However, the results for dry departures show an opposite trend, with 18% of the ice-free land having permanently less soil moisture in SSP1–2.6 and 17.6% in SSP3–7.0... (Page 8)"
